food_group,main.effect.mean,main.effect.se,age.effect.mean,age.effect.se,race.effect.mean,race.effect.se,htn.effect.mean,htn.effect.se,effect_unit
fruit_tot,0,0,0,0,0,0,0,0,NA
gr_whole,0,0,0,0,0,0,0,0,NA
pf_redm,0,0,0,0,0,0,0,0,NA
pf_redm_tot,0,0,0,0,0,0,0,0,NA
ssb,0,0,0,0,0,0,0,0,NA
sodium,0.0016200000000000001,3.20408163e-4,4.57e-5,1.2908163e-5,0.00108,4.60714286e-4,8.15e-4,3.84693878e-4,1 mg/day
added_sugar,0,0,0,0,0,0,0,0,NA
dairy_tot,0,0,0,0,0,0,0,0,NA
dairy_cow,0,0,0,0,0,0,0,0,NA
dairy_soy,0,0,0,0,0,0,0,0,NA
gr_refined,0,0,0,0,0,0,0,0,NA
oil,0,0,0,0,0,0,0,0,NA
pf_egg,0,0,0,0,0,0,0,0,NA
pf_leg,0,0,0,0,0,0,0,0,NA
pf_ns,0,0,0,0,0,0,0,0,NA
pf_pm,0,0,0,0,0,0,0,0,NA
pf_poultry,0,0,0,0,0,0,0,0,NA
pf_poultry_tot,0,0,0,0,0,0,0,0,NA
pf_seafood,0,0,0,0,0,0,0,0,NA
pf_soy,0,0,0,0,0,0,0,0,NA
sat_fat,0,0,0,0,0,0,0,0,NA
veg_dg,0,0,0,0,0,0,0,0,NA
veg_leg,0,0,0,0,0,0,0,0,NA
veg_oth,0,0,0,0,0,0,0,0,NA
veg_ro,0,0,0,0,0,0,0,0,NA
veg_sta,0,0,0,0,0,0,0,0,NA
veg_exc_sta,0,0,0,0,0,0,0,0,NA
leg_tot,0,0,0,0,0,0,0,0,NA
fruit_exc_juice,0,0,0,0,0,0,0,0,NA
fruit_juice,0,0,0,0,0,0,0,0,NA
sea_omega3_fa,0,0,0,0,0,0,0,0,NA
fiber,0,0,0,0,0,0,0,0,NA
pf_animal,0,0,0,0,0,0,0,0,NA
pf_plant,0,0,0,0,0,0,0,0,NA
pufa_rep_carb,0,0,0,0,0,0,0,0,NA
pufa_rep_sfa,0,0,0,0,0,0,0,0,NA
pufa_rep_carbsfa,0,0,0,0,0,0,0,0,NA
babyfood,0,0,0,0,0,0,0,0,NA
coffee_tea,0,0,0,0,0,0,0,0,NA
other,0,0,0,0,0,0,0,0,NA
water,0,0,0,0,0,0,0,0,NA
