"age","female","race","outcome","riskfactor","V1","V2","V3"
25,0,1,"AA","dairy_tot",0,0,0
25,0,1,"AFF","dairy_tot",0,0,0
25,0,1,"APCA","dairy_tot",0,0,0
25,0,1,"BC","dairy_tot",NA,NA,NA
25,0,1,"CC","dairy_tot",0.0758306991982614,0.0781288416904739,0.0536929995324188
25,0,1,"CM","dairy_tot",0,0,0
25,0,1,"DIAB","dairy_tot",0,0,0
25,0,1,"ECA","dairy_tot",0,0,0
25,0,1,"ENDO","dairy_tot",0,0,0
25,0,1,"GC","dairy_tot",0,0,0
25,0,1,"HHD","dairy_tot",0,0,0
25,0,1,"HSTK","dairy_tot",0,0,0
25,0,1,"IHD","dairy_tot",0,0,0
25,0,1,"ISTK","dairy_tot",0,0,0
25,0,1,"KC","dairy_tot",0,0,0
25,0,1,"LC","dairy_tot",0,0,0
25,0,1,"LVC","dairy_tot",0,0,0
25,0,1,"MLPC","dairy_tot",0,0,0
25,0,1,"MMC","dairy_tot",0,0,0
25,0,1,"OC","dairy_tot",NA,NA,NA
25,0,1,"OSTK","dairy_tot",0,0,0
25,0,1,"OTH","dairy_tot",0,0,0
25,0,1,"PC","dairy_tot",0,0,0
25,0,1,"PVD","dairy_tot",0,0,0
25,0,1,"RHD","dairy_tot",0,0,0
25,0,1,"SCC","dairy_tot",0,0,0
25,0,1,"SCNC","dairy_tot",0,0,0
25,0,1,"TC","dairy_tot",0,0,0
25,0,1,"UC","dairy_tot",NA,NA,NA
25,0,2,"AA","dairy_tot",0,0,0
25,0,2,"AFF","dairy_tot",0,0,0
25,0,2,"APCA","dairy_tot",NA,NA,NA
25,0,2,"BC","dairy_tot",NA,NA,NA
25,0,2,"CC","dairy_tot",0.0723692754315098,0.081075873248532,0.0743680451370458
25,0,2,"CM","dairy_tot",0,0,0
25,0,2,"DIAB","dairy_tot",0,0,0
25,0,2,"ECA","dairy_tot",NA,NA,NA
25,0,2,"ENDO","dairy_tot",0,0,0
25,0,2,"GC","dairy_tot",NA,NA,NA
25,0,2,"HHD","dairy_tot",0,0,0
25,0,2,"HSTK","dairy_tot",0,0,0
25,0,2,"IHD","dairy_tot",0,0,0
25,0,2,"ISTK","dairy_tot",0,0,0
25,0,2,"KC","dairy_tot",0,0,0
25,0,2,"LC","dairy_tot",0,0,0
25,0,2,"LVC","dairy_tot",0,0,0
25,0,2,"MLPC","dairy_tot",0,0,0
25,0,2,"MMC","dairy_tot",0,0,0
25,0,2,"OC","dairy_tot",NA,NA,NA
25,0,2,"OSTK","dairy_tot",0,0,0
25,0,2,"OTH","dairy_tot",0,0,0
25,0,2,"PC","dairy_tot",0,0,0
25,0,2,"PVD","dairy_tot",0,0,0
25,0,2,"RHD","dairy_tot",0,0,0
25,0,2,"SCC","dairy_tot",0,0,NA
25,0,2,"SCNC","dairy_tot",0,0,0
25,0,2,"TC","dairy_tot",0,0,0
25,0,2,"UC","dairy_tot",NA,NA,NA
25,0,3,"AA","dairy_tot",0,0,0
25,0,3,"AFF","dairy_tot",0,0,0
25,0,3,"APCA","dairy_tot",0,0,0
25,0,3,"BC","dairy_tot",NA,NA,NA
25,0,3,"CC","dairy_tot",0.0725577135429639,0.0704392320421056,0.0496182232294713
25,0,3,"CM","dairy_tot",0,0,0
25,0,3,"DIAB","dairy_tot",0,0,0
25,0,3,"ECA","dairy_tot",0,0,0
25,0,3,"ENDO","dairy_tot",0,0,0
25,0,3,"GC","dairy_tot",NA,NA,NA
25,0,3,"HHD","dairy_tot",0,0,0
25,0,3,"HSTK","dairy_tot",0,0,0
25,0,3,"IHD","dairy_tot",0,0,0
25,0,3,"ISTK","dairy_tot",0,0,0
25,0,3,"KC","dairy_tot",0,0,0
25,0,3,"LC","dairy_tot",0,0,0
25,0,3,"LVC","dairy_tot",0,0,0
25,0,3,"MLPC","dairy_tot",0,0,0
25,0,3,"MMC","dairy_tot",0,0,0
25,0,3,"OC","dairy_tot",NA,NA,NA
25,0,3,"OSTK","dairy_tot",0,0,0
25,0,3,"OTH","dairy_tot",0,0,0
25,0,3,"PC","dairy_tot",0,0,0
25,0,3,"PVD","dairy_tot",0,0,0
25,0,3,"RHD","dairy_tot",0,0,0
25,0,3,"SCC","dairy_tot",0,0,0
25,0,3,"SCNC","dairy_tot",0,0,0
25,0,3,"TC","dairy_tot",0,0,0
25,0,3,"UC","dairy_tot",NA,NA,NA
25,0,4,"AA","dairy_tot",0,0,0
25,0,4,"AFF","dairy_tot",0,0,0
25,0,4,"APCA","dairy_tot",NA,NA,NA
25,0,4,"BC","dairy_tot",NA,NA,NA
25,0,4,"CC","dairy_tot",0.0654704618125831,0.0849140695986258,0.0665746888592181
25,0,4,"CM","dairy_tot",0,0,0
25,0,4,"DIAB","dairy_tot",0,0,0
25,0,4,"ECA","dairy_tot",NA,NA,NA
