"race","pathway","disease_type2","riskfactor","V1","V2","V3"
1,"direct","Cancer","dairy_tot",0.0102309735901297,0.00915904936350109,0.00952375944178466
1,"direct","DIAB","dairy_tot",0,0,0
1,"direct","HHD","dairy_tot",0,0,0
1,"direct","HSTK","dairy_tot",0,0,0
1,"direct","IHD","dairy_tot",0,0,0
1,"direct","ISTK","dairy_tot",0,0,0
1,"direct","OSTK","dairy_tot",0,0,0
1,"direct","Other_CVD","dairy_tot",0,0,0
1,"medBMI","Cancer","dairy_tot",0,0,0
1,"medBMI","DIAB","dairy_tot",0,0,0
1,"medBMI","HHD","dairy_tot",0,0,0
1,"medBMI","HSTK","dairy_tot",0,0,0
1,"medBMI","IHD","dairy_tot",0,0,0
1,"medBMI","ISTK","dairy_tot",0,0,0
1,"medBMI","OSTK","dairy_tot",0,0,0
1,"medBMI","Other_CVD","dairy_tot",0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0
1,"medSBP","DIAB","dairy_tot",0,0,0
1,"medSBP","HHD","dairy_tot",0,0,0
1,"medSBP","HSTK","dairy_tot",0,0,0
1,"medSBP","IHD","dairy_tot",0,0,0
1,"medSBP","ISTK","dairy_tot",0,0,0
1,"medSBP","OSTK","dairy_tot",0,0,0
1,"medSBP","Other_CVD","dairy_tot",0,0,0
2,"direct","Cancer","dairy_tot",0.0148304540267504,0.0150710216507138,0.0161585860936875
2,"direct","DIAB","dairy_tot",0,0,0
2,"direct","HHD","dairy_tot",0,0,0
2,"direct","HSTK","dairy_tot",0,0,0
2,"direct","IHD","dairy_tot",0,0,0
2,"direct","ISTK","dairy_tot",0,0,0
2,"direct","OSTK","dairy_tot",0,0,0
2,"direct","Other_CVD","dairy_tot",0,0,0
2,"medBMI","Cancer","dairy_tot",0,0,0
2,"medBMI","DIAB","dairy_tot",0,0,0
2,"medBMI","HHD","dairy_tot",0,0,0
2,"medBMI","HSTK","dairy_tot",0,0,0
2,"medBMI","IHD","dairy_tot",0,0,0
2,"medBMI","ISTK","dairy_tot",0,0,0
2,"medBMI","OSTK","dairy_tot",0,0,0
2,"medBMI","Other_CVD","dairy_tot",0,0,0
2,"medSBP","Cancer","dairy_tot",0,0,0
2,"medSBP","DIAB","dairy_tot",0,0,0
2,"medSBP","HHD","dairy_tot",0,0,0
2,"medSBP","HSTK","dairy_tot",0,0,0
2,"medSBP","IHD","dairy_tot",0,0,0
2,"medSBP","ISTK","dairy_tot",0,0,0
2,"medSBP","OSTK","dairy_tot",0,0,0
2,"medSBP","Other_CVD","dairy_tot",0,0,0
3,"direct","Cancer","dairy_tot",0.0119630915708014,0.0122928694411731,0.0124588616171168
3,"direct","DIAB","dairy_tot",0,0,0
3,"direct","HHD","dairy_tot",0,0,0
3,"direct","HSTK","dairy_tot",0,0,0
3,"direct","IHD","dairy_tot",0,0,0
3,"direct","ISTK","dairy_tot",0,0,0
3,"direct","OSTK","dairy_tot",0,0,0
3,"direct","Other_CVD","dairy_tot",0,0,0
3,"medBMI","Cancer","dairy_tot",0,0,0
3,"medBMI","DIAB","dairy_tot",0,0,0
3,"medBMI","HHD","dairy_tot",0,0,0
3,"medBMI","HSTK","dairy_tot",0,0,0
3,"medBMI","IHD","dairy_tot",0,0,0
3,"medBMI","ISTK","dairy_tot",0,0,0
3,"medBMI","OSTK","dairy_tot",0,0,0
3,"medBMI","Other_CVD","dairy_tot",0,0,0
3,"medSBP","Cancer","dairy_tot",0,0,0
3,"medSBP","DIAB","dairy_tot",0,0,0
3,"medSBP","HHD","dairy_tot",0,0,0
3,"medSBP","HSTK","dairy_tot",0,0,0
3,"medSBP","IHD","dairy_tot",0,0,0
3,"medSBP","ISTK","dairy_tot",0,0,0
3,"medSBP","OSTK","dairy_tot",0,0,0
3,"medSBP","Other_CVD","dairy_tot",0,0,0
4,"direct","Cancer","dairy_tot",0.0147776722696685,0.0132981470640279,0.0148213639165822
4,"direct","DIAB","dairy_tot",0,0,0
4,"direct","HHD","dairy_tot",0,0,0
4,"direct","HSTK","dairy_tot",0,0,0
4,"direct","IHD","dairy_tot",0,0,0
4,"direct","ISTK","dairy_tot",0,0,0
4,"direct","OSTK","dairy_tot",0,0,0
4,"direct","Other_CVD","dairy_tot",0,0,0
4,"medBMI","Cancer","dairy_tot",0,0,0
4,"medBMI","DIAB","dairy_tot",0,0,0
4,"medBMI","HHD","dairy_tot",0,0,0
4,"medBMI","HSTK","dairy_tot",0,0,0
4,"medBMI","IHD","dairy_tot",0,0,0
4,"medBMI","ISTK","dairy_tot",0,0,0
4,"medBMI","OSTK","dairy_tot",0,0,0
4,"medBMI","Other_CVD","dairy_tot",0,0,0
4,"medSBP","Cancer","dairy_tot",0,0,0
4,"medSBP","DIAB","dairy_tot",0,0,0
4,"medSBP","HHD","dairy_tot",0,0,0
4,"medSBP","HSTK","dairy_tot",0,0,0
4,"medSBP","IHD","dairy_tot",0,0,0
4,"medSBP","ISTK","dairy_tot",0,0,0
4,"medSBP","OSTK","dairy_tot",0,0,0
4,"medSBP","Other_CVD","dairy_tot",0,0,0
1,"direct","Cancer","leg_tot",0.00254671071318049,0.00269166884770844,0.0025924462154459
1,"direct","DIAB","leg_tot",0,0,0
1,"direct","HHD","leg_tot",0,0,0
1,"direct","HSTK","leg_tot",0.0567722449807086,0.0527934886795284,0.0555991744183168
1,"direct","IHD","leg_tot",0.0164284372969163,0.014179334083415,0.0153930228708197
1,"direct","ISTK","leg_tot",0.0408101127067675,0.0502372114685864,0.0421747585767213
1,"direct","OSTK","leg_tot",0.0496263294535357,0.0560170272719273,0.0458568287782685
1,"direct","Other_CVD","leg_tot",0,0,0
1,"medBMI","Cancer","leg_tot",0.00575316603718053,0.00540215819762256,0.00568577389237237
1,"medBMI","DIAB","leg_tot",0.0360644987361907,0.0399054272928926,0.0386464884448476
1,"medBMI","HHD","leg_tot",0.0347824039706662,0.0282369148894254,0.0244801962989782
1,"medBMI","HSTK","leg_tot",0.0137525603703504,0.0155002344772213,0.0135228997354371
1,"medBMI","IHD","leg_tot",0.0153085588819812,0.0146276766738988,0.0153694781894894
1,"medBMI","ISTK","leg_tot",0.0160827619405943,0.00994852437809447,0.0119227963814405
1,"medBMI","OSTK","leg_tot",0.0123078181274091,0.0123868599792599,0.0127253459959972
1,"medBMI","Other_CVD","leg_tot",0.0129224135850184,0.0145485955215676,0.0128541250607017
1,"medSBP","Cancer","leg_tot",0,0,0
1,"medSBP","DIAB","leg_tot",0,0,0
1,"medSBP","HHD","leg_tot",0,0,0
1,"medSBP","HSTK","leg_tot",0,0,0
1,"medSBP","IHD","leg_tot",0,0,0
1,"medSBP","ISTK","leg_tot",0,0,0
1,"medSBP","OSTK","leg_tot",0,0,0
1,"medSBP","Other_CVD","leg_tot",0,0,0
2,"direct","Cancer","leg_tot",0.00159436740452594,0.00212567670005014,0.00173570750933739
2,"direct","DIAB","leg_tot",0,0,0
2,"direct","HHD","leg_tot",0,0,0
2,"direct","HSTK","leg_tot",0.0690990825138127,0.0667373150641987,0.0699365820274885
2,"direct","IHD","leg_tot",0.0166507313113565,0.0148688363916518,0.0210306133643058
2,"direct","ISTK","leg_tot",0.0476247894602355,0.0482197131408901,0.0602940238096057
2,"direct","OSTK","leg_tot",0.0442635781365787,0.0526612450020322,0.0584661126107626
2,"direct","Other_CVD","leg_tot",0,0,0
2,"medBMI","Cancer","leg_tot",0.00553012410887776,0.00557860442625003,0.00524012388425636
2,"medBMI","DIAB","leg_tot",0.0367538919361806,0.0356902928357828,0.0347614555355665
2,"medBMI","HHD","leg_tot",0.0308144177730987,0.0259936374457778,0.028357719159737
2,"medBMI","HSTK","leg_tot",0.0166459181222277,0.017058245163966,0.0201613005852331
2,"medBMI","IHD","leg_tot",0.0118986767745276,0.0141969483411478,0.0161157961179855
2,"medBMI","ISTK","leg_tot",0.0117686043842444,0.0123351770298415,0.0128939500062136
2,"medBMI","OSTK","leg_tot",0.0129350078338366,0.0123324223835938,0.01276271409499
2,"medBMI","Other_CVD","leg_tot",0.0166239831114216,0.0157681715141499,0.0149880293340872
2,"medSBP","Cancer","leg_tot",0,0,0
2,"medSBP","DIAB","leg_tot",0,0,0
2,"medSBP","HHD","leg_tot",0,0,0
2,"medSBP","HSTK","leg_tot",0,0,0
2,"medSBP","IHD","leg_tot",0,0,0
2,"medSBP","ISTK","leg_tot",0,0,0
2,"medSBP","OSTK","leg_tot",0,0,0
2,"medSBP","Other_CVD","leg_tot",0,0,0
3,"direct","Cancer","leg_tot",0.00112904029810132,0.00139331122899371,0.00141687829466606
3,"direct","DIAB","leg_tot",0,0,0
3,"direct","HHD","leg_tot",0,0,0
3,"direct","HSTK","leg_tot",0.045649457172255,0.0505875753437143,0.0646853925807548
3,"direct","IHD","leg_tot",0.0146156090350863,0.0115549787735338,0.0114027804921482
3,"direct","ISTK","leg_tot",0.0368602142725121,0.0472214032789453,0.0396688544670623
3,"direct","OSTK","leg_tot",0.0351948145318949,0.0389728482342104,0.0367628476433173
3,"direct","Other_CVD","leg_tot",0,0,0
3,"medBMI","Cancer","leg_tot",0.00525878478403156,0.00521718797278346,0.00504699268148279
3,"medBMI","DIAB","leg_tot",0.0300863317420418,0.0305925165542976,0.0309363807666593
3,"medBMI","HHD","leg_tot",0.0246393649066479,0.0278084110757687,0.0250420153278108
3,"medBMI","HSTK","leg_tot",0.0120692120203601,0.0127358007065715,0.0129406912996653
3,"medBMI","IHD","leg_tot",0.0124168273591397,0.0124566963386557,0.0101767229762931
3,"medBMI","ISTK","leg_tot",0.00988953840318666,0.011588168496137,0.0121524845688003
3,"medBMI","OSTK","leg_tot",0.0092456697021967,0.0103597045882202,0.0118802472090212
3,"medBMI","Other_CVD","leg_tot",0.0129714104240495,0.013827198195988,0.0121415766423622
3,"medSBP","Cancer","leg_tot",0,0,0
3,"medSBP","DIAB","leg_tot",0,0,0
3,"medSBP","HHD","leg_tot",0,0,0
3,"medSBP","HSTK","leg_tot",0,0,0
3,"medSBP","IHD","leg_tot",0,0,0
3,"medSBP","ISTK","leg_tot",0,0,0
3,"medSBP","OSTK","leg_tot",0,0,0
3,"medSBP","Other_CVD","leg_tot",0,0,0
4,"direct","Cancer","leg_tot",0.00201146295608621,0.00172986589670321,0.00194180686071963
4,"direct","DIAB","leg_tot",0,0,0
4,"direct","HHD","leg_tot",0,0,0
4,"direct","HSTK","leg_tot",0.0460875368056322,0.0519468120418244,0.0538216551472082
4,"direct","IHD","leg_tot",0.0130215452708936,0.0149350597928863,0.0171230320381756
4,"direct","ISTK","leg_tot",0.0396418330958589,0.049751443109336,0.0535282368679427
4,"direct","OSTK","leg_tot",0.0363432060771202,0.038057551776199,0.0473277094719147
4,"direct","Other_CVD","leg_tot",0,0,0
4,"medBMI","Cancer","leg_tot",0.00486628094547759,0.00463841803423439,0.00519637082621578
4,"medBMI","DIAB","leg_tot",0.031216671142225,0.0326618441967903,0.0272614720907768
4,"medBMI","HHD","leg_tot",0.0192324505277627,0.0201064821678766,0.0199137397551604
4,"medBMI","HSTK","leg_tot",0.0117838435883355,0.0130219207518342,0.0114240742684301
4,"medBMI","IHD","leg_tot",0.0113253462410814,0.0119038908146265,0.0116313437141938
4,"medBMI","ISTK","leg_tot",0.00713820794067466,0.0110925615095957,0.00982200107514228
4,"medBMI","OSTK","leg_tot",0.00792797079334642,0.0119258920764176,0.0109568711438577
4,"medBMI","Other_CVD","leg_tot",0.0115530377972231,0.0138444238068198,0.0134296621712609
4,"medSBP","Cancer","leg_tot",0,0,0
4,"medSBP","DIAB","leg_tot",0,0,0
4,"medSBP","HHD","leg_tot",0,0,0
4,"medSBP","HSTK","leg_tot",0,0,0
4,"medSBP","IHD","leg_tot",0,0,0
4,"medSBP","ISTK","leg_tot",0,0,0
4,"medSBP","OSTK","leg_tot",0,0,0
4,"medSBP","Other_CVD","leg_tot",0,0,0
