"age","female","disease_type2","riskfactor","V1","V2","V3"
25,0,"Other_CVD","dairy_tot",0,0,0
35,0,"Other_CVD","dairy_tot",0,0,0
45,0,"Other_CVD","dairy_tot",0,0,0
55,0,"Other_CVD","dairy_tot",0,0,0
65,0,"Other_CVD","dairy_tot",0,0,0
75,0,"Other_CVD","dairy_tot",0,0,0
25,1,"Other_CVD","dairy_tot",0,0,0
35,1,"Other_CVD","dairy_tot",0,0,0
45,1,"Other_CVD","dairy_tot",0,0,0
55,1,"Other_CVD","dairy_tot",0,0,0
65,1,"Other_CVD","dairy_tot",0,0,0
75,1,"Other_CVD","dairy_tot",0,0,0
25,0,"Cancer","dairy_tot",101.800822484147,95.35294814901,71.5116768445965
35,0,"Cancer","dairy_tot",283.435464844662,278.824213438151,297.905761307706
45,0,"Cancer","dairy_tot",869.680385906844,742.098856536742,708.334120890473
55,0,"Cancer","dairy_tot",1613.33277456835,1724.76935068627,1910.23402559654
65,0,"Cancer","dairy_tot",1578.09220416167,1411.04201768981,1769.36601434469
75,0,"Cancer","dairy_tot",1431.86225613427,973.209581176539,1258.17593537165
25,1,"Cancer","dairy_tot",98.7034243728467,108.340000544885,103.509512250485
35,1,"Cancer","dairy_tot",259.554116522862,226.585915690363,264.76596943715
45,1,"Cancer","dairy_tot",680.543719399837,679.636951232973,537.772934199832
55,1,"Cancer","dairy_tot",1192.98438181559,1205.20512346737,1370.28282610686
65,1,"Cancer","dairy_tot",1219.85439007308,1353.6470417523,1259.84397460135
75,1,"Cancer","dairy_tot",2015.73122701649,1699.24843598647,1461.49022368125
25,0,"DIAB","dairy_tot",0,0,0
35,0,"DIAB","dairy_tot",0,0,0
45,0,"DIAB","dairy_tot",0,0,0
55,0,"DIAB","dairy_tot",0,0,0
65,0,"DIAB","dairy_tot",0,0,0
75,0,"DIAB","dairy_tot",0,0,0
25,1,"DIAB","dairy_tot",0,0,0
35,1,"DIAB","dairy_tot",0,0,0
45,1,"DIAB","dairy_tot",0,0,0
55,1,"DIAB","dairy_tot",0,0,0
65,1,"DIAB","dairy_tot",0,0,0
75,1,"DIAB","dairy_tot",0,0,0
25,0,"HHD","dairy_tot",0,0,0
35,0,"HHD","dairy_tot",0,0,0
45,0,"HHD","dairy_tot",0,0,0
55,0,"HHD","dairy_tot",0,0,0
65,0,"HHD","dairy_tot",0,0,0
75,0,"HHD","dairy_tot",0,0,0
25,1,"HHD","dairy_tot",0,0,0
35,1,"HHD","dairy_tot",0,0,0
45,1,"HHD","dairy_tot",0,0,0
55,1,"HHD","dairy_tot",0,0,0
65,1,"HHD","dairy_tot",0,0,0
75,1,"HHD","dairy_tot",0,0,0
25,0,"HSTK","dairy_tot",0,0,0
35,0,"HSTK","dairy_tot",0,0,0
45,0,"HSTK","dairy_tot",0,0,0
55,0,"HSTK","dairy_tot",0,0,0
65,0,"HSTK","dairy_tot",0,0,0
75,0,"HSTK","dairy_tot",0,0,0
25,1,"HSTK","dairy_tot",0,0,0
35,1,"HSTK","dairy_tot",0,0,0
45,1,"HSTK","dairy_tot",0,0,0
55,1,"HSTK","dairy_tot",0,0,0
65,1,"HSTK","dairy_tot",0,0,0
75,1,"HSTK","dairy_tot",0,0,0
25,0,"IHD","dairy_tot",0,0,0
35,0,"IHD","dairy_tot",0,0,0
45,0,"IHD","dairy_tot",0,0,0
55,0,"IHD","dairy_tot",0,0,0
65,0,"IHD","dairy_tot",0,0,0
