"disease_type2","riskfactor","V1","V2","V3"
"Other_CVD","dairy_tot",0,0,0
"Cancer","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"DIAB","dairy_tot",0,0,0
"HHD","dairy_tot",0,0,0
"HSTK","dairy_tot",0,0,0
"IHD","dairy_tot",0,0,0
"ISTK","dairy_tot",0,0,0
"OSTK","dairy_tot",0,0,0
"Other_CVD","leg_tot",1464.78036999081,1611.50752735032,1441.65346288065
"Cancer","leg_tot",8001.91100842831,7884.06945742375,7982.46010219722
"DIAB","leg_tot",2574.1080336699,2745.61151808422,2647.04582072253
"HHD","leg_tot",1669.42151015911,1412.15273037657,1280.28787540495
"HSTK","leg_tot",2410.27024277571,2403.49087478189,2513.11631372616
"IHD","leg_tot",11209.1793228074,10368.2914802708,11191.4538660538
"ISTK","leg_tot",2395.08280749548,2558.93998304246,2431.05783988762
"OSTK","leg_tot",4161.99878938612,4661.69553043774,4237.48714820188
