"female","pathway","disease_type","riskfactor","V1","V2","V3"
0,"direct","CMD","dairy_tot",0,0,0
0,"medBMI","CMD","dairy_tot",0,0,0
0,"medSBP","CMD","dairy_tot",0,0,0
1,"direct","CMD","dairy_tot",0,0,0
1,"medBMI","CMD","dairy_tot",0,0,0
1,"medSBP","CMD","dairy_tot",0,0,0
0,"direct","Cancer","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
0,"medBMI","Cancer","dairy_tot",0,0,0
0,"medSBP","Cancer","dairy_tot",0,0,0
1,"direct","Cancer","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
1,"medBMI","Cancer","dairy_tot",0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0
0,"direct","CMD","leg_tot",6483.94258293769,6837.06990910983,7020.22033427642
0,"medBMI","CMD","leg_tot",7602.10358097735,7196.92649094146,6529.78947218447
0,"medSBP","CMD","leg_tot",0,0,0
1,"direct","CMD","leg_tot",6439.14603689807,6092.50547755885,6005.18276558639
1,"medBMI","CMD","leg_tot",5359.6488754714,5635.18776673383,6186.90975483031
1,"medSBP","CMD","leg_tot",0,0,0
0,"direct","Cancer","leg_tot",1526.87601712244,1863.11488399911,1520.50324661787
0,"medBMI","Cancer","leg_tot",1715.42326153614,1774.88816542359,1742.3717766502
0,"medSBP","Cancer","leg_tot",0,0,0
1,"direct","Cancer","leg_tot",783.076153579555,611.175570616871,854.725995248398
1,"medBMI","Cancer","leg_tot",3976.53557619017,3634.8908373842,3864.85908368076
1,"medSBP","Cancer","leg_tot",0,0,0
