"female","race","outcome","riskfactor","V1","V2","V3"
0,1,"AA","dairy_tot",0,0,0
0,2,"AA","dairy_tot",0,0,0
0,3,"AA","dairy_tot",0,0,0
0,4,"AA","dairy_tot",0,0,0
1,1,"AA","dairy_tot",0,0,0
1,2,"AA","dairy_tot",0,0,0
1,3,"AA","dairy_tot",0,0,0
1,4,"AA","dairy_tot",0,0,0
0,1,"AFF","dairy_tot",0,0,0
0,2,"AFF","dairy_tot",0,0,0
0,3,"AFF","dairy_tot",0,0,0
0,4,"AFF","dairy_tot",0,0,0
1,1,"AFF","dairy_tot",0,0,0
1,2,"AFF","dairy_tot",0,0,0
1,3,"AFF","dairy_tot",0,0,0
1,4,"AFF","dairy_tot",0,0,0
0,1,"APCA","dairy_tot",0,0,0
0,2,"APCA","dairy_tot",0,0,0
0,3,"APCA","dairy_tot",0,0,0
0,4,"APCA","dairy_tot",0,0,0
1,1,"APCA","dairy_tot",0,0,0
1,2,"APCA","dairy_tot",0,0,0
1,3,"APCA","dairy_tot",0,0,0
1,4,"APCA","dairy_tot",0,0,0
0,1,"BC","dairy_tot",0,0,0
0,2,"BC","dairy_tot",0,0,0
0,3,"BC","dairy_tot",0,0,0
0,4,"BC","dairy_tot",0,0,0
1,1,"BC","dairy_tot",0,0,0
1,2,"BC","dairy_tot",0,0,0
1,3,"BC","dairy_tot",0,0,0
1,4,"BC","dairy_tot",0,0,0
0,1,"CC","dairy_tot",3932.98093742544,3199.34683397668,3897.31466102369
0,2,"CC","dairy_tot",729.284987701897,839.827915290856,875.348215632845
0,3,"CC","dairy_tot",591.198932490674,596.742465669104,549.342248013556
0,4,"CC","dairy_tot",624.739050481926,589.379752739887,693.52240968557
1,1,"CC","dairy_tot",3657.2478646797,3568.34765800901,3139.41570301091
1,2,"CC","dairy_tot",902.227867287836,820.366852877648,920.44059630272
1,3,"CC","dairy_tot",460.684746833209,481.327158941706,539.426493909293
1,4,"CC","dairy_tot",447.210780399958,402.621798845995,398.382647054008
0,1,"CM","dairy_tot",0,0,0
0,2,"CM","dairy_tot",0,0,0
0,3,"CM","dairy_tot",0,0,0
0,4,"CM","dairy_tot",0,0,0
1,1,"CM","dairy_tot",0,0,0
1,2,"CM","dairy_tot",0,0,0
1,3,"CM","dairy_tot",0,0,0
1,4,"CM","dairy_tot",0,0,0
0,1,"DIAB","dairy_tot",0,0,0
0,2,"DIAB","dairy_tot",0,0,0
0,3,"DIAB","dairy_tot",0,0,0
0,4,"DIAB","dairy_tot",0,0,0
1,1,"DIAB","dairy_tot",0,0,0
1,2,"DIAB","dairy_tot",0,0,0
1,3,"DIAB","dairy_tot",0,0,0
1,4,"DIAB","dairy_tot",0,0,0
0,1,"ECA","dairy_tot",0,0,0
0,2,"ECA","dairy_tot",0,0,0
0,3,"ECA","dairy_tot",0,0,0
0,4,"ECA","dairy_tot",0,0,0
1,1,"ECA","dairy_tot",0,0,0
1,2,"ECA","dairy_tot",0,0,0
1,3,"ECA","dairy_tot",0,0,0
1,4,"ECA","dairy_tot",0,0,0
0,1,"ENDO","dairy_tot",0,0,0
0,2,"ENDO","dairy_tot",0,0,0
0,3,"ENDO","dairy_tot",0,0,0
0,4,"ENDO","dairy_tot",0,0,0
1,1,"ENDO","dairy_tot",0,0,0
1,2,"ENDO","dairy_tot",0,0,0
1,3,"ENDO","dairy_tot",0,0,0
1,4,"ENDO","dairy_tot",0,0,0
0,1,"GC","dairy_tot",0,0,0
0,2,"GC","dairy_tot",0,0,0
0,3,"GC","dairy_tot",0,0,0
0,4,"GC","dairy_tot",0,0,0
1,1,"GC","dairy_tot",0,0,0
1,2,"GC","dairy_tot",0,0,0
1,3,"GC","dairy_tot",0,0,0
1,4,"GC","dairy_tot",0,0,0
0,1,"HHD","dairy_tot",0,0,0
0,2,"HHD","dairy_tot",0,0,0
0,3,"HHD","dairy_tot",0,0,0
0,4,"HHD","dairy_tot",0,0,0
1,1,"HHD","dairy_tot",0,0,0
1,2,"HHD","dairy_tot",0,0,0
1,3,"HHD","dairy_tot",0,0,0
1,4,"HHD","dairy_tot",0,0,0
0,1,"HSTK","dairy_tot",0,0,0
0,2,"HSTK","dairy_tot",0,0,0
0,3,"HSTK","dairy_tot",0,0,0
0,4,"HSTK","dairy_tot",0,0,0
1,1,"HSTK","dairy_tot",0,0,0
1,2,"HSTK","dairy_tot",0,0,0
1,3,"HSTK","dairy_tot",0,0,0
1,4,"HSTK","dairy_tot",0,0,0
0,1,"IHD","dairy_tot",0,0,0
0,2,"IHD","dairy_tot",0,0,0
0,3,"IHD","dairy_tot",0,0,0
0,4,"IHD","dairy_tot",0,0,0
1,1,"IHD","dairy_tot",0,0,0
1,2,"IHD","dairy_tot",0,0,0
1,3,"IHD","dairy_tot",0,0,0
1,4,"IHD","dairy_tot",0,0,0
0,1,"ISTK","dairy_tot",0,0,0
0,2,"ISTK","dairy_tot",0,0,0
0,3,"ISTK","dairy_tot",0,0,0
0,4,"ISTK","dairy_tot",0,0,0
1,1,"ISTK","dairy_tot",0,0,0
1,2,"ISTK","dairy_tot",0,0,0
1,3,"ISTK","dairy_tot",0,0,0
1,4,"ISTK","dairy_tot",0,0,0
0,1,"KC","dairy_tot",0,0,0
0,2,"KC","dairy_tot",0,0,0
0,3,"KC","dairy_tot",0,0,0
0,4,"KC","dairy_tot",0,0,0
1,1,"KC","dairy_tot",0,0,0
1,2,"KC","dairy_tot",0,0,0
1,3,"KC","dairy_tot",0,0,0
1,4,"KC","dairy_tot",0,0,0
0,1,"LC","dairy_tot",0,0,0
0,2,"LC","dairy_tot",0,0,0
0,3,"LC","dairy_tot",0,0,0
0,4,"LC","dairy_tot",0,0,0
1,1,"LC","dairy_tot",0,0,0
1,2,"LC","dairy_tot",0,0,0
1,3,"LC","dairy_tot",0,0,0
1,4,"LC","dairy_tot",0,0,0
0,1,"LVC","dairy_tot",0,0,0
0,2,"LVC","dairy_tot",0,0,0
0,3,"LVC","dairy_tot",0,0,0
0,4,"LVC","dairy_tot",0,0,0
1,1,"LVC","dairy_tot",0,0,0
1,2,"LVC","dairy_tot",0,0,0
1,3,"LVC","dairy_tot",0,0,0
1,4,"LVC","dairy_tot",0,0,0
0,1,"MLPC","dairy_tot",0,0,0
0,2,"MLPC","dairy_tot",0,0,0
0,3,"MLPC","dairy_tot",0,0,0
0,4,"MLPC","dairy_tot",0,0,0
1,1,"MLPC","dairy_tot",0,0,0
1,2,"MLPC","dairy_tot",0,0,0
1,3,"MLPC","dairy_tot",0,0,0
1,4,"MLPC","dairy_tot",0,0,0
0,1,"MMC","dairy_tot",0,0,0
0,2,"MMC","dairy_tot",0,0,0
0,3,"MMC","dairy_tot",0,0,0
0,4,"MMC","dairy_tot",0,0,0
1,1,"MMC","dairy_tot",0,0,0
1,2,"MMC","dairy_tot",0,0,0
1,3,"MMC","dairy_tot",0,0,0
1,4,"MMC","dairy_tot",0,0,0
0,1,"OC","dairy_tot",0,0,0
0,2,"OC","dairy_tot",0,0,0
0,3,"OC","dairy_tot",0,0,0
0,4,"OC","dairy_tot",0,0,0
1,1,"OC","dairy_tot",0,0,0
1,2,"OC","dairy_tot",0,0,0
1,3,"OC","dairy_tot",0,0,0
1,4,"OC","dairy_tot",0,0,0
0,1,"OSTK","dairy_tot",0,0,0
0,2,"OSTK","dairy_tot",0,0,0
0,3,"OSTK","dairy_tot",0,0,0
0,4,"OSTK","dairy_tot",0,0,0
1,1,"OSTK","dairy_tot",0,0,0
1,2,"OSTK","dairy_tot",0,0,0
1,3,"OSTK","dairy_tot",0,0,0
1,4,"OSTK","dairy_tot",0,0,0
0,1,"OTH","dairy_tot",0,0,0
0,2,"OTH","dairy_tot",0,0,0
0,3,"OTH","dairy_tot",0,0,0
0,4,"OTH","dairy_tot",0,0,0
1,1,"OTH","dairy_tot",0,0,0
1,2,"OTH","dairy_tot",0,0,0
1,3,"OTH","dairy_tot",0,0,0
1,4,"OTH","dairy_tot",0,0,0
0,1,"PC","dairy_tot",0,0,0
0,2,"PC","dairy_tot",0,0,0
0,3,"PC","dairy_tot",0,0,0
0,4,"PC","dairy_tot",0,0,0
1,1,"PC","dairy_tot",0,0,0
1,2,"PC","dairy_tot",0,0,0
1,3,"PC","dairy_tot",0,0,0
1,4,"PC","dairy_tot",0,0,0
0,1,"PVD","dairy_tot",0,0,0
0,2,"PVD","dairy_tot",0,0,0
0,3,"PVD","dairy_tot",0,0,0
0,4,"PVD","dairy_tot",0,0,0
1,1,"PVD","dairy_tot",0,0,0
1,2,"PVD","dairy_tot",0,0,0
1,3,"PVD","dairy_tot",0,0,0
1,4,"PVD","dairy_tot",0,0,0
0,1,"RHD","dairy_tot",0,0,0
0,2,"RHD","dairy_tot",0,0,0
0,3,"RHD","dairy_tot",0,0,0
0,4,"RHD","dairy_tot",0,0,0
1,1,"RHD","dairy_tot",0,0,0
1,2,"RHD","dairy_tot",0,0,0
1,3,"RHD","dairy_tot",0,0,0
1,4,"RHD","dairy_tot",0,0,0
0,1,"SCC","dairy_tot",0,0,0
0,2,"SCC","dairy_tot",0,0,0
0,3,"SCC","dairy_tot",0,0,0
0,4,"SCC","dairy_tot",0,0,0
1,1,"SCC","dairy_tot",0,0,0
1,2,"SCC","dairy_tot",0,0,0
1,3,"SCC","dairy_tot",0,0,0
1,4,"SCC","dairy_tot",0,0,0
0,1,"SCNC","dairy_tot",0,0,0
0,2,"SCNC","dairy_tot",0,0,0
0,3,"SCNC","dairy_tot",0,0,0
0,4,"SCNC","dairy_tot",0,0,0
1,1,"SCNC","dairy_tot",0,0,0
1,2,"SCNC","dairy_tot",0,0,0
1,3,"SCNC","dairy_tot",0,0,0
1,4,"SCNC","dairy_tot",0,0,0
0,1,"TC","dairy_tot",0,0,0
0,2,"TC","dairy_tot",0,0,0
0,3,"TC","dairy_tot",0,0,0
0,4,"TC","dairy_tot",0,0,0
1,1,"TC","dairy_tot",0,0,0
1,2,"TC","dairy_tot",0,0,0
1,3,"TC","dairy_tot",0,0,0
1,4,"TC","dairy_tot",0,0,0
0,1,"UC","dairy_tot",0,0,0
0,2,"UC","dairy_tot",0,0,0
0,3,"UC","dairy_tot",0,0,0
0,4,"UC","dairy_tot",0,0,0
1,1,"UC","dairy_tot",0,0,0
1,2,"UC","dairy_tot",0,0,0
1,3,"UC","dairy_tot",0,0,0
1,4,"UC","dairy_tot",0,0,0
0,1,"AA","leg_tot",67.5929090825062,72.0547498870909,61.9736650301371
0,2,"AA","leg_tot",11.7715245528181,12.6441295009113,14.1004071729951
