"female","race","outcome","pathway","riskfactor","V1","V2","V3"
0,1,"AA","direct","dairy_tot",0,0,0
0,1,"AA","medBMI","dairy_tot",0,0,0
0,1,"AA","medSBP","dairy_tot",0,0,0
0,2,"AA","direct","dairy_tot",0,0,0
0,2,"AA","medBMI","dairy_tot",0,0,0
0,2,"AA","medSBP","dairy_tot",0,0,0
0,3,"AA","direct","dairy_tot",0,0,0
0,3,"AA","medBMI","dairy_tot",0,0,0
0,3,"AA","medSBP","dairy_tot",0,0,0
0,4,"AA","direct","dairy_tot",0,0,0
0,4,"AA","medBMI","dairy_tot",0,0,0
0,4,"AA","medSBP","dairy_tot",0,0,0
1,1,"AA","direct","dairy_tot",0,0,0
1,1,"AA","medBMI","dairy_tot",0,0,0
1,1,"AA","medSBP","dairy_tot",0,0,0
1,2,"AA","direct","dairy_tot",0,0,0
1,2,"AA","medBMI","dairy_tot",0,0,0
1,2,"AA","medSBP","dairy_tot",0,0,0
1,3,"AA","direct","dairy_tot",0,0,0
1,3,"AA","medBMI","dairy_tot",0,0,0
1,3,"AA","medSBP","dairy_tot",0,0,0
1,4,"AA","direct","dairy_tot",0,0,0
1,4,"AA","medBMI","dairy_tot",0,0,0
1,4,"AA","medSBP","dairy_tot",0,0,0
0,1,"AFF","direct","dairy_tot",0,0,0
0,1,"AFF","medBMI","dairy_tot",0,0,0
0,1,"AFF","medSBP","dairy_tot",0,0,0
0,2,"AFF","direct","dairy_tot",0,0,0
0,2,"AFF","medBMI","dairy_tot",0,0,0
0,2,"AFF","medSBP","dairy_tot",0,0,0
0,3,"AFF","direct","dairy_tot",0,0,0
0,3,"AFF","medBMI","dairy_tot",0,0,0
0,3,"AFF","medSBP","dairy_tot",0,0,0
0,4,"AFF","direct","dairy_tot",0,0,0
0,4,"AFF","medBMI","dairy_tot",0,0,0
0,4,"AFF","medSBP","dairy_tot",0,0,0
1,1,"AFF","direct","dairy_tot",0,0,0
1,1,"AFF","medBMI","dairy_tot",0,0,0
1,1,"AFF","medSBP","dairy_tot",0,0,0
1,2,"AFF","direct","dairy_tot",0,0,0
1,2,"AFF","medBMI","dairy_tot",0,0,0
1,2,"AFF","medSBP","dairy_tot",0,0,0
1,3,"AFF","direct","dairy_tot",0,0,0
1,3,"AFF","medBMI","dairy_tot",0,0,0
1,3,"AFF","medSBP","dairy_tot",0,0,0
1,4,"AFF","direct","dairy_tot",0,0,0
1,4,"AFF","medBMI","dairy_tot",0,0,0
1,4,"AFF","medSBP","dairy_tot",0,0,0
0,1,"APCA","direct","dairy_tot",0,0,0
0,1,"APCA","medBMI","dairy_tot",0,0,0
0,1,"APCA","medSBP","dairy_tot",0,0,0
0,2,"APCA","direct","dairy_tot",0,0,0
0,2,"APCA","medBMI","dairy_tot",0,0,0
0,2,"APCA","medSBP","dairy_tot",0,0,0
0,3,"APCA","direct","dairy_tot",0,0,0
0,3,"APCA","medBMI","dairy_tot",0,0,0
0,3,"APCA","medSBP","dairy_tot",0,0,0
0,4,"APCA","direct","dairy_tot",0,0,0
0,4,"APCA","medBMI","dairy_tot",0,0,0
0,4,"APCA","medSBP","dairy_tot",0,0,0
1,1,"APCA","direct","dairy_tot",0,0,0
1,1,"APCA","medBMI","dairy_tot",0,0,0
1,1,"APCA","medSBP","dairy_tot",0,0,0
1,2,"APCA","direct","dairy_tot",0,0,0
1,2,"APCA","medBMI","dairy_tot",0,0,0
1,2,"APCA","medSBP","dairy_tot",0,0,0
1,3,"APCA","direct","dairy_tot",0,0,0
1,3,"APCA","medBMI","dairy_tot",0,0,0
1,3,"APCA","medSBP","dairy_tot",0,0,0
1,4,"APCA","direct","dairy_tot",0,0,0
1,4,"APCA","medBMI","dairy_tot",0,0,0
