"race","disease_type2","riskfactor","V1","V2","V3"
1,"Other_CVD","dairy_tot",0,0,0
2,"Other_CVD","dairy_tot",0,0,0
3,"Other_CVD","dairy_tot",0,0,0
4,"Other_CVD","dairy_tot",0,0,0
1,"Cancer","dairy_tot",7590.22880210514,6767.69449198569,7036.7303640346
2,"Cancer","dairy_tot",1631.51285498973,1660.1947681685,1795.78881193556
3,"Cancer","dairy_tot",1051.88367932388,1078.06962461081,1088.76874192285
4,"Cancer","dairy_tot",1071.94983088188,992.001551585883,1091.90505673958
1,"DIAB","dairy_tot",0,0,0
2,"DIAB","dairy_tot",0,0,0
3,"DIAB","dairy_tot",0,0,0
4,"DIAB","dairy_tot",0,0,0
1,"HHD","dairy_tot",0,0,0
2,"HHD","dairy_tot",0,0,0
3,"HHD","dairy_tot",0,0,0
4,"HHD","dairy_tot",0,0,0
1,"HSTK","dairy_tot",0,0,0
2,"HSTK","dairy_tot",0,0,0
3,"HSTK","dairy_tot",0,0,0
4,"HSTK","dairy_tot",0,0,0
1,"IHD","dairy_tot",0,0,0
2,"IHD","dairy_tot",0,0,0
3,"IHD","dairy_tot",0,0,0
4,"IHD","dairy_tot",0,0,0
1,"ISTK","dairy_tot",0,0,0
2,"ISTK","dairy_tot",0,0,0
3,"ISTK","dairy_tot",0,0,0
4,"ISTK","dairy_tot",0,0,0
1,"OSTK","dairy_tot",0,0,0
2,"OSTK","dairy_tot",0,0,0
3,"OSTK","dairy_tot",0,0,0
4,"OSTK","dairy_tot",0,0,0
1,"Other_CVD","leg_tot",1146.87679595498,1291.84305623744,1143.01722830439
2,"Other_CVD","leg_tot",203.122910785482,194.490564624191,185.565053824732
3,"Other_CVD","leg_tot",77.6047009890082,82.3465080814624,71.5430571060289
4,"Other_CVD","leg_tot",37.1759622613484,42.8273984072228,41.5281236454966
1,"Cancer","leg_tot",6157.57268939588,5980.59324061038,6116.45045729239
2,"Cancer","leg_tot",783.772328778145,848.688795943509,775.260898319461
3,"Cancer","leg_tot",561.664926704328,579.732700087141,564.871886929412
4,"Cancer","leg_tot",498.901063549952,475.054720782738,525.87685965596
1,"DIAB","leg_tot",1745.85749196942,1935.90800663624,1874.87161767817
2,"DIAB","leg_tot",496.083818841521,476.115781912358,455.958588601977
3,"DIAB","leg_tot",227.60845146041,225.728679157168,227.726771804569
4,"DIAB","leg_tot",104.558271398547,107.859050378446,88.4888426378164
1,"HHD","leg_tot",1251.58862371425,1025.74371606413,876.978262341903
2,"HHD","leg_tot",300.986551250289,256.101607627712,282.003185303004
3,"HHD","leg_tot",86.8155711258087,98.4843614708503,89.5831680501448
4,"HHD","leg_tot",30.0307640687677,31.8230452138804,31.7232597098998
1,"HSTK","leg_tot",1719.36319856421,1672.95407613724,1696.668851353
2,"HSTK","leg_tot",391.097755203678,401.598657361294,430.641983492353
3,"HSTK","leg_tot",179.939333553213,194.625655219895,245.848019816262
4,"HSTK","leg_tot",119.869955454612,134.312486063457,139.957459064541
1,"IHD","leg_tot",9084.81889844357,8258.72853585019,8786.26100992159
2,"IHD","leg_tot",1153.55971121285,1185.09872916016,1524.13415551683
3,"IHD","leg_tot",679.589622935479,596.506088926652,529.862329738146
4,"IHD","leg_tot",291.211090215485,327.958126333775,351.196370877227
1,"ISTK","leg_tot",1835.37007920369,1915.57760581515,1745.61491152538
2,"ISTK","leg_tot",321.309701937894,338.07204479874,403.16140927279
3,"ISTK","leg_tot",166.767972374938,223.543897764308,190.979748522119
4,"ISTK","leg_tot",71.6350539789624,81.7464346642559,91.3017705673274
1,"OSTK","leg_tot",3335.37757644612,3707.81722348234,3191.62261104009
2,"OSTK","leg_tot",523.771096665023,601.988068161325,671.72202408615
3,"OSTK","leg_tot",189.049238672667,214.800205204776,218.694537694506
4,"OSTK","leg_tot",113.800877602309,137.090033589298,155.447975381134
