"","age","female","race","outcome","pathway","V1","V2","V3"
"1",25,0,1,"AA","direct",0,0,0
"2",35,0,1,"AA","direct",0,0,0
"3",45,0,1,"AA","direct",0,0,0
"4",55,0,1,"AA","direct",0,0,0
"5",65,0,1,"AA","direct",0,0,0
"6",75,0,1,"AA","direct",0,0,0
"7",25,1,1,"AA","direct",0,0,0
"8",35,1,1,"AA","direct",0,0,0
"9",45,1,1,"AA","direct",0,0,0
"10",55,1,1,"AA","direct",0,0,0
"11",65,1,1,"AA","direct",0,0,0
"12",75,1,1,"AA","direct",0,0,0
"13",25,0,2,"AA","direct",0,0,0
"14",35,0,2,"AA","direct",0,0,0
"15",45,0,2,"AA","direct",0,0,0
"16",55,0,2,"AA","direct",0,0,0
"17",65,0,2,"AA","direct",0,0,0
"18",75,0,2,"AA","direct",0,0,0
"19",25,1,2,"AA","direct",0,0,0
"20",35,1,2,"AA","direct",0,0,0
"21",45,1,2,"AA","direct",0,0,0
"22",55,1,2,"AA","direct",0,0,0
"23",65,1,2,"AA","direct",0,0,0
"24",75,1,2,"AA","direct",0,0,0
"25",25,0,3,"AA","direct",0,0,0
"26",35,0,3,"AA","direct",0,0,0
"27",45,0,3,"AA","direct",0,0,0
"28",55,0,3,"AA","direct",0,0,0
"29",65,0,3,"AA","direct",0,0,0
"30",75,0,3,"AA","direct",0,0,0
"31",25,1,3,"AA","direct",0,0,0
"32",35,1,3,"AA","direct",0,0,0
"33",45,1,3,"AA","direct",0,0,0
"34",55,1,3,"AA","direct",0,0,0
"35",65,1,3,"AA","direct",0,0,0
"36",75,1,3,"AA","direct",0,0,0
"37",25,0,4,"AA","direct",0,0,0
"38",35,0,4,"AA","direct",0,0,0
"39",45,0,4,"AA","direct",0,0,0
"40",55,0,4,"AA","direct",0,0,0
"41",65,0,4,"AA","direct",0,0,0
"42",75,0,4,"AA","direct",0,0,0
"43",25,1,4,"AA","direct",0,0,0
"44",35,1,4,"AA","direct",0,0,0
"45",45,1,4,"AA","direct",0,0,0
"46",55,1,4,"AA","direct",0,0,0
"47",65,1,4,"AA","direct",0,0,0
"48",75,1,4,"AA","direct",0,0,0
"49",25,0,1,"AFF","direct",0,0,0
"50",35,0,1,"AFF","direct",0,0,0
"51",45,0,1,"AFF","direct",0,0,0
"52",55,0,1,"AFF","direct",0,0,0
"53",65,0,1,"AFF","direct",0,0,0
"54",75,0,1,"AFF","direct",0,0,0
"55",25,1,1,"AFF","direct",0,0,0
"56",35,1,1,"AFF","direct",0,0,0
"57",45,1,1,"AFF","direct",0,0,0
"58",55,1,1,"AFF","direct",0,0,0
"59",65,1,1,"AFF","direct",0,0,0
"60",75,1,1,"AFF","direct",0,0,0
"61",25,0,2,"AFF","direct",0,0,0
"62",35,0,2,"AFF","direct",0,0,0
"63",45,0,2,"AFF","direct",0,0,0
"64",55,0,2,"AFF","direct",0,0,0
"65",65,0,2,"AFF","direct",0,0,0
"66",75,0,2,"AFF","direct",0,0,0
"67",25,1,2,"AFF","direct",0,0,0
"68",35,1,2,"AFF","direct",0,0,0
"69",45,1,2,"AFF","direct",0,0,0
"70",55,1,2,"AFF","direct",0,0,0
"71",65,1,2,"AFF","direct",0,0,0
"72",75,1,2,"AFF","direct",0,0,0
"73",25,0,3,"AFF","direct",0,0,0
"74",35,0,3,"AFF","direct",0,0,0
"75",45,0,3,"AFF","direct",0,0,0
"76",55,0,3,"AFF","direct",0,0,0
"77",65,0,3,"AFF","direct",0,0,0
"78",75,0,3,"AFF","direct",0,0,0
"79",25,1,3,"AFF","direct",0,0,0
"80",35,1,3,"AFF","direct",0,0,0
"81",45,1,3,"AFF","direct",0,0,0
"82",55,1,3,"AFF","direct",0,0,0
"83",65,1,3,"AFF","direct",0,0,0
"84",75,1,3,"AFF","direct",0,0,0
"85",25,0,4,"AFF","direct",0,0,0
"86",35,0,4,"AFF","direct",0,0,0
"87",45,0,4,"AFF","direct",0,0,0
"88",55,0,4,"AFF","direct",0,0,0
