"age","female","disease_type3","V1","V2","V3"
25,0,"All_HD",137.299626826425,119.898960992143,98.7432749273477
25,0,"All_STK",113.171561328809,97.0770593970655,110.288928078804
25,0,"Cancer",1027.86769018561,941.737352070309,871.607491041253
25,0,"DIAB",25.3200085095647,31.7893375585212,26.9561234583907
25,0,"Other_CVD",188.488365461524,178.962998683053,186.827541657984
25,1,"All_HD",38.2368654382523,42.6591822391944,41.6548258318306
25,1,"All_STK",89.4082004574539,82.5777241069669,97.0973794628916
25,1,"Cancer",2289.66146756418,2586.99872269179,2344.21794976758
25,1,"DIAB",14.3620022898685,26.3020602480501,22.4781463975957
25,1,"Other_CVD",139.92447373081,135.877092353071,114.024020997941
35,0,"All_HD",425.837353062215,469.632218081567,353.075815926012
35,0,"All_STK",348.581451322748,342.246240683527,309.673314968329
35,0,"Cancer",2537.19323997743,2622.13814283139,2290.77940261632
35,0,"DIAB",102.723686471984,90.5514247930439,96.4583667320226
35,0,"Other_CVD",293.420620208344,306.642204753994,272.287468276075
35,1,"All_HD",185.31426176279,154.49944873864,133.688101169412
35,1,"All_STK",304.946557863583,302.10965099515,320.306604158021
35,1,"Cancer",3849.96284374139,4059.52431789663,4533.6129605183
35,1,"DIAB",44.8207597215665,56.2386043015337,29.1833124652848
35,1,"Other_CVD",168.348023844528,172.471466250478,151.273021933796
45,0,"All_HD",1716.95196197765,1171.4220619122,1380.88532069882
45,0,"All_STK",897.899328777265,1069.82482142309,852.757738186693
45,0,"Cancer",8614.52701905061,8457.69421594198,7661.72236669505
45,0,"DIAB",234.562596926553,244.371826043378,190.257699423936
45,0,"Other_CVD",484.851876426716,544.782238112366,430.582012480837
45,1,"All_HD",453.859383422272,370.880983962111,474.987697954721
45,1,"All_STK",739.56643734146,736.833870264552,831.051150801271
45,1,"Cancer",14645.2896460272,13601.1448127071,13171.5218894561
45,1,"DIAB",110.305653372701,127.086156176985,161.336937241736
45,1,"Other_CVD",282.614453776997,268.246461140877,279.990857936071
55,0,"All_HD",2926.88471578947,2640.81834121299,3354.56625179527
55,0,"All_STK",1836.04384212431,1777.11477108352,1847.60685295931
55,0,"Cancer",24428.6980882662,26983.5256153194,29789.4265729513
55,0,"DIAB",294.503790379208,261.379460318613,334.559375262468
55,0,"Other_CVD",913.254233682332,839.70955843803,808.797222374869
55,1,"All_HD",1033.3275742156,934.891283915604,1221.91240710679
55,1,"All_STK",1426.27966779474,1398.86470943132,1559.99746522
55,1,"Cancer",39141.7683457631,37199.2691619034,44191.9017458576
55,1,"DIAB",192.0480700645,233.686512819811,226.956723469896
55,1,"Other_CVD",541.817872422339,485.299536759639,430.485964148507
65,0,"All_HD",4156.18116157754,4269.1383119533,4331.88111396937
65,0,"All_STK",3057.65095269654,2925.82264362994,2842.74009492493
65,0,"Cancer",31673.1412966455,29386.1044864278,32620.9840596751
65,0,"DIAB",504.366372992988,656.857083808633,345.08646737331
65,0,"Other_CVD",1151.69432286337,1098.98845705951,975.323362654624
65,1,"All_HD",2309.72635026808,1743.60982775919,1597.97199934345
65,1,"All_STK",2505.76213519086,2729.28928437191,2057.64101410362
65,1,"Cancer",41635.2239298861,37805.8248929196,43327.2377508325
65,1,"DIAB",217.330596694391,259.707606397559,289.652043596458
65,1,"Other_CVD",790.034032686351,727.033771512022,795.465131638657
75,0,"All_HD",6297.06101992387,5967.86029421933,5067.21509606909
75,0,"All_STK",4973.08740658523,4812.0077529435,5336.89938906289
75,0,"Cancer",24073.4999721091,21882.7813846419,21206.9870679629
75,0,"DIAB",333.352865462081,390.07160945901,388.281013500791
75,0,"Other_CVD",2160.60491380267,2290.51758094722,2205.40658018115
75,1,"All_HD",6346.39095051578,5593.87950948852,5262.79865348461
75,1,"All_STK",9928.49473239786,11266.0244896912,10783.3777374258
75,1,"Cancer",38825.5786996972,37108.9364002409,34918.7873187168
75,1,"DIAB",500.411630784494,367.569836159079,535.839611800646
75,1,"Other_CVD",2952.03960954764,3233.25868403712,3319.43518336021
