"age","female","pathway","disease_type2","V1","V2","V3"
25,0,"direct","Cancer",536.738314707066,460.72857488616,426.01055089379
25,0,"medSBP","Cancer",0,0,0
25,0,"medBMI","Cancer",491.129375478541,481.008777184149,445.596940147463
25,0,"direct","DIAB",0,0,0
25,0,"medSBP","DIAB",0,0,0
25,0,"medBMI","DIAB",25.3200085095647,31.7893375585212,26.9561234583907
25,0,"direct","HHD",0,0,0
25,0,"medSBP","HHD",0,0,0
25,0,"medBMI","HHD",20.2840623291645,16.2096117275493,9.0421965071964
25,0,"direct","HSTK",19.1879638205929,15.8092794861663,20.6574677501703
25,0,"medSBP","HSTK",0,0,0
25,0,"medBMI","HSTK",4.44024925350445,4.60054432002541,4.63275077643605
25,0,"direct","IHD",25.1252040048136,30.4290462141481,25.1817013905092
25,0,"medSBP","IHD",0,0,0
25,0,"medBMI","IHD",26.7143326371458,15.9246517600438,17.412303918331
25,0,"direct","ISTK",7.19452407715008,5.18404815644669,8.96089853892862
25,0,"medSBP","ISTK",0,0,0
25,0,"medBMI","ISTK",2.85865090649648,2.62071391806811,2.7653918245757
25,0,"direct","OSTK",6.13086595958105,4.54738856712514,4.03560236836331
25,0,"medSBP","OSTK",0,0,0
25,0,"medBMI","OSTK",1.26575812601706,1.23793946776067,0.872211664256095
25,0,"direct","Other_CVD",0,0,0
25,0,"medSBP","Other_CVD",0,0,0
25,0,"medBMI","Other_CVD",188.488365461524,178.962998683053,186.827541657984
25,1,"direct","Cancer",1139.27912223768,1175.56516526736,1305.85220518228
25,1,"medBMI","Cancer",1150.3823453265,1411.43355742443,1038.36574458529
25,1,"medSBP","Cancer",0,0,0
25,1,"direct","DIAB",0,0,0
25,1,"medBMI","DIAB",14.3620022898685,26.3020602480501,22.4781463975957
25,1,"medSBP","DIAB",0,0,0
25,1,"direct","HHD",0,0,0
25,1,"medBMI","HHD",5.31689544824208,6.50128188909053,7.49379933017473
25,1,"medSBP","HHD",0,0,0
25,1,"direct","HSTK",8.92629171465276,12.5766617097886,14.4202392524711
25,1,"medBMI","HSTK",4.28563351426261,2.56026908619713,2.88884587997432
25,1,"medSBP","HSTK",0,0,0
25,1,"direct","IHD",7.82488171353138,8.20501298844912,9.54078679260827
25,1,"medBMI","IHD",7.66199019061251,7.85753485421109,6.79402579851121
25,1,"medSBP","IHD",0,0,0
25,1,"direct","ISTK",9.23605769414739,6.50567221415612,10.0363502130024
