"age","female","race","disease_type","V1","V2","V3"
25,0,1,"Cancer",677.16366868001,585.240299058333,533.316012634312
25,0,1,"CMD",983.498880565133,973.334628512884,1068.25907248993
25,0,2,"Cancer",86.1801647725103,82.3575104064763,55.4125683204137
25,0,2,"CMD",641.070752408971,578.757664305037,557.548247555326
25,0,3,"Cancer",171.775557953227,175.093901354895,176.61890891566
25,0,3,"CMD",293.739921802681,252.98387657689,253.05652300097
25,0,4,"Cancer",92.7482987798603,99.0456412506038,106.260001170868
25,0,4,"CMD",110.824839606917,112.65000439958,121.492798264607
25,1,1,"Cancer",1308.63861898329,1526.09409661906,1206.58055646793
25,1,1,"CMD",618.846860010883,550.562367214448,568.764742691682
25,1,2,"Cancer",230.335716304574,230.432132231628,262.720473442857
25,1,2,"CMD",356.091483773888,365.425796605018,365.827885759769
25,1,3,"Cancer",484.281480166652,490.684946083943,486.96002569239
25,1,3,"CMD",117.064804102887,143.837697264655,136.340209763141
25,1,4,"Cancer",266.405652109661,339.787547757163,387.956894164398
25,1,4,"CMD",45.1669780601083,57.3825312359509,66.017994704521
35,0,1,"Cancer",1476.8949945181,1529.23085642235,1336.02340343977
35,0,1,"CMD",2821.32189691868,3074.06252926316,2670.94563689246
35,0,2,"Cancer",351.515118050398,445.447119872263,332.138849347263
35,0,2,"CMD",1808.08388459255,1563.41447453358,1393.27162315648
35,0,3,"Cancer",440.027656449147,356.942512009313,369.64762736348
35,0,3,"CMD",637.62381449016,642.09494183341,712.715927724313
35,0,4,"Cancer",268.755470959776,290.517654527467,252.969522465816
35,0,4,"CMD",276.367606080814,249.423644070951,195.480885397319
35,1,1,"Cancer",1833.1266618013,1958.88164853262,2337.9631288695
35,1,1,"CMD",1454.43541646236,1678.6195471937,1547.27346166737
35,1,2,"Cancer",650.246985070161,627.748577500346,722.183000807724
35,1,2,"CMD",1008.03101790525,780.837316891894,766.198696071553
35,1,3,"Cancer",702.21144725386,820.869254980153,828.887590394389
35,1,3,"CMD",245.649439820605,251.54495535193,250.518749792977
35,1,4,"Cancer",664.377749616069,652.024836883507,644.579240446686
35,1,4,"CMD",113.91149760112,130.225170028373,134.960095244506
45,0,1,"Cancer",5367.79815917394,5203.406687647,4167.75255167808
45,0,1,"CMD",8889.71724950214,11269.042280481,9212.51626730524
45,0,2,"Cancer",1198.14716124635,1361.94486501225,1270.56526456951
45,0,2,"CMD",3816.61054875007,3506.4605036585,2813.62247953925
45,0,3,"Cancer",969.853104308473,774.387298614287,821.665939195892
45,0,3,"CMD",1461.06820183048,1038.62128450207,1156.30946499679
45,0,4,"Cancer",1078.72859432185,1117.95536466844,1401.73861125157
45,0,4,"CMD",675.952008817557,765.725118065496,746.426801430065
45,1,1,"Cancer",9680.61069522423,8899.28452814187,8642.25355375489
