"age","outcome","pathway","V1","V2","V3"
25,"AA","direct",0,0,0
25,"AA","medSBP",0,0,0
25,"AA","medBMI",4.18002201981569,4.51604510590918,4.42246220879875
25,"AFF","medSBP",0,0,0
25,"AFF","direct",0,0,0
25,"AFF","medBMI",0.39728183111655,0.248299232395522,0.325907294312229
25,"APCA","direct",0,0,0
25,"APCA","medBMI",0.0392964595411374,0.0315514920940048,0.0360011610726076
25,"APCA","medSBP",0,0,0
25,"BC","direct",0,0,0
25,"BC","medSBP",0,0,0
25,"BC","medBMI",0,0,0
25,"CC","medBMI",8.6696615070419,5.5152075799416,6.84850316090139
25,"CC","direct",200.504246856993,203.692948693895,175.021189095081
25,"CC","medSBP",0,0,0
25,"CM","medBMI",22.9515946959456,19.5916628377429,16.8511790783932
25,"CM","medSBP",0,0,0
25,"CM","direct",0,0,0
25,"DIAB","direct",0,0,0
25,"DIAB","medBMI",39.6820107994332,58.0913978065713,49.4342698559864
25,"DIAB","medSBP",0,0,0
25,"ECA","medSBP",0,0,0
25,"ECA","medBMI",1.61433834559262,1.58463255604323,0.708645660771835
25,"ECA","direct",0,0,0
25,"ENDO","medSBP",0,0,0
25,"ENDO","medBMI",5.32102866750422,5.25613784314348,5.16458492426069
25,"ENDO","direct",0,0,0
25,"GC","medBMI",0.15317134016989,0.241450772276461,0.152709572575955
25,"GC","direct",0,0,0
25,"GC","medSBP",0,0,0
25,"HHD","direct",0,0,0
25,"HHD","medBMI",25.6009577774065,22.7108936166399,16.5359958373711
25,"HHD","medSBP",0,0,0
25,"HSTK","direct",28.1142555352456,28.3859411959549,35.0777070026414
25,"HSTK","medBMI",8.72588276776706,7.16081340622254,7.52159665641037
25,"HSTK","medSBP",0,0,0
25,"IHD","medSBP",0,0,0
25,"IHD","medBMI",34.3763228277583,23.7821866142549,24.2063297168422
25,"IHD","direct",32.9500857183449,38.6340592025972,34.7224881831175
25,"ISTK","direct",16.4305817712975,11.6897203706028,18.997248751931
25,"ISTK","medSBP",0,0,0
25,"ISTK","medBMI",5.16186433086691,4.99086650097555,5.06356555432269
25,"KC","medSBP",0,0,0
25,"KC","medBMI",12.0842761795011,15.4956159937621,11.9077162253879
25,"KC","direct",0,0,0
25,"LC","medSBP",0,0,0
25,"LC","direct",0,0,0
25,"LC","medBMI",0,0,0
25,"LVC","direct",0,0,0
25,"LVC","medSBP",0,0,0
25,"LVC","medBMI",2.87869421366675,3.59497300650717,2.86635632230651
25,"MLPC","medBMI",0,0,0
25,"MLPC","direct",37.518948417397,26.6491392875292,38.3362981483183
25,"MLPC","medSBP",0,0,0
25,"MMC","direct",0,0,0
25,"MMC","medBMI",0.428869692928018,0.494163983917447,0.609475375411111
25,"MMC","medSBP",0,0,0
25,"OC","direct",0,0,0
25,"OC","medSBP",0,0,0
25,"OC","medBMI",2.29069898841306,2.98127634379115,2.49290271973443
25,"OSTK","direct",12.1855761172005,9.12301165525805,8.95469347570206
25,"OSTK","medBMI",2.40935542206156,2.51471843077681,2.12341796246987
25,"OSTK","medSBP",0,0,0
25,"OTH","medBMI",17.74387313176,17.5018828554963,14.7755023599231
25,"OTH","medSBP",0,0,0
25,"OTH","direct",0,0,0
25,"PC","medSBP",0,0,0
25,"PC","medBMI",1.74106140488026,1.27953015957178,1.47426718570951
25,"PC","direct",0,0,0
25,"PVD","medBMI",0.472349548987431,0.26906863313027,0.223880925992308
25,"PVD","direct",0,0,0
25,"PVD","medSBP",0,0,0
25,"RHD","medSBP",0,0,0
25,"RHD","direct",0,0,0
25,"RHD","medBMI",3.09581944185646,3.20808460911828,2.47579978148364
25,"SCC","direct",0,0,0
25,"SCC","medSBP",0,0,0
25,"SCC","medBMI",0.692232912578481,1.54766650576531,0.805907968537226
25,"SCNC","medBMI",0,0,0
25,"SCNC","medSBP",0,0,0
25,"SCNC","direct",0,0,0
25,"TC","direct",0,0,0
25,"TC","medBMI",21.435117223385,25.5505945695651,14.8543472350739
25,"TC","medSBP",0,0,0
25,"UC","medSBP",0,0,0
25,"UC","direct",0,0,0
25,"UC","medBMI",20.6299414219799,19.7518941988282,18.640087126374
35,"AA","direct",0,0,0
35,"AA","medBMI",8.6916566233941,9.82302024581181,8.92568466568381
35,"AA","medSBP",0,0,0
35,"AFF","medSBP",0,0,0
35,"AFF","direct",0,0,0
35,"AFF","medBMI",1.39790369873789,1.73042823851778,1.40420282139428
35,"APCA","direct",0,0,0
35,"APCA","medSBP",0,0,0
35,"APCA","medBMI",0.456662995442132,0.213265567629839,0.477751679594335
35,"BC","medBMI",0,0,0
