"age","race","outcome","pathway","V1","V2","V3"
25,1,"AA","direct",0,0,0
25,1,"AA","medSBP",0,0,0
25,1,"AA","medBMI",1.5088477466693,1.8244998541426,2.36049756520301
25,1,"AFF","medSBP",0,0,0
25,1,"AFF","direct",0,0,0
25,1,"AFF","medBMI",0.238408033798011,0.101104613638765,0.191423556340051
25,1,"APCA","direct",0,0,0
25,1,"APCA","medBMI",0.0120603707169929,0.0240841971313701,0.0201745441344702
25,1,"APCA","medSBP",0,0,0
25,1,"BC","direct",0,0,0
25,1,"BC","medSBP",0,0,0
25,1,"BC","medBMI",0,0,0
25,1,"CC","medBMI",5.13047067849835,2.62363950122808,4.1943716832232
25,1,"CC","direct",118.871694545708,121.738394361547,95.5865270034201
25,1,"CC","medSBP",0,0,0
25,1,"CM","medBMI",12.0276729548945,9.72801563940333,11.4265156610623
25,1,"CM","medSBP",0,0,0
25,1,"CM","direct",0,0,0
25,1,"DIAB","direct",0,0,0
25,1,"DIAB","medBMI",19.3896819398075,34.4789219871768,23.2945938676328
25,1,"DIAB","medSBP",0,0,0
25,1,"ECA","medSBP",0,0,0
25,1,"ECA","medBMI",1.30528790742307,1.38221924867023,0.417094030930184
25,1,"ECA","direct",0,0,0
25,1,"ENDO","medSBP",0,0,0
25,1,"ENDO","medBMI",3.90528955774788,3.42206416376808,3.66299334015797
25,1,"ENDO","direct",0,0,0
25,1,"GC","medBMI",0.0351479180470833,0.00645766842636042,0.0817798586687035
25,1,"GC","direct",0,0,0
25,1,"GC","medSBP",0,0,0
25,1,"HHD","direct",0,0,0
25,1,"HHD","medBMI",11.9893488927422,12.743486270411,8.9714956100519
25,1,"HHD","medSBP",0,0,0
25,1,"HSTK","direct",11.8129084934031,11.0535056661424,13.5780963367738
25,1,"HSTK","medBMI",3.83236898079596,2.86683171876145,2.60322937552853
25,1,"HSTK","medSBP",0,0,0
25,1,"IHD","medSBP",0,0,0
25,1,"IHD","medBMI",13.4989871527818,13.1532886713507,10.9537826953385
25,1,"IHD","direct",15.4370752665695,23.9106899702786,20.147631473039
25,1,"ISTK","direct",9.64762160276836,5.73496944750316,9.82883474638978
25,1,"ISTK","medSBP",0,0,0
25,1,"ISTK","medBMI",2.52358379333351,2.49255951610134,2.93326344556986
25,1,"KC","medSBP",0,0,0
25,1,"KC","medBMI",8.28891617316068,10.0042497683989,7.93068502571498
25,1,"KC","direct",0,0,0
25,1,"LC","medSBP",0,0,0
25,1,"LC","direct",0,0,0
25,1,"LC","medBMI",0,0,0
25,1,"LVC","direct",0,0,0
25,1,"LVC","medSBP",0,0,0
25,1,"LVC","medBMI",1.07784412002885,1.49092600381475,0.568012759646939
25,1,"MLPC","medBMI",0,0,0
25,1,"MLPC","direct",21.8743468326417,12.1948427292358,21.0001298931709
25,1,"MLPC","medSBP",0,0,0
25,1,"MMC","direct",0,0,0
25,1,"MMC","medBMI",0.223583764502889,0.310638124336045,0.324344432706567
25,1,"MMC","medSBP",0,0,0
25,1,"OC","direct",0,0,0
25,1,"OC","medSBP",0,0,0
25,1,"OC","medBMI",1.30661472046183,1.75035065783255,1.39727777861002
25,1,"OSTK","direct",6.64290913962694,4.08567655983113,4.25507575261557
25,1,"OSTK","medBMI",1.40909293386069,1.12012295245252,0.855598704419819
25,1,"OSTK","medSBP",0,0,0
25,1,"OTH","medBMI",8.43369630155481,11.0417219564593,8.52244253370201
25,1,"OTH","medSBP",0,0,0
25,1,"OTH","direct",0,0,0
25,1,"PC","medSBP",0,0,0
25,1,"PC","medBMI",0.653999888165061,0.520595133085422,0.918826706589429
25,1,"PC","direct",0,0,0
25,1,"PVD","medBMI",0.352655426388563,0.0956488680834329,0.0654094553863107
25,1,"PVD","direct",0,0,0
25,1,"PVD","medSBP",0,0,0
25,1,"RHD","medSBP",0,0,0
25,1,"RHD","direct",0,0,0
25,1,"RHD","medBMI",1.69617854802276,1.77389187266477,1.26502941324537
25,1,"SCC","direct",0,0,0
25,1,"SCC","medSBP",0,0,0
25,1,"SCC","medBMI",0.473004609324828,0.906140666371312,0.272352329115402
25,1,"SCNC","medBMI",0,0,0
25,1,"SCNC","medSBP",0,0,0
25,1,"SCNC","direct",0,0,0
25,1,"TC","direct",0,0,0
25,1,"TC","medBMI",14.464596231405,18.3938269302257,8.67888053421176
25,1,"TC","medSBP",0,0,0
25,1,"UC","medSBP",0,0,0
25,1,"UC","direct",0,0,0
25,1,"UC","medBMI",8.76219198666005,11.5362156174567,8.03580763297582
25,2,"AA","medSBP",0,0,0
25,2,"AA","medBMI",1.57980728626839,1.43481605966683,1.00794947249373
25,2,"AA","direct",0,0,0
25,2,"AFF","medSBP",0,0,0
25,2,"AFF","medBMI",0.0551897305971658,0.056152752199724,0.0503965588792884
25,2,"AFF","direct",0,0,0
25,2,"APCA","direct",0,0,0
25,2,"APCA","medBMI",0,0,0
25,2,"APCA","medSBP",0,0,0
25,2,"BC","medSBP",0,0,0
25,2,"BC","medBMI",0,0,0
25,2,"BC","direct",0,0,0
25,2,"CC","direct",18.5827991552443,21.6122868162402,21.7143849783125
25,2,"CC","medBMI",1.16667222468688,0.264159018171617,1.17593915698818
25,2,"CC","medSBP",0,0,0
25,2,"CM","direct",0,0,0
25,2,"CM","medBMI",7.12126320204607,5.73417241276488,3.3618345938685
25,2,"CM","medSBP",0,0,0
25,2,"DIAB","direct",0,0,0
25,2,"DIAB","medSBP",0,0,0
25,2,"DIAB","medBMI",13.4606441942254,17.8476918191898,19.8960242957389
25,2,"ECA","medSBP",0,0,0
25,2,"ECA","direct",0,0,0
25,2,"ECA","medBMI",0,0,0
25,2,"ENDO","direct",0,0,0
25,2,"ENDO","medSBP",0,0,0
25,2,"ENDO","medBMI",0.644903325261732,0.739658391464861,0.510773245843223
25,2,"GC","medBMI",0.0645384141510955,0.091622505708441,0.0460684855348267
25,2,"GC","medSBP",0,0,0
25,2,"GC","direct",0,0,0
25,2,"HHD","medBMI",11.5842016147436,5.26959246200795,6.69244788536912
25,2,"HHD","direct",0,0,0
25,2,"HHD","medSBP",0,0,0
25,2,"HSTK","direct",6.56238005304222,9.38944531621511,10.4010911301837
25,2,"HSTK","medBMI",2.26272504461596,2.31081065184522,2.47648213141208
25,2,"HSTK","medSBP",0,0,0
25,2,"IHD","medSBP",0,0,0
25,2,"IHD","direct",12.0074550046967,7.99221105579444,10.487342198632
25,2,"IHD","medBMI",16.0341289029143,7.00832290638773,7.85702222757847
25,2,"ISTK","medBMI",1.50611613386945,1.58969679048807,1.02787565443113
25,2,"ISTK","medSBP",0,0,0
25,2,"ISTK","direct",4.16930175093878,3.20243363517563,4.72824145923422
25,2,"KC","medSBP",0,0,0
25,2,"KC","medBMI",1.17685668687538,1.64714558472005,1.50680778792323
25,2,"KC","direct",0,0,0
25,2,"LC","medSBP",0,0,0
25,2,"LC","direct",0,0,0
25,2,"LC","medBMI",0,0,0
25,2,"LVC","medBMI",1.03284032802062,0.54221336056738,0.620605874240458
25,2,"LVC","medSBP",0,0,0
25,2,"LVC","direct",0,0,0
25,2,"MLPC","medSBP",0,0,0
25,2,"MLPC","medBMI",0,0,0
25,2,"MLPC","direct",3.79050729023399,4.40452088093724,3.13300232568082
25,2,"MMC","medSBP",0,0,0
25,2,"MMC","direct",0,0,0
25,2,"MMC","medBMI",0.122163214725237,0.0691854126442922,0.183585257125705
25,2,"OC","medBMI",0.299401520578317,0.333398895697753,0.362626396688112
25,2,"OC","medSBP",0,0,0
25,2,"OC","direct",0,0,0
25,2,"OSTK","direct",2.72927316775199,2.78897076803202,2.71948196944917
25,2,"OSTK","medBMI",0.509032779818953,0.747461120027676,0.798001921596288
25,2,"OSTK","medSBP",0,0,0
25,2,"OTH","medSBP",0,0,0
25,2,"OTH","direct",0,0,0
25,2,"OTH","medBMI",7.34115828048325,3.85037350653867,2.70220867275058
25,2,"PC","medSBP",0,0,0
25,2,"PC","direct",0,0,0
25,2,"PC","medBMI",0.23120775340156,0.103779123083838,0.273912191945477
25,2,"PVD","medSBP",0,0,0
25,2,"PVD","direct",0,0,0
25,2,"PVD","medBMI",0.060723791852298,0.0763518561140093,0.0341339461774525
25,2,"RHD","medBMI",0.723172257362884,0.425484659584045,0.385530885185889
25,2,"RHD","direct",0,0,0
25,2,"RHD","medSBP",0,0,0
25,2,"SCC","medBMI",0.0860428704553545,0.0289937133144452,0
25,2,"SCC","medSBP",0,0,0
25,2,"SCC","direct",0,0,0
25,2,"SCNC","direct",0,0,0
25,2,"SCNC","medBMI",0,0,0
25,2,"SCNC","medSBP",0,0,0
25,2,"TC","direct",0,0,0
25,2,"TC","medBMI",0.680549973610343,0.808374603337857,0.742842340410002
25,2,"TC","medSBP",0,0,0
25,2,"UC","medBMI",3.50889309129049,1.90955502852494,1.61495745617238
25,2,"UC","medSBP",0,0,0
25,2,"UC","direct",0,0,0
25,3,"AA","medBMI",0.765724822696536,0.78361678028314,0.584744330274659
25,3,"AA","direct",0,0,0
25,3,"AA","medSBP",0,0,0
25,3,"AFF","direct",0,0,0
25,3,"AFF","medBMI",0.0770434733665306,0.0425277150205161,0.0387445071485342
25,3,"AFF","medSBP",0,0,0
