"female","pathway","disease_type2","V1","V2","V3"
0,"direct","Cancer",46130.5637196906,45499.2472955307,47087.4441501655
0,"medSBP","Cancer",0,0,0
0,"medBMI","Cancer",46224.3635865437,44774.733901702,47354.0628107765
0,"direct","DIAB",0,0,0
0,"medSBP","DIAB",0,0,0
0,"medBMI","DIAB",1494.82932074238,1675.0207419812,1381.59904575092
0,"direct","HHD",0,0,0
0,"medSBP","HHD",0,0,0
0,"medBMI","HHD",877.807381774036,737.007189561917,757.994021625483
0,"direct","HSTK",792.30697035712,712.845816462676,787.496918859541
0,"medSBP","HSTK",0,0,0
0,"medBMI","HSTK",253.318213137579,244.35092561507,207.488254540975
0,"direct","IHD",3453.94416326934,3612.91233285063,3790.16943227107
0,"medSBP","IHD",0,0,0
0,"medBMI","IHD",3602.89457117899,3205.7785815933,2846.66170002224
0,"direct","ISTK",869.641542748435,716.844929821305,787.897860734013
0,"medSBP","ISTK",0,0,0
0,"medBMI","ISTK",247.714490342753,186.191684879691,250.215677289316
0,"direct","OSTK",1368.04990656279,1794.46682997522,1654.65612241179
0,"medSBP","OSTK",0,0,0
0,"medBMI","OSTK",364.796877917958,394.432857624479,363.886242365223
0,"direct","Other_CVD",0,0,0
0,"medSBP","Other_CVD",0,0,0
0,"medBMI","Other_CVD",5192.31433244496,5259.60303799418,4879.22418762554
1,"direct","Cancer",72343.2996935797,67066.7149483402,73170.0880751465
1,"medBMI","Cancer",68044.1852390995,65294.9833600192,69317.1915400023
1,"medSBP","Cancer",0,0,0
1,"direct","DIAB",0,0,0
1,"medBMI","DIAB",1079.27871292752,1070.59077610302,1265.44677497162
1,"medSBP","DIAB",0,0,0
1,"direct","HHD",0,0,0
1,"medBMI","HHD",791.614128385075,675.145540814653,522.293853779468
1,"medSBP","HHD",0,0,0
1,"direct","HSTK",1144.72296765362,1163.12643444188,1231.83160066288
1,"medBMI","HSTK",219.922091627394,283.167698262269,286.299539662764
1,"medSBP","HSTK",0,0,0
1,"direct","IHD",2444.7175404373,1527.98209088655,1958.33757951451
1,"medBMI","IHD",1707.62304792172,2021.6184749403,2596.28515424597
1,"medSBP","IHD",0,0,0
1,"direct","ISTK",896.733935950419,1397.63798192001,1128.46716122066
1,"medBMI","ISTK",380.992838453877,258.26538642145,264.47714064363
1,"medSBP","ISTK",0,0,0
1,"direct","OSTK",1952.97159285673,2003.75897031041,1686.54642418834
1,"medBMI","OSTK",476.180412048638,469.036872527619,532.398359236526
1,"medSBP","OSTK",0,0,0
1,"direct","Other_CVD",0,0,0
1,"medBMI","Other_CVD",4874.77846600867,5022.18701205321,5090.67418001519
1,"medSBP","Other_CVD",0,0,0
