"age","pathway","disease_type2","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"direct","Cancer",1681.39131105811,48.0106039676775,1676.01743694474,1638.27992499308,1729.07049011951,0.109651548377328,0.00584004431093036,0.109904007853731,0.104000100330391,0.115088405869322,10.9904007853731,10.4000100330391,11.5088405869322,2.49571968808258,0.0712630122273345,2.48774314904743,2.4317286740483,2.56649076029673
25,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HSTK",30.5259679112806,3.94426163450459,28.3859411959549,28.1278398182811,34.743118712307,0.112933182321609,0.0156069745926414,0.108672581637933,0.100337629502191,0.129150245722151,10.8672581637933,10.0337629502191,12.9150245722151,0.0453102490853344,0.00585453924463728,0.0421337685294191,0.0417506639626562,0.0515698426805406
25,"direct","IHD",35.4355443680199,2.90830285296104,34.7224881831175,33.0387058415836,38.4384806516232,0.0352618930290661,0.00322995915166799,0.0362831425567858,0.0318766746062572,0.0377790493533133,3.62831425567858,3.18766746062572,3.77790493533133,0.0525976226685367,0.00431684679307275,0.0515392204110337,0.0490399516729506,0.0570549355830004
25,"direct","ISTK",15.7058502979438,3.70727926414121,16.4305817712975,11.9267634406375,18.8689154028993,0.115556900663973,0.0352173649999403,0.114678360013766,0.0824815922767839,0.149378968603837,11.4678360013766,8.24815922767839,14.9378968603837,0.0233124791051695,0.00550278200433601,0.0243882112055595,0.0177031117849483,0.0280074741400593
25,"direct","OSTK",10.0877604160536,1.81870992447295,9.12301165525805,8.96310938467986,12.0324478941034,0.109463183231067,0.0218790282448994,0.0996122480888606,0.0945099549076437,0.132789706425365,9.96122480888606,9.45099549076437,13.2789706425365,0.0149734461653435,0.00269954420221304,0.0135414520420627,0.0133041061950689,0.0178599811404067
25,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","Cancer",1672.63891338213,206.011122706925,1641.51172080504,1491.84013653637,1879.89580391841,0.108803596785098,0.0105843351519673,0.107641312720601,0.099288021438242,0.119307113586776,10.7641312720601,9.92880214382421,11.9307113586776,2.48272834510713,0.305786054395697,2.43652568732102,2.2143654339944,2.79036351533806
25,"medBMI","DIAB",49.069226153997,9.21012080121202,49.4342698559864,40.1696237522608,57.6585414090421,0.0607198069621562,0.0131200684158003,0.064572411164004,0.0470281414452741,0.0711367589074677,6.4572411164004,4.70281414452741,7.11367589074677,0.0728343443825933,0.013670749730911,0.073376185385383,0.059624502756766,0.0855836211560494
25,"medBMI","HHD",21.6159490771392,4.63061134214581,22.7108936166399,16.8447407263346,25.4564545693682,0.037323707281539,0.00857826702328483,0.0371236221570244,0.0292610525460186,0.0455564343728968,3.71236221570244,2.92610525460186,4.55564343728968,0.0320849461595333,0.00687330059245938,0.033710192243903,0.0250029548712867,0.0377854782760657
25,"medBMI","HSTK",7.80276427679999,0.819543744822699,7.52159665641037,7.17885256873193,8.66566846219923,0.028781545294377,0.00194310916801274,0.0279243629307347,0.027439915989925,0.030851779607925,2.79243629307347,2.7439915989925,3.0851779607925,0.0115817848581734,0.001216463678471,0.011164442648039,0.0106557013681435,0.0128626092268175
25,"medBMI","IHD",27.4549463862852,5.99783821274822,24.2063297168422,23.8033937693843,33.8678231722125,0.0272043799303315,0.00512913855783091,0.0252943195562748,0.0234038283600376,0.0326284828185735,2.52943195562748,2.34038283600376,3.26284828185735,0.0407518760093886,0.00890270029055265,0.0359298952321358,0.0353318100805752,0.0502706255988668
25,"medBMI","ISTK",5.07209879538838,0.0858176940333584,5.06356555432269,4.9945014536429,5.1569493920397,0.0369405884227746,0.00301114865522441,0.036027582243707,0.0345684072727226,0.0400888248250341,3.6027582243707,3.45684072727226,4.00888248250341,0.0075286084448626,0.000127380763285922,0.00751594240002775,0.0074134292999108,0.00765455372792403
25,"medBMI","OSTK",2.34916393843608,0.202475369242993,2.40935542206156,2.13771483544945,2.50945028034105,0.0254685841450579,0.00273679719853275,0.0266006932429439,0.0225600426523993,0.0274148329045134,2.66006932429439,2.25600426523993,2.74148329045134,0.0034869067379675,0.000300537871254684,0.00357625005130036,0.00317304899058861,0.00372482266901345
25,"medBMI","Other_CVD",314.701497628127,13.7811609517724,314.840091036124,301.550989074934,327.734201784523,0.185914417892379,0.013855068731125,0.182427588224306,0.174550421917191,0.200242219085428,18.2427588224306,17.4550421917191,20.0242219085428,0.46711715371321,0.0204556277207884,0.467322870428112,0.447597614811914,0.486461833406841
25,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","HHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","HSTK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","IHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","ISTK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","OSTK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct","Cancer",3341.77238225245,198.020966221492,3313.61947158558,3167.04880078388,3540.42593778788,0.113123680397663,0.0075020687032922,0.114029565866017,0.10565079003459,0.119826568112635,11.4029565866017,10.565079003459,11.9826568112635,8.17861045941874,0.484633948776513,8.10970939037345,7.75099422843451,8.66479259909146
35,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct","HHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct","HSTK",104.459552147517,10.5917903477568,102.189702385277,95.5368484472517,115.311628145687,0.0987788946499722,0.0103774505832891,0.0974133839110927,0.089564878803831,0.109153594624161,9.74133839110927,8.9564878803831,10.9153594624161,0.255652955394896,0.0259222105557487,0.250097754476558,0.233815645889064,0.282212185681315
35,"direct","IHD",155.626989315008,20.6282326504716,149.250233745282,139.455595184805,177.218625679479,0.0350739395650744,0.00424421421994318,0.0336263655938928,0.0318370576775923,0.0395412593280608,3.36263655938928,3.18370576775923,3.95412593280608,0.380879478608193,0.0504852694966479,0.365273089592383,0.341301817999388,0.433722569880435
35,"direct","ISTK",36.3441075928873,6.16417411689645,32.8010774210082,32.7709706760462,42.9288201558257,0.114123667184873,0.0238665819416998,0.105687367826962,0.0961243214336216,0.139293867390348,10.5687367826962,9.61243214336216,13.9293867390348,0.0889480983432739,0.0150861199206353,0.0802769321753868,0.0802032493175857,0.105063438611666
35,"direct","OSTK",37.7929932881474,4.85534766694796,38.4336892187837,32.938335071188,42.1030599640659,0.111468644158004,0.0118657368932794,0.108997060848317,0.101431538597796,0.123606595531445,10.8997060848317,10.1431538597797,12.3606595531445,0.0924940824338387,0.0118829150135741,0.0940621133588167,0.0806128547712399,0.103042483810206
35,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"medBMI","Cancer",3289.2979202747,71.6880038834768,3272.02924291505,3230.03191447402,3363.24230183108,0.111348141539463,0.00424900077046196,0.110651511506659,0.107648554308334,0.115639864298474,11.0651511506659,10.7648554308334,11.5639864298474,8.05018514060801,0.175448292495932,8.00792200323097,7.90513828538124,8.23115566260526
