"age","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AA","medBMI",1.89794838867164,0.430549496307303,1.8244998541426,1.52463035204297,2.33369767964999,0.0256854146374063,0.00340722049670942,0.0254431488327028,0.0225576607171304,0.0290190944916802,2.54431488327028,2.25576607171304,2.90190944916802,0.00506282296192864,0.00114850113373054,0.00486689723004198,0.00406698812299048,0.00622519467297047
25,1,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","medBMI",0.176978734592276,0.0697821392144893,0.191423556340051,0.105620560773829,0.236058809925113,0.0286430187439022,0.00890665495806788,0.0320746522361302,0.0192081705483914,0.0351609784710192,3.20746522361302,1.92081705483914,3.51609784710192,0.000472095029883274,0.000186145534228613,0.000510626939213426,0.000281745385453702,0.000629692551382216
25,1,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","medBMI",0.0187730373276111,0.0061332101226049,0.0201745441344702,0.0124660793878668,0.0238887144815252,0.00321677269971539,0.000814741769525153,0.00336598110702879,0.00238915111995403,0.00391756713326036,0.336598110702879,0.238915111995403,0.391756713326036,5.00775284589767e-05,1.63604854717835e-05,5.38160815647499e-05,3.32535665073011e-05,6.3723720270745e-05
25,1,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"BC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"CC","direct",112.065538636892,14.3430422250859,118.871694545708,96.7507853805345,121.595059370755,0.0698379211302148,0.00523684807007919,0.0712594706520251,0.0643981808890934,0.0740693442777975,7.12594706520251,6.43981808890934,7.40693442777975,0.298937518869442,0.0382604100061439,0.317093103406564,0.258085046323114,0.324357744559217
25,1,"CC","medBMI",3.98282728764988,1.26673355971468,4.1943716832232,2.70217611032784,5.08366572873459,0.00249499955941917,0.000786820064990459,0.00280996957557851,0.00166001333968594,0.00306226126541695,0.280996957557851,0.166001333968594,0.306226126541695,0.0106242875547436,0.00337904222846527,0.0111885873164065,0.00720811974666907,0.0135608005654046
25,1,"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CM","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CM","medBMI",11.0607347517867,1.19266621372699,11.4265156610623,9.81294064048628,11.9976150902029,0.0351072924619209,0.0055830202176034,0.0339223713525618,0.0303973754873699,0.0408243923794272,3.39223713525618,3.03973754873699,4.08243923794272,0.0295047758998025,0.00318146580213367,0.0304805052703002,0.026176255105371,0.0320039267293109
25,1,"CM","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"DIAB","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"DIAB","medBMI",25.721065931539,7.83180160049216,23.2945938676328,19.5849275361988,33.9197055811996,0.0611390318882051,0.0194997641742664,0.0581495102495009,0.044048807073072,0.080770350096237,5.81495102495009,4.4048807073072,8.0770350096237,0.068611561821561,0.0208915190807652,0.0621388892478768,0.0522432651118472,0.0904816302189064
25,1,"DIAB","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"ECA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"ECA","medBMI",1.03486706234116,0.536388149170499,1.30528790742307,0.461503724754828,1.37837268160788,0.0208095106205318,0.0067322129731916,0.023110121798449,0.013722646425575,0.0259408553142588,2.3110121798449,1.3722646425575,2.59408553142588,0.00276053277161633,0.00143082828507653,0.00348188687799592,0.00123107228239207,0.00367684227041795
25,1,"ECA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"ENDO","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"ENDO","medBMI",3.66344902055798,0.24161301926884,3.66299334015797,3.43411062258757,3.89317474686839,0.0287042482626732,0.000768446878040418,0.0286578698029154,0.0279949324361585,0.029452985779982,2.86578698029154,2.79949324361585,2.9452985779982,0.00977233834799749,0.000644508538354581,0.00977112280957388,0.00916057265709315,0.0103851372465619
25,1,"ENDO","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"GC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"GC","medBMI",0.0411284817140491,0.0380155684168592,0.0351479180470833,0.00789218090739656,0.0794482616376225,0.0131675563331773,0.00218496018535184,0.0127962264116206,0.0112722642676498,0.0153784788320279,1.27962264116206,1.12722642676498,1.53784788320279,0.000109711213884423,0.000101407442815845,9.37579165033584e-05,2.10525823337207e-05,0.00021193014820903
25,1,"GC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"HHD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"HHD","medBMI",11.2347769244017,1.99599913001309,11.9893488927422,9.12238827418642,12.7057794015276,0.0474952541423565,0.0071696849991264,0.0514758456953635,0.0398312923027307,0.0517757131619264,5.14758456953635,3.98312923027307,5.17757131619264,0.0299690375800033,0.00532437567203425,0.0319818764488282,0.0243341900643063,0.033892972057199
25,1,"HHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"HSTK","direct",12.1481701654398,1.29525665607722,11.8129084934031,11.0914758075055,13.4898369446053,0.119186104635416,0.0233832646069872,0.110976829940415,0.10151257462827,0.143837518133312,11.0976829940415,10.151257462827,14.3837518133312,0.0324055360125209,0.00345512827383486,0.0315112174411767,0.0295867784050844,0.0359844644056002
25,1,"HSTK","medBMI",3.10081002502865,0.64711314942751,2.86683171876145,2.61640949269018,3.78409211769423,0.0300369678220833,0.00523724628434772,0.0279085045575299,0.0262845312093489,0.0355985982096882,2.79085045575299,2.62845312093489,3.55985982096882,0.00827148529907132,0.00172618988558512,0.00764734254122118,0.00697933523190849,0.0100941567104068
25,1,"HSTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"IHD","direct",19.8317989032957,4.24562706744388,20.147631473039,15.6726030768929,23.7225370454167,0.0365329923634154,0.00713555739675474,0.0381583642643123,0.029196634792357,0.0424877838187116,3.81583642643123,2.9196634792357,4.24877838187116,0.0529018004194673,0.0113253122862233,0.0537442913932816,0.0418070455469139,0.0632804379642786
25,1,"IHD","medBMI",12.5353528398237,1.3805433537057,13.1532886713507,11.0637579941391,13.4817022287102,0.0231207696853681,0.00221067505400256,0.0234979103364349,0.0208833912367364,0.0250375785805932,2.34979103364349,2.08833912367364,2.50375785805932,0.0334383551060389,0.00368263259043154,0.0350867137945717,0.0295128404714698,0.0359627648553552
