"pathway","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"direct","All_HD",6433.66882947978,460.638283866009,6624.16941974411,5944.12901173013,6761.28314550476,0.0155069609280582,0.00113713541325971,0.0159867830185474,0.0142974692719218,0.0163086038072788,1.59867830185474,1.42974692719218,1.63086038072788,2.6272949624689,0.188109253801823,2.70508902592077,2.42738328979961,2.76108168120412
"direct","All_STK",21187.1576141391,816.322317143883,21163.7429348908,20421.8419481941,21972.3757574452,0.143506882982318,0.00523434601538492,0.142406065060897,0.139085272638845,0.148864188558998,14.2406065060897,13.9085272638845,14.8864188558998,8.65212586224513,0.333358705340213,8.64256409112086,8.33959656564494,8.97278266430096
"direct","Cancer",117099.119294151,4025.85434903465,118473.86341327,112861.357302341,120168.34878471,0.115756938449691,0.0039757222009505,0.117026928731834,0.111587656623938,0.118846728535622,11.7026928731834,11.1587656623938,11.8846728535622,47.8193600549292,1.64402413788953,48.3807595292534,46.0887999300112,49.0727306266716
"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","All_HD",17841.5452396974,1302.94277817182,17570.8530131665,16738.9932322643,19174.1856396817,0.0429995499489477,0.00314638588767051,0.0422549470613377,0.0403903888138622,0.0462416235385015,4.22549470613377,4.03903888138622,4.62416235385015,7.28588977351951,0.532078210459095,7.175348130486,6.83564444511284,7.83009549850467
"medBMI","All_STK",5716.21670627923,167.780328311901,5785.69473446167,5537.89949314304,5835.47759546036,0.0387206541298813,0.00118550580941377,0.0389306382766497,0.0375185094787896,0.03974431225622,3.89306382766497,3.75185094787896,3.974431225622,2.3343115343415,0.0685158691033959,2.36268403505362,2.26149275423153,2.38301368884616
"medBMI","Cancer",113669.840146048,3341.24408668657,114268.548825643,110279.658839917,116551.119074522,0.112367199096018,0.00331024139280025,0.112872974126467,0.109035167195764,0.11526932222039,11.2872974126467,10.9035167195764,11.526932222039,46.418957256851,1.36445222624871,46.6634498379239,45.0345207085102,47.5955751112799
"medBMI","DIAB",2655.58845749222,86.0702839184176,2647.04582072253,2577.75492302253,2740.68323321613,0.0366150253057649,0.00125264141256866,0.0366437919497049,0.0354130255092544,0.0377925734549264,3.66437919497049,3.54130255092544,3.77925734549264,1.08445342178485,0.0351482224762587,1.08096489492,1.05266881203211,1.11920327937271
"medBMI","Other_CVD",10106.2604053806,159.592234970572,10067.0927984536,9974.75808918137,10271.0551874677,0.0916987065539009,0.00148654893430356,0.0913776041067008,0.0904478830817255,0.0932224671061964,9.13776041067008,9.04478830817255,9.32224671061964,4.12705841040349,0.0651721259052188,4.11106367099452,4.07335726692529,4.19435508237933
"medSBP","All_HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","All_STK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
