"race","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"direct",362117.14781719,9379.41993254496,360396.641741165,354051.064752142,371645.66104686,0.276380219725782,0.00685815638662968,0.275161858477731,0.270460344493817,0.283335702018589,27.5161858477731,27.0460344493817,28.3335702018589,237.317098076087,6.14689675273896,236.189547194706,232.030909787638,243.561704613711
1,"medBMI",398774.402111929,8628.11641574863,394191.240860389,393444.329956604,408000.161331063,0.304359422473008,0.00626718841531824,0.301132065241271,0.300402084895887,0.311060013697106,30.1132065241271,30.0402084895887,31.1060013697106,261.340796663972,5.6545224715009,258.337176054491,257.847680516165,267.386990329838
1,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"direct",63046.7898338974,3077.26993948166,62809.1156253827,60230.941894186,66064.6608508463,0.305779977727382,0.0132147174219868,0.304756784354031,0.293689108758942,0.318740561063169,30.4756784354031,29.3689108758942,31.8740561063169,224.505792665082,10.957971513346,223.659449231591,214.478729028777,235.252248219855
2,"medBMI",61372.4282611728,1142.99111299217,61047.0802981155,60458.3685977711,62563.0336931731,0.297693085910685,0.00392634686578884,0.296207193822316,0.294800577470768,0.301848602625716,29.6207193822316,29.4800577470768,30.1848602625716,218.543492711622,4.07012199205556,217.384948358601,215.288581719074,222.783166404236
2,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"direct",35699.9223278983,1808.88334351578,35127.3592231421,34290.6472698957,37595.8760249439,0.253914612261722,0.0137226188598172,0.249758323986951,0.243101003664383,0.268261065892615,24.9758323986951,24.3101003664383,26.8261065892615,92.4336338086263,4.68353009402483,90.9511631222401,88.7847627144376,97.3426049862432
3,"medBMI",37678.7402817524,779.796003136462,37612.8673228816,36967.9151317817,38445.5574467633,0.267952379689162,0.00512725977576916,0.268428950727956,0.262894746505226,0.272604927490123,26.8428950727956,26.2894746505226,27.2604927490123,97.5571557154945,2.01903459445396,97.3865985668758,95.7166992850611,99.5425857222537
3,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"direct",28290.6324286272,1413.45994911705,29065.4875220628,26779.506521983,29143.131505851,0.283006816332275,0.0115366752419279,0.287923781881691,0.270731153743528,0.291103058204018,28.7923781881691,27.0731153743528,29.1103058204018,110.573046085757,5.52446370679018,113.60154282129,104.666858059092,113.90501188722
4,"medBMI",26826.0026999728,1142.65708148649,27041.5640798957,25663.4499485792,27805.3282784319,0.268360386996478,0.00856657733701079,0.270228426868438,0.25957465652313,0.275558283578661,27.0228426868438,25.957465652313,27.5558283578661,104.848586906782,4.46603922518085,105.691101773025,100.304786082206,108.676250095052
4,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
