"race","pathway","disease_type1","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"direct","CMD",93331.2629755879,3686.31496053335,93522.6282861484,89751.4743638082,96748.3910733912,0.163649103222641,0.00636925791636085,0.164106396520356,0.157415666371638,0.169493840770588,16.4106396520356,15.7415666371638,16.9493840770588,61.1655775559249,2.41586341409572,61.2909907280114,58.8195272509494,63.405026664627
1,"direct","Cancer",83917.3856367265,3924.65682508847,85640.2715772728,79736.688001849,86633.6302221396,0.113414907776564,0.00515156192841533,0.115908568729556,0.107911900828283,0.116798302914802,11.5908568729556,10.7911900828283,11.6798302914802,54.996098796994,2.5720631411377,56.1252093464147,52.2562367478662,56.7762168791141
1,"medBMI","CMD",111838.351357577,2966.64834311565,111550.159558183,109152.508258806,114769.157485835,0.196103879435826,0.00526869091154385,0.195409130968309,0.191426635055375,0.201371660013666,19.5409130968309,19.1426635055375,20.1371660013666,73.2943832065999,1.94422269159112,73.1055138256993,71.534189043108,75.2151163438573
1,"medBMI","Cancer",86489.0756624835,2740.81054481828,87446.6095887097,83600.3882427248,88563.85924495,0.11689400889152,0.00363889614089662,0.117870485406228,0.113116699442832,0.119841313302705,11.7870485406228,11.3116699442832,11.9841313302705,56.6814816012681,1.7962176295528,57.3090110459552,54.7883513812871,58.041211793265
1,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"direct","CMD",17721.7255897955,1475.71412270168,17108.582420192,16674.2839829177,19290.3388908363,0.185103509364363,0.0144856040891871,0.178329950549991,0.175399813191086,0.200564730529857,17.8329950549991,17.5399813191086,20.0564730529857,63.105989399495,5.25492843865729,60.9226237805369,59.3761134003834,68.691726174721
2,"direct","Cancer",15146.3045399343,914.568517037247,15335.7717579871,14211.0384598102,15920.5234847135,0.137128933018892,0.00766138127420948,0.139216044181372,0.129169051466641,0.143314770083034,13.9216044181372,12.9169051466641,14.3314770083034,53.9350713278732,3.25672298946428,54.6097525937245,50.6046455722682,56.6920180075046
2,"medBMI","CMD",19515.7599191812,525.211461801594,19445.8747551711,19049.8340614909,20041.08816628,0.203891394713577,0.00520446571703186,0.204655376984046,0.198662575177976,0.208470829319281,20.4655376984046,19.8662575177976,20.8470829319281,69.4944367772003,1.8702461435262,69.245579949074,67.8353030722249,71.3650987860831
2,"medBMI","Cancer",12046.2581862002,513.28923753787,11917.1697890525,11625.2020617756,12577.0394482002,0.109065704068191,0.00404686624292295,0.108182441813245,0.105665869865782,0.113216311187305,10.8182441813245,10.5665869865782,11.3216311187305,42.8959943855388,1.82779182641172,42.4363184369004,41.3966390778464,44.7860742495737
2,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"direct","CMD",7266.63223707787,373.511565125227,7150.06210017822,6974.54492694983,7657.80416357061,0.137272614255601,0.00758716610624315,0.135042838934426,0.131249821159667,0.145190716374533,13.5042838934426,13.1249821159667,14.5190716374533,18.8146410251183,0.967089813724662,18.5128196024206,18.0583735123618,19.8274567471679
3,"direct","Cancer",9152.43459370315,652.363991114339,9082.68161415097,8564.99653162913,9799.16268839654,0.104410279384535,0.00776646859279872,0.10356679820082,0.0974233211050318,0.112114196670195,10.356679820082,9.74233211050318,11.2114196670195,23.6973285241756,1.68908978878853,23.5167252917717,22.17634385042,25.3718259454746
3,"medBMI","CMD",9046.02333960647,294.905187106861,8930.96864633604,8831.2373099689,9358.60585852392,0.170861635421265,0.00548238879793248,0.168033526084966,0.167403937434501,0.176723226343883,16.8033526084966,16.7403937434501,17.6723226343883,23.4218103086471,0.763563512069545,23.1239126469087,22.8656899611467,24.2311436686252
3,"medBMI","Cancer",8164.80381509932,305.281574353653,8165.22753763516,7874.6064469018,8454.64101914139,0.0931268095857851,0.00336607552028973,0.0934353054478823,0.0898080153375389,0.0961833823512488,9.34353054478823,8.98080153375389,9.61833823512488,21.140171651701,0.790429878058158,21.1412687469091,20.3887975445581,21.8906132279171
3,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"direct","CMD",3849.63460513158,407.950727329068,3924.26263043865,3435.25893340239,4200.57645534978,0.146138896954432,0.0151185664671676,0.148919490103664,0.130777864870564,0.159136424861453,14.8919490103664,13.0777864870564,15.9136424861453,15.046175644197,1.59446257299043,15.3378569313646,13.4266013783151,16.4178208159865
4,"direct","Cancer",8882.99452378713,194.10916611577,8829.08853803583,8726.91343206264,9084.89570340022,0.120729414596435,0.00432471559598814,0.119844791876592,0.117061876700203,0.125148881804535,11.9844791876592,11.7061876700203,12.5148881804535,34.7189044054152,0.758669564023901,34.5082145573952,34.108866372794,35.5080288088533
4,"medBMI","CMD",4272.93408861612,281.594088624156,4300.15291725044,3994.79063183341,4527.94154105967,0.162224858965581,0.0104096874854767,0.162895341872977,0.152066097431138,0.171813710028739,16.2895341872977,15.2066097431138,17.1813710028739,16.7006283473487,1.10060162908937,16.8070122820514,15.6135134041647,17.6973169460355
4,"medBMI","Cancer",6969.70248226474,272.416389229824,6895.28133234306,6749.88312712138,7252.77981484154,0.0946947838766613,0.00348120798166849,0.092946956242953,0.0924594503293434,0.0984157709126312,9.2946956242953,9.24594503293434,9.84157709126312,27.2408627032193,1.06473087997654,26.9499899819818,26.3817056748945,28.347261544596
4,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
