"age","disease_type1","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"CMD","leg_tot",254.783427297039,6.92935846279025,257.67478991679,247.4165375873,259.692658779989,0.0554323108902539,0.000876188049819876,0.0551971429022509,0.0547226769436701,0.0563418376266404,5.51971429022509,5.47226769436701,5.63418376266404,0.378179672703446,0.0102853727312794,0.382471374800419,0.367244864388684,0.385466534235783
25,"Cancer","dairy_tot",193.07279488199,15.7142390355253,200.504246856993,176.295341983177,203.53351360205,0.0125713404156197,0.000799744856831133,0.0129077027371341,0.0117208199956336,0.0131359528623187,1.29077027371341,1.17208199956336,1.31359528623187,0.286581459206469,0.0233249306608561,0.297612098465205,0.26167838088076,0.302108494162251
25,"Cancer","leg_tot",104.875740806281,5.22333868132203,104.717696449593,99.9824417915456,109.903377524201,0.00683463040369137,0.000337880135342218,0.0066433385243528,0.00663617332638042,0.0071956855784401,0.66433385243528,0.663617332638042,0.71956855784401,0.155668968556621,0.00775309655685982,0.155434380444988,0.148405755876483,0.163131581131646
35,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"CMD","leg_tot",758.034120129137,57.1483174782146,754.19239435273,705.468033525771,813.865673642449,0.060191752118029,0.00416104340044648,0.0601711438551575,0.0562475557604572,0.0641534654990415,6.01711438551575,5.62475557604572,6.41534654990415,1.85520289066058,0.139864052245973,1.84580070073765,1.72655333092748,1.99184431182817
35,"Cancer","dairy_tot",537.023813746964,29.0932215884395,542.989581367523,507.289101740465,561.687623275989,0.018167565868803,0.000821193254938955,0.0180822338563286,0.017426863685873,0.0189808002623362,1.80822338563286,1.7426863685873,1.89808002623362,1.3143051284383,0.071202373819673,1.32890567086874,1.24153277927541,1.3746670165353
35,"Cancer","leg_tot",266.089588297043,29.0256163198532,273.686033621284,236.004363525094,289.717834543385,0.00901582181467395,0.00112220028179748,0.00925534921915232,0.00786630426380507,0.00996174107173622,0.925534921915232,0.786630426380507,0.996174107173622,0.651224213099088,0.0710369175606806,0.669815655027688,0.577594023532445,0.709051677026421
45,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"CMD","leg_tot",2120.40198171266,14.4940042051654,2113.30015630743,2110.95210141572,2135.88841360404,0.0552259201790295,0.000516835047471712,0.055068084266145,0.0548194901600578,0.055766510723953,5.5068084266145,5.48194901600578,5.5766510723953,5.42210981018327,0.0370628225531975,5.40394963228682,5.39794538801003,5.46171038356849
