"disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"Cancer","dairy_tot",10952.242859428,427.08180766493,11013.1929746326,10523.722063265,11328.9560576672,0.0108265993500362,0.000417444028771498,0.0108927629184079,0.0104056616640925,0.011191298002864,1.08927629184079,1.04056616640925,1.1191298002864,4.47252932268788,0.174405912330883,4.49741930923879,4.29753577562906,4.62636638117841
"Cancer","leg_tot",7956.14685601643,63.1739501631649,7982.46010219722,7888.98898966243,8000.93846311675,0.00786495090586292,6.03159680282378e-05,0.00789517132762174,0.00780048226003817,0.00790373219319266,0.789517132762174,0.780048226003817,0.790373219319266,3.24902401872074,0.0257981262980808,3.25976946754152,3.22159899442457,3.26731541151926
"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","leg_tot",2655.58845749222,86.070283918418,2647.04582072253,2577.75492302253,2740.68323321613,0.0366150253057649,0.00125264141256867,0.0366437919497049,0.0354130255092544,0.0377925734549264,3.66437919497049,3.54130255092544,3.77925734549264,1.08445342178485,0.0351482224762589,1.08096489492,1.05266881203211,1.11920327937271
"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","leg_tot",1453.95403864688,197.905933347331,1412.15273037657,1286.88111815353,1656.55807116999,0.0284996240799043,0.00394400130675115,0.0275256974951935,0.0252534224878423,0.0325736632689706,2.75256974951935,2.52534224878423,3.25736632689706,0.593746153655711,0.0808181576495896,0.576675898789629,0.52551916622269,0.676482857724902
"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSTK","leg_tot",2442.29247709459,61.4288355254322,2410.27024277571,2403.82984318158,2507.97401017864,0.0709944800686231,0.00141046577801608,0.0706211808145837,0.0698488616647514,0.0724574028384284,7.06211808145837,6.98488616647514,7.24574028384284,0.997350484150603,0.0250854799032838,0.984273675700737,0.981643632119319,1.02417262336427
"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHD","leg_tot",10922.9748897107,480.451674453495,11191.4538660538,10409.4495995599,11208.2930499697,0.0300177667589536,0.00136366474223215,0.0307953262171042,0.0285607896406276,0.0308138183378516,3.07953262171042,2.85607896406276,3.08138183378516,4.46057726369351,0.196200379201596,4.57021508944591,4.25087072708545,4.57709164841202
"ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISTK","leg_tot",2461.69354347519,86.1173806225374,2431.05783988762,2396.88155911509,2552.54587588471,0.0575990228401377,0.00221854559100092,0.056663981026353,0.0560342074231004,0.059958623798892,5.6663981026353,5.60342074231004,5.9958623798892,1.00527323014815,0.0351674551935096,0.992762634430428,0.978806185522433,1.04237428113392
"OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","leg_tot",4353.72715600858,269.365945909238,4237.48714820188,4165.77320732691,4640.48511132594,0.0617604123777139,0.00372659478556424,0.0596203125490141,0.0595985755325045,0.0657413340773181,5.96203125490141,5.95985755325045,6.57413340773181,1.77791641567449,0.11000003442907,1.73044788798955,1.70116231538808,1.89501876449311
"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other_CVD","leg_tot",1505.98045340726,92.1177830788287,1464.78036999081,1442.80980823616,1604.17116948234,0.0136645713458633,0.000840422217379289,0.0132956081196398,0.013082937273792,0.0145598241602245,1.32956081196398,1.3082937273792,1.45598241602245,0.614991999694436,0.0376178186741358,0.59816726493076,0.589195223044468,0.655089800893528
