"outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"AA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA","medBMI","leg_tot",143.924799281456,1.37741650598785,144.054649100557,142.565435579915,145.17379063676,0.0145297584016653,0.000191314425727112,0.0144561549879617,0.0143896757762357,0.0147324039287428,1.44561549879617,1.43896757762357,1.47324039287428,0.0587740696869366,0.000562490787654674,0.0588270960059228,0.0582189510602431,0.0592841159424918
"AA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFF","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFF","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFF","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFF","medBMI","leg_tot",335.812913992655,24.6439447064146,333.492500014582,313.465307399137,360.132872467537,0.0129297102227422,0.000943143552145704,0.0128166176500455,0.0120866323779942,0.0138689167542824,1.28166176500455,1.20866323779942,1.38689167542824,0.137134751671116,0.0100637619838074,0.136187172285695,0.128008737295406,0.147066208524433
"AFF","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFF","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APCA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APCA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APCA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APCA","medBMI","leg_tot",102.511360138879,14.5875177162568,101.711226237089,89.0089190801928,116.693915014086,0.00209388801354498,0.000311870192238027,0.00205085239304574,0.00181802469499323,0.00240633160952109,0.205085239304574,0.181802469499323,0.240633160952109,0.0418622075874691,0.00595705387184908,0.0415354596890008,0.0363482626961857,0.0476538881924505
"APCA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APCA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","medBMI","leg_tot",1370.0192000434,96.755769813598,1368.11644593272,1278.92322058909,1462.73252049178,0.00628382795972628,0.00045201316491913,0.00630055363391704,0.0058475275790952,0.00670591151729521,0.630055363391704,0.58475275790952,0.670591151729521,0.55946997555526,0.0395118171852842,0.558692954477197,0.522269427273258,0.597330991753617
"BC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC","direct","dairy_tot",10952.242859428,427.08180766493,11013.1929746326,10523.722063265,11328.9560576672,0.0766495022616291,0.00243633854310101,0.0767889363516622,0.0742785657634877,0.0789019197832424,7.67889363516622,7.42785657634877,7.89019197832424,4.47252932268788,0.174405912330883,4.49741930923879,4.29753577562906,4.62636638117841
"CC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC","medBMI","leg_tot",330.360904725053,44.7855410224527,350.504910499543,282.613970367967,360.985434173821,0.00231300570714565,0.00031888448761769,0.00247559436164987,0.00197209757344004,0.00251571348452268,0.247559436164987,0.197209757344004,0.251571348452268,0.134908333609547,0.0182889156153921,0.143134471183299,0.115410084098335,0.147414366183069
"CC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CM","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CM","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CM","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CM","medBMI","leg_tot",296.634544547059,23.8796626178835,303.220812686812,271.806355600377,315.86440557495,0.0140202855088576,0.00098008149192248,0.0143283675472692,0.0129934377694398,0.0147852635156257,1.43283675472692,1.29934377694398,1.47852635156257,0.12113561720984,0.00975165476562077,0.123825228621879,0.110996616046469,0.12898844867298
"CM","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CM","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","medBMI","leg_tot",2655.58845749222,86.070283918418,2647.04582072253,2577.75492302253,2740.68323321613,0.0366150253057649,0.00125264141256867,0.0366437919497049,0.0354130255092544,0.0377925734549264,3.66437919497049,3.54130255092544,3.77925734549264,1.08445342178485,0.0351482224762589,1.08096489492,1.05266881203211,1.11920327937271
"DIAB","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECA","medBMI","leg_tot",214.024496597255,22.9251957842475,208.071393710095,195.333491218656,237.77563942994,0.0200141082853732,0.00200699868201494,0.0191808203397577,0.0185891242544615,0.0221473870700581,1.91808203397577,1.85891242544615,2.21473870700581,0.0874004392607784,0.00936188246457145,0.0849693913406821,0.0797676584049066,0.0970996108487322
"ECA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENDO","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENDO","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENDO","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENDO","medBMI","leg_tot",32.2493635351757,1.73802979021795,32.6336316940733,30.4654706781727,33.7066284571158,0.0186167688289117,0.000713127815642837,0.0183261745138466,0.0181063875241898,0.019374155301439,1.83261745138466,1.81063875241898,1.9374155301439,0.0131695604179313,0.000709753180259628,0.0133264826694285,0.0124410782966084,0.0137646586254816
"ENDO","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENDO","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC","medBMI","leg_tot",43.5771595896562,1.24703346327806,43.4124954705863,42.4702314907039,44.8240521898178,0.0104159084396155,0.000758785410554607,0.0100105573847822,0.0099491191200248,0.0112272461558147,1.00105573847822,0.99491191200248,1.12272461558147,0.017795453092643,0.000509246717998309,0.0177282097790691,0.0173434207149635,0.0183046422868604
"GC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","medBMI","leg_tot",1453.95403864688,197.905933347331,1412.15273037657,1286.88111815353,1656.55807116999,0.0284996240799043,0.00394400130675115,0.0275256974951935,0.0252534224878423,0.0325736632689706,2.75256974951935,2.52534224878423,3.25736632689706,0.593746153655711,0.0808181576495896,0.576675898789629,0.52551916622269,0.676482857724902
"HHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSTK","direct","leg_tot",1944.1102361459,71.9399256621218,1937.02993801074,1879.02513525986,2015.21359044683,0.0565134000520324,0.00191728103096668,0.0567551883053504,0.0546001183944422,0.0582211616943025,5.67551883053504,5.46001183944422,5.82211616943025,0.79390953517938,0.0293778572229934,0.791018178456438,0.767330958907915,0.822945764665346
"HSTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSTK","medBMI","leg_tot",498.182240948684,27.4046958213648,493.78779420374,474.267679236912,525.832082393659,0.0144810800165907,0.000753476923668365,0.0142557279143835,0.0138854792794908,0.0152682300405667,1.42557279143835,1.38854792794908,1.52682300405667,0.203440948971224,0.0111911603142443,0.201646404038645,0.193675042584017,0.214732218551122
"HSTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHD","direct","leg_tot",5596.0210464098,401.237822089998,5748.50701178559,5171.27505313959,5891.1539691106,0.0153789418678913,0.00112280305933553,0.0158180653566568,0.0141886967638999,0.016195932006432,1.58180653566568,1.41886967638999,1.6195932006432,2.28522765078215,0.163852093831551,2.3474978140898,2.11177560685127,2.40575005590154
"IHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHD","medBMI","leg_tot",5326.95384330085,108.710813286096,5310.51761910073,5231.55308466196,5436.32539250984,0.0146388248910623,0.000320373962870656,0.0145989718825234,0.0143531784278316,0.0149583464115512,1.45989718825234,1.43531784278316,1.49583464115512,2.17534961291135,0.0443938567064156,2.16863760920282,2.13639113692652,2.22001329204845
"IHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISTK","direct","leg_tot",1932.40780413161,174.607343430441,1916.36502195467,1773.87495586164,2104.57701725198,0.0452186592959193,0.00422058864671276,0.044667333480073,0.0414691527336248,0.0494367928016833,4.4667333480073,4.14691527336248,4.94367928016833,0.789130653720811,0.0713037935218011,0.782579318562817,0.724391145877785,0.859438796448132
"ISTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISTK","medBMI","leg_tot",529.285739343572,92.9879259004142,514.692817932946,447.968858632731,623.006603253445,0.0123803635442184,0.0021538025782645,0.01199664754628,0.0105218309972087,0.0145650546894756,1.199664754628,1.05218309972087,1.45650546894756,0.216142576427335,0.0379731558716777,0.210183315867611,0.182935484685786,0.254415039644649
"ISTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC","medBMI","leg_tot",906.208128710747,17.7183649390117,915.973430851127,887.26653663441,916.849213967762,0.0139686434511528,0.000396446394740759,0.0140216378762353,0.0135720289173864,0.0143202127235991,1.40216378762353,1.35720289173864,1.43202127235991,0.370065061571196,0.00723558706257112,0.374052884040834,0.362329949497153,0.374410524546047
"KC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","medBMI","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","medBMI","leg_tot",464.561634447381,22.232465970523,476.62979373065,440.791057297104,478.074276206878,0.0129033604941067,0.000565736353296857,0.013200675682853,0.0122984425109072,0.0132555605668718,1.3200675682853,1.22984425109072,1.32555605668718,0.189711418832637,0.00907899479997627,0.194639651063977,0.180004310920005,0.195229529348631
"LVC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPC","direct","leg_tot",2386.49062239475,82.7458875624875,2375.22924186627,2313.21602426021,2469.33739397849,0.0399337882862859,0.00142056148397042,0.0399117495778179,0.0385937431386716,0.0412925663360978,3.99117495778179,3.85937431386716,4.12925663360978,0.974562874835444,0.0337906502992197,0.969964104038081,0.944639982057114,1.00839472279153
"MLPC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPC","medBMI","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMC","medBMI","leg_tot",111.415829875437,6.24366548123477,111.33523711088,105.518970206433,117.381193394314,0.00434976111814484,0.000284153757286165,0.00438724317878513,0.0040656523181215,0.00460201016662392,0.438724317878513,0.40656523181215,0.460201016662392,0.0454984949224836,0.00254970395601098,0.0454655835355372,0.0430904148497621,0.0479345496741096
"MMC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OC","medBMI","leg_tot",57.5113152457361,1.65169882305784,58.4518060545788,55.7465400254686,58.4766732784873,0.00284265121577609,0.000104850797135236,0.00287376778843139,0.00273316439147883,0.00292568895331634,0.287376778843139,0.273316439147883,0.292568895331634,0.0234856957724853,0.000674498503474659,0.0238697607329008,0.0227650206539816,0.0238799156746357
"OC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","direct","leg_tot",3486.8166154351,269.876970068375,3341.20254660013,3322.03055177855,3775.37463760137,0.0494639094388106,0.00378818182019257,0.0475551198517161,0.0470370921730557,0.0535131978535958,4.75551198517161,4.70370921730557,5.35131978535958,1.42389917348703,0.110208719587506,1.3644352626681,1.35660606182636,1.54173660934378
"OSTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","medBMI","leg_tot",866.910540573481,27.813738733651,863.469730152098,842.101911975873,894.643858029264,0.0122965029389033,0.000288767107117772,0.0122367121987972,0.0120520316558634,0.0125917963510333,1.22367121987972,1.20520316558634,1.25917963510333,0.354017242187467,0.0113581997456117,0.352612130403427,0.343886228815812,0.365342600575555
"OSTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","medBMI","leg_tot",548.085731853747,95.9467171689344,513.07024963887,476.490123419494,649.444500170645,0.0135972382901536,0.00247105189472559,0.0126798804239828,0.0117642496914606,0.0162099810750917,1.26798804239828,1.17642496914606,1.62099810750917,0.223819863979052,0.0391814271708096,0.209520713296936,0.194582614384808,0.265211391653095
"OTH","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
