"race","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"All_HD","leg_tot",9761.37301544521,532.789477053279,9663.2392722635,9303.41060293177,10302.7491096631,0.030294105180766,0.00167912419393466,0.0300623478321799,0.0288088707169727,0.0319763333908573,3.00623478321799,2.88088707169727,3.19763333908573,6.39721352945472,0.34916891768846,6.33290059841676,6.09708327762671,6.75200977266498
1,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"All_STK","leg_tot",6940.12204452241,334.040964939133,6890.11085421401,6646.71659793325,7276.0370028737,0.0626590774620863,0.00321385255683552,0.0623577426234601,0.0597440668062044,0.0658302227308005,6.23577426234601,5.97440668062044,6.58302227308005,4.54827846134315,0.218917090548585,4.5155031270988,4.35599226455854,4.76842369223546
1,"Cancer","dairy_tot",7131.55121937514,419.38516758054,7036.7303640346,6781.14628558813,7562.55388020162,0.00963792746513848,0.000545005633067868,0.00952375944178466,0.00917728486741527,0.0101956128827124,0.952375944178466,0.917728486741527,1.01956128827124,4.67373348753287,0.274848268153852,4.61159169070785,4.44409210617564,4.95619539619135
1,"Cancer","leg_tot",6084.87212909955,92.6192443917369,6116.45045729239,5987.38610144448,6155.51657779071,0.00822397463450343,0.00011323007006578,0.00827822010781827,0.00810304669845537,0.00829879391823388,0.827822010781827,0.810304669845537,0.829879391823388,3.98778186712929,0.0606989490487847,4.00847704064978,3.92389342294618,4.03407941381999
1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"DIAB","leg_tot",1852.21237209461,97.0303075801221,1874.87161767817,1752.30819825486,1932.85618718834,0.0382054714913103,0.00195807431151179,0.0386464884448476,0.0361935982216236,0.0398424803504903,3.86464884448476,3.61935982216236,3.98424803504903,1.2138659210583,0.0635897834696566,1.22871588449941,1.14839272056433,1.26671665262733
1,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Other_CVD","leg_tot",1193.9123601656,84.8324229905542,1146.87679595498,1143.21020668692,1284.59474322332,0.0134417113890959,0.000959197681751021,0.0129224135850184,0.0128575394869175,0.0144672864247401,1.29224135850184,1.28575394869175,1.44672864247401,0.782442417818643,0.0555957776875148,0.751617189927274,0.749214253943223,0.841872025401726
2,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"All_HD","leg_tot",1567.29464669028,206.951450435433,1454.54626246314,1441.86763307164,1788.557786902,0.0309633722093838,0.0038786308621863,0.0289903579645773,0.0284940217536312,0.0351097847732219,2.89903579645773,2.84940217536312,3.51097847732219,5.58104112710525,0.736941556352089,5.17955097289897,5.13440314302619,6.36894574225964
2,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"All_STK","leg_tot",1361.12091365975,135.724037758599,1341.65877032136,1241.45256463233,1497.3320845248,0.0697655229636963,0.0059938899929381,0.068320355490828,0.0648110386164384,0.0759483996628922,6.8320355490828,6.48110386164384,7.59483996628922,4.84686897523698,0.483305062176491,4.7775654638503,4.4207372463083,5.33190868884433
2,"Cancer","dairy_tot",1695.83214503127,87.7448829269325,1660.1947681685,1632.94695064867,1789.00910974721,0.0153533539237173,0.000707649158192907,0.0150710216507138,0.0148424824079486,0.0161042078715389,1.50710216507138,1.48424824079486,1.61042078715389,6.0387553585238,0.312454203389503,5.91185282213523,5.81482499745454,6.37055287552335
2,"Cancer","leg_tot",802.574007680372,40.1626864705132,783.772328778145,775.686469842395,845.442972585241,0.00726820134443254,0.00038490146780801,0.0071244915134037,0.00698326439958426,0.00767529164565534,0.71244915134037,0.698326439958426,0.767529164565534,2.85791733792286,0.143016889287737,2.79096570031372,2.76217244732604,3.01057112048745
2,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
