"age","race","X1","X2","X3"
25,1,11385.1330998839,11610.6448288206,10932.0793396763
25,2,2596.02902407758,2692.50927835759,2624.47529982358
25,3,3848.71388805881,3876.19016224432,3826.92536205249
25,4,2026.14654532461,2269.64712049324,2142.50805802066
35,1,22659.308255628,21900.7048419651,22359.7320804448
35,2,7221.37146758189,7418.71136750487,7171.40390078552
35,3,7770.05913117587,7614.96089995199,7749.72703736467
35,4,4912.28148676789,4818.6390715571,4832.37122212884
45,1,86129.1037177779,85913.3413055444,84434.6815838397
45,2,20428.6963708402,20417.1348116357,20834.005243773
45,3,16883.0730278771,16519.5786532237,16804.2882992747
45,4,11941.6081579585,13155.0885367959,12528.271596442
55,1,270771.4846601,268515.749193116,269537.013632699
55,2,57254.3785436934,56334.9202630952,56899.4555604016
55,3,36257.6248241027,36660.1699364222,36226.216110087
55,4,29362.762523432,30200.3033475722,29177.8703880286
65,1,338401.433136714,338040.135292044,339903.820851202
65,2,53173.2346046371,53588.6081279031,53545.5617937224
65,3,34146.4534311455,34328.8069156766,34075.0372319233
65,4,22172.6056859176,22360.993923347,23079.2453189871
75,1,582430.988333466,583781.772179918,581863.779991702
75,2,64354.9336257232,65643.989483788,66251.7563842031
75,3,42171.4085860923,41645.6928025429,41440.0514208203
75,4,28385.9127775804,28143.8753279644,28309.0132966364
