"age","race","disease_type1","riskfactor","V1","V2","V3"
25,1,"CMD","dairy_tot",0,0,0
25,1,"Cancer","dairy_tot",0.0131185657153989,0.0131663107172568,0.0111222011505007
25,2,"CMD","dairy_tot",0,0,0
25,2,"Cancer","dairy_tot",0.014766615691362,0.0162553883959516,0.0161287534143837
25,3,"CMD","dairy_tot",0,0,0
25,3,"Cancer","dairy_tot",0.0136883846048132,0.0124522235851776,0.0120788681276762
25,4,"CMD","dairy_tot",0,0,0
25,4,"Cancer","dairy_tot",0.0111755392972247,0.0102114590938483,0.0102044765944291
35,1,"CMD","dairy_tot",0,0,0
35,1,"Cancer","dairy_tot",0.0191208995972728,0.0164779794357194,0.019238903660059
35,2,"CMD","dairy_tot",0,0,0
35,2,"Cancer","dairy_tot",0.0234549259189587,0.0314374710075026,0.0292850740279038
35,3,"CMD","dairy_tot",0,0,0
35,3,"Cancer","dairy_tot",0.0138187396122601,0.0144097696866085,0.0164564886656393
35,4,"CMD","dairy_tot",0,0,0
35,4,"Cancer","dairy_tot",0.0155681185617999,0.0122087624806053,0.0129959788816056
45,1,"CMD","dairy_tot",0,0,0
45,1,"Cancer","dairy_tot",0.0133650161469148,0.0122869079616942,0.00944880257215869
45,2,"CMD","dairy_tot",0,0,0
45,2,"Cancer","dairy_tot",0.0212905266971607,0.020166850206742,0.0215185556967495
45,3,"CMD","dairy_tot",0,0,0
45,3,"Cancer","dairy_tot",0.0166246890700103,0.0188657394914192,0.0124068168333746
45,4,"CMD","dairy_tot",0,0,0
45,4,"Cancer","dairy_tot",0.0249992727171006,0.0166429249685669,0.0241919866471276
55,1,"CMD","dairy_tot",0,0,0
55,1,"Cancer","dairy_tot",0.00806223406543687,0.00900851380005628,0.00936291202552772
55,2,"CMD","dairy_tot",0,0,0
55,2,"Cancer","dairy_tot",0.0120073522325997,0.0131455689948445,0.0167104923818399
55,3,"CMD","dairy_tot",0,0,0
55,3,"Cancer","dairy_tot",0.0118832445543313,0.00974597350112127,0.0127866773437728
55,4,"CMD","dairy_tot",0,0,0
55,4,"Cancer","dairy_tot",0.0135276807573542,0.0121194492832943,0.014273934216155
65,1,"CMD","dairy_tot",0,0,0
65,1,"Cancer","dairy_tot",0.00894192139856281,0.00798057871713772,0.00914473000440702
65,2,"CMD","dairy_tot",0,0,0
65,2,"Cancer","dairy_tot",0.0101646123673009,0.0141203424759646,0.0128448974287841
65,3,"CMD","dairy_tot",0,0,0
65,3,"Cancer","dairy_tot",0.00894971470845296,0.0109346690567748,0.0107661668334267
65,4,"CMD","dairy_tot",0,0,0
65,4,"Cancer","dairy_tot",0.0102683209186787,0.0113649797646152,0.0120509481877012
75,1,"CMD","dairy_tot",0,0,0
75,1,"Cancer","dairy_tot",0.0120406950718337,0.00898663356582995,0.00933952466651002
75,2,"CMD","dairy_tot",0,0,0
75,2,"Cancer","dairy_tot",0.020476600590304,0.0142436546604641,0.0149981966483277
75,3,"CMD","dairy_tot",0,0,0
75,3,"Cancer","dairy_tot",0.0118684401638413,0.0131296169784869,0.0130939217701753
75,4,"CMD","dairy_tot",0,0,0
75,4,"Cancer","dairy_tot",0.0153446904852749,0.0161959509460045,0.0132895003817392
25,1,"CMD","leg_tot",0.0189755314384943,0.0194987482266216,0.0174317054097621
25,1,"Cancer","leg_tot",0.00246785285421071,0.00220625272738296,0.00198071328023584
25,2,"CMD","leg_tot",0.0283030563546415,0.0191882082871981,0.0207088995713782
25,2,"Cancer","leg_tot",0.0040043690805671,0.00268793633345286,0.00241956482356481
25,3,"CMD","leg_tot",0.00790932216472383,0.0115240970217757,0.0113584587972135
25,3,"Cancer","leg_tot",0.00126447261821732,0.0013323582429981,0.00134026255858863
25,4,"CMD","leg_tot",0.011093465111513,0.0154100106812184,0.0225406411623162
25,4,"Cancer","leg_tot",0.00190221444896344,0.00233160231103543,0.00358168574424533
35,1,"CMD","leg_tot",0.0189086535056357,0.0255508119087164,0.019285665941561
35,1,"Cancer","leg_tot",0.00235199795526347,0.00373810115915692,0.00350028537508132
35,2,"CMD","leg_tot",0.0311851045577406,0.0247639826543837,0.0194319772972073
35,2,"Cancer","leg_tot",0.00428578965190647,0.0041953018024318,0.00432187460293724
35,3,"CMD","leg_tot",0.00870326383267396,0.00203303995274413,0.00407530724688215
35,3,"Cancer","leg_tot",0.00093606554841268,0.000620335468567481,0.000505492966388767
35,4,"CMD","leg_tot",0.00543810953949673,0.0158646986950218,0.00715070796749023
35,4,"Cancer","leg_tot",0.00212022298915701,0.00337758804415315,0.00236103076301605
45,1,"CMD","leg_tot",0.0191011727937589,0.0223477647914369,0.0189248929855712
45,1,"Cancer","leg_tot",0.0039427985357774,0.00414876644043867,0.00319597958614878
45,2,"CMD","leg_tot",0.0243612851308789,0.0188876447105397,0.0148966759580946
45,2,"Cancer","leg_tot",0.00352438612297239,0.00362760534398988,0.00270734739642089
45,3,"CMD","leg_tot",0.00674975402414674,0.00178030250705358,0.0060814167964256
45,3,"Cancer","leg_tot",0.00127967032953997,0.000839097721446059,0.00143196143707138
45,4,"CMD","leg_tot",0.0188897422406765,0.0253774917057678,0.0210700565862193
45,4,"Cancer","leg_tot",0.00226980444673739,0.0031095916809044,0.003256334482012
55,1,"CMD","leg_tot",0.0151817601666524,0.0121045147242638,0.0145284404089371
55,1,"Cancer","leg_tot",0.00274036598210765,0.00241605577285561,0.0028381539493816
55,2,"CMD","leg_tot",0.0137452885673216,0.0131614378112604,0.0161006961998192
55,2,"Cancer","leg_tot",0.00220193249121195,0.00254377927514983,0.00259942912243287
55,3,"CMD","leg_tot",0.00772908031657696,0.0066202595955104,0.00967559866308843
