"female","race","disease_type2","riskfactor","V1","V2","V3"
0,1,"Cancer","dairy_tot",0.0128181456824102,0.010522747630782,0.0127595578903064
0,1,"DIAB","dairy_tot",0,0,0
0,1,"HHD","dairy_tot",0,0,0
0,1,"HSTK","dairy_tot",0,0,0
0,1,"IHD","dairy_tot",0,0,0
0,1,"ISTK","dairy_tot",0,0,0
0,1,"OSTK","dairy_tot",0,0,0
0,1,"Other_CVD","dairy_tot",0,0,0
0,2,"Cancer","dairy_tot",0.0167272697631614,0.0188688350775183,0.0196657498418207
0,2,"DIAB","dairy_tot",0,0,0
0,2,"HHD","dairy_tot",0,0,0
0,2,"HSTK","dairy_tot",0,0,0
0,2,"IHD","dairy_tot",0,0,0
0,2,"ISTK","dairy_tot",0,0,0
0,2,"OSTK","dairy_tot",0,0,0
0,2,"Other_CVD","dairy_tot",0,0,0
0,3,"Cancer","dairy_tot",0.0175481107581002,0.0176569492151308,0.0163017570709182
0,3,"DIAB","dairy_tot",0,0,0
0,3,"HHD","dairy_tot",0,0,0
0,3,"HSTK","dairy_tot",0,0,0
0,3,"IHD","dairy_tot",0,0,0
0,3,"ISTK","dairy_tot",0,0,0
0,3,"OSTK","dairy_tot",0,0,0
0,3,"Other_CVD","dairy_tot",0,0,0
0,4,"Cancer","dairy_tot",0.0207788123775,0.0192062722672171,0.022704137925011
0,4,"DIAB","dairy_tot",0,0,0
0,4,"HHD","dairy_tot",0,0,0
0,4,"HSTK","dairy_tot",0,0,0
0,4,"IHD","dairy_tot",0,0,0
0,4,"ISTK","dairy_tot",0,0,0
0,4,"OSTK","dairy_tot",0,0,0
0,4,"Other_CVD","dairy_tot",0,0,0
1,1,"Cancer","dairy_tot",0.00840634398075887,0.00820560785467915,0.00724339344477854
1,1,"DIAB","dairy_tot",0,0,0
1,1,"HHD","dairy_tot",0,0,0
1,1,"HSTK","dairy_tot",0,0,0
1,1,"IHD","dairy_tot",0,0,0
1,1,"ISTK","dairy_tot",0,0,0
1,1,"OSTK","dairy_tot",0,0,0
1,1,"Other_CVD","dairy_tot",0,0,0
1,2,"Cancer","dairy_tot",0.0135852283627939,0.0124961923605754,0.0138154585794128
1,2,"DIAB","dairy_tot",0,0,0
1,2,"HHD","dairy_tot",0,0,0
1,2,"HSTK","dairy_tot",0,0,0
1,2,"IHD","dairy_tot",0,0,0
