"female","race","pathway","riskfactor","V1","V2","V3"
0,1,"direct","dairy_tot",0.00647091719782476,0.00526775102742773,0.00641917053719479
0,1,"medBMI","dairy_tot",0,0,0
0,1,"medSBP","dairy_tot",0,0,0
0,2,"direct","dairy_tot",0.00783856398296734,0.008884248765498,0.00925159922415283
0,2,"medBMI","dairy_tot",0,0,0
0,2,"medSBP","dairy_tot",0,0,0
0,3,"direct","dairy_tot",0.00943234548913904,0.00948403944001843,0.00872332430679384
0,3,"medBMI","dairy_tot",0,0,0
0,3,"medSBP","dairy_tot",0,0,0
0,4,"direct","dairy_tot",0.0141162299956217,0.0130995580224611,0.0154759520605928
0,4,"medBMI","dairy_tot",0,0,0
0,4,"medSBP","dairy_tot",0,0,0
1,1,"direct","dairy_tot",0.0051950722420901,0.00508010243887534,0.0044727755607085
1,1,"medBMI","dairy_tot",0,0,0
1,1,"medSBP","dairy_tot",0,0,0
1,2,"direct","dairy_tot",0.00805628513692305,0.00735320513909019,0.00816639387267731
1,2,"medBMI","dairy_tot",0,0,0
1,2,"medSBP","dairy_tot",0,0,0
1,3,"direct","dairy_tot",0.0058761180974121,0.0061927187298914,0.00699207335950125
1,3,"medBMI","dairy_tot",0,0,0
1,3,"medSBP","dairy_tot",0,0,0
1,4,"direct","dairy_tot",0.00819900396007636,0.00719530163808558,0.00720971411261993
1,4,"medBMI","dairy_tot",0,0,0
1,4,"medSBP","dairy_tot",0,0,0
0,1,"direct","leg_tot",0.00370524065221725,0.00424642970172599,0.00367319458181556
0,1,"medBMI","leg_tot",0.0042818780137858,0.00427289896278433,0.00353916324962452
0,1,"medSBP","leg_tot",0,0,0
0,2,"direct","leg_tot",0.00378719641296107,0.00321760557548223,0.00386604706887334
0,2,"medBMI","leg_tot",0.00444134793073996,0.00347318775939777,0.00349516319572941
0,2,"medSBP","leg_tot",0,0,0
0,3,"direct","leg_tot",0.000727656466519999,0.000231019257474337,0.000795135921823006
0,3,"medBMI","leg_tot",0.000960600226925581,0.000333276624183242,0.000831186065540293
0,3,"medSBP","leg_tot",0,0,0
0,4,"direct","leg_tot",0.00118096992303997,0.00173350439289875,0.00148682365383136
0,4,"medBMI","leg_tot",0.00110306278466808,0.00154245755746743,0.00119089656645383
0,4,"medSBP","leg_tot",0,0,0
1,1,"direct","leg_tot",0.00315411545277771,0.00267817246563384,0.00247078846586859
1,1,"medBMI","leg_tot",0.00380863890689148,0.00341469103151021,0.00367865455078677
1,1,"medSBP","leg_tot",0,0,0
1,2,"direct","leg_tot",0.00142814975210005,0.00219451131264437,0.0036126003439604
1,2,"medBMI","leg_tot",0.00230482811567191,0.00320442584768708,0.00444307330861634
1,2,"medSBP","leg_tot",0,0,0
1,3,"direct","leg_tot",0.000889381408335407,0.00169968749387937,0.000963022544176421
1,3,"medBMI","leg_tot",0.00153620325094905,0.00256525326098563,0.00163391668715192
1,3,"medSBP","leg_tot",0,0,0
1,4,"direct","leg_tot",0.00103343231813935,0.00136454553992673,0.00207685889115443
1,4,"medBMI","leg_tot",0.00201510489413371,0.00219348140960647,0.00278559469772078
1,4,"medSBP","leg_tot",0,0,0
