"age","outcome","pathway","riskfactor","V1","V2","V3"
25,"AA","direct","dairy_tot",0,0,0
25,"AA","medBMI","dairy_tot",0,0,0
25,"AA","medSBP","dairy_tot",0,0,0
35,"AA","direct","dairy_tot",0,0,0
35,"AA","medBMI","dairy_tot",0,0,0
35,"AA","medSBP","dairy_tot",0,0,0
45,"AA","direct","dairy_tot",0,0,0
45,"AA","medBMI","dairy_tot",0,0,0
45,"AA","medSBP","dairy_tot",0,0,0
55,"AA","direct","dairy_tot",0,0,0
55,"AA","medBMI","dairy_tot",0,0,0
55,"AA","medSBP","dairy_tot",0,0,0
65,"AA","direct","dairy_tot",0,0,0
65,"AA","medBMI","dairy_tot",0,0,0
65,"AA","medSBP","dairy_tot",0,0,0
75,"AA","direct","dairy_tot",0,0,0
75,"AA","medBMI","dairy_tot",0,0,0
75,"AA","medSBP","dairy_tot",0,0,0
25,"AFF","direct","dairy_tot",0,0,0
25,"AFF","medBMI","dairy_tot",0,0,0
25,"AFF","medSBP","dairy_tot",0,0,0
35,"AFF","direct","dairy_tot",0,0,0
35,"AFF","medBMI","dairy_tot",0,0,0
35,"AFF","medSBP","dairy_tot",0,0,0
45,"AFF","direct","dairy_tot",0,0,0
45,"AFF","medBMI","dairy_tot",0,0,0
45,"AFF","medSBP","dairy_tot",0,0,0
55,"AFF","direct","dairy_tot",0,0,0
55,"AFF","medBMI","dairy_tot",0,0,0
55,"AFF","medSBP","dairy_tot",0,0,0
65,"AFF","direct","dairy_tot",0,0,0
65,"AFF","medBMI","dairy_tot",0,0,0
65,"AFF","medSBP","dairy_tot",0,0,0
75,"AFF","direct","dairy_tot",0,0,0
75,"AFF","medBMI","dairy_tot",0,0,0
75,"AFF","medSBP","dairy_tot",0,0,0
25,"APCA","direct","dairy_tot",0,0,0
25,"APCA","medBMI","dairy_tot",0,0,0
25,"APCA","medSBP","dairy_tot",0,0,0
35,"APCA","direct","dairy_tot",0,0,0
35,"APCA","medBMI","dairy_tot",0,0,0
35,"APCA","medSBP","dairy_tot",0,0,0
45,"APCA","direct","dairy_tot",0,0,0
45,"APCA","medBMI","dairy_tot",0,0,0
45,"APCA","medSBP","dairy_tot",0,0,0
55,"APCA","direct","dairy_tot",0,0,0
55,"APCA","medBMI","dairy_tot",0,0,0
55,"APCA","medSBP","dairy_tot",0,0,0
65,"APCA","direct","dairy_tot",0,0,0
65,"APCA","medBMI","dairy_tot",0,0,0
65,"APCA","medSBP","dairy_tot",0,0,0
75,"APCA","direct","dairy_tot",0,0,0
75,"APCA","medBMI","dairy_tot",0,0,0
75,"APCA","medSBP","dairy_tot",0,0,0
25,"BC","direct","dairy_tot",0,0,0
25,"BC","medBMI","dairy_tot",0,0,0
25,"BC","medSBP","dairy_tot",0,0,0
35,"BC","direct","dairy_tot",0,0,0
35,"BC","medBMI","dairy_tot",0,0,0
35,"BC","medSBP","dairy_tot",0,0,0
45,"BC","direct","dairy_tot",0,0,0
45,"BC","medBMI","dairy_tot",0,0,0
45,"BC","medSBP","dairy_tot",0,0,0
55,"BC","direct","dairy_tot",0,0,0
55,"BC","medBMI","dairy_tot",0,0,0
55,"BC","medSBP","dairy_tot",0,0,0
65,"BC","direct","dairy_tot",0,0,0
65,"BC","medBMI","dairy_tot",0,0,0
65,"BC","medSBP","dairy_tot",0,0,0
75,"BC","direct","dairy_tot",0,0,0
75,"BC","medBMI","dairy_tot",0,0,0
75,"BC","medSBP","dairy_tot",0,0,0
25,"CC","direct","dairy_tot",200.504246856993,203.692948693895,175.021189095082
25,"CC","medBMI","dairy_tot",0,0,0
25,"CC","medSBP","dairy_tot",0,0,0
35,"CC","direct","dairy_tot",542.989581367523,505.410129128514,562.671730744856
35,"CC","medBMI","dairy_tot",0,0,0
35,"CC","medSBP","dairy_tot",0,0,0
45,"CC","direct","dairy_tot",1550.22410530668,1421.73580776971,1246.10705509031
45,"CC","medBMI","dairy_tot",0,0,0
45,"CC","medSBP","dairy_tot",0,0,0
55,"CC","direct","dairy_tot",2806.31715638394,2929.97447415364,3280.5168517034
55,"CC","medBMI","dairy_tot",0,0,0
55,"CC","medSBP","dairy_tot",0,0,0
65,"CC","direct","dairy_tot",2797.94659423475,2764.68905944211,3029.20998894604
65,"CC","medBMI","dairy_tot",0,0,0
65,"CC","medSBP","dairy_tot",0,0,0
75,"CC","direct","dairy_tot",3447.59348315076,2672.458017163,2719.6661590529
75,"CC","medBMI","dairy_tot",0,0,0
75,"CC","medSBP","dairy_tot",0,0,0
25,"CM","direct","dairy_tot",0,0,0
25,"CM","medBMI","dairy_tot",0,0,0
25,"CM","medSBP","dairy_tot",0,0,0
35,"CM","direct","dairy_tot",0,0,0
35,"CM","medBMI","dairy_tot",0,0,0
35,"CM","medSBP","dairy_tot",0,0,0
45,"CM","direct","dairy_tot",0,0,0
45,"CM","medBMI","dairy_tot",0,0,0
45,"CM","medSBP","dairy_tot",0,0,0
55,"CM","direct","dairy_tot",0,0,0
55,"CM","medBMI","dairy_tot",0,0,0
55,"CM","medSBP","dairy_tot",0,0,0
65,"CM","direct","dairy_tot",0,0,0
65,"CM","medBMI","dairy_tot",0,0,0
65,"CM","medSBP","dairy_tot",0,0,0
75,"CM","direct","dairy_tot",0,0,0
75,"CM","medBMI","dairy_tot",0,0,0
75,"CM","medSBP","dairy_tot",0,0,0
25,"DIAB","direct","dairy_tot",0,0,0
25,"DIAB","medBMI","dairy_tot",0,0,0
25,"DIAB","medSBP","dairy_tot",0,0,0
35,"DIAB","direct","dairy_tot",0,0,0
35,"DIAB","medBMI","dairy_tot",0,0,0
35,"DIAB","medSBP","dairy_tot",0,0,0
45,"DIAB","direct","dairy_tot",0,0,0
45,"DIAB","medBMI","dairy_tot",0,0,0
45,"DIAB","medSBP","dairy_tot",0,0,0
55,"DIAB","direct","dairy_tot",0,0,0
55,"DIAB","medBMI","dairy_tot",0,0,0
55,"DIAB","medSBP","dairy_tot",0,0,0
65,"DIAB","direct","dairy_tot",0,0,0
65,"DIAB","medBMI","dairy_tot",0,0,0
65,"DIAB","medSBP","dairy_tot",0,0,0
75,"DIAB","direct","dairy_tot",0,0,0
75,"DIAB","medBMI","dairy_tot",0,0,0
75,"DIAB","medSBP","dairy_tot",0,0,0
25,"ECA","direct","dairy_tot",0,0,0
25,"ECA","medBMI","dairy_tot",0,0,0
25,"ECA","medSBP","dairy_tot",0,0,0
35,"ECA","direct","dairy_tot",0,0,0
35,"ECA","medBMI","dairy_tot",0,0,0
35,"ECA","medSBP","dairy_tot",0,0,0
45,"ECA","direct","dairy_tot",0,0,0
45,"ECA","medBMI","dairy_tot",0,0,0
45,"ECA","medSBP","dairy_tot",0,0,0
55,"ECA","direct","dairy_tot",0,0,0
55,"ECA","medBMI","dairy_tot",0,0,0
55,"ECA","medSBP","dairy_tot",0,0,0
65,"ECA","direct","dairy_tot",0,0,0
65,"ECA","medBMI","dairy_tot",0,0,0
65,"ECA","medSBP","dairy_tot",0,0,0
75,"ECA","direct","dairy_tot",0,0,0
75,"ECA","medBMI","dairy_tot",0,0,0
75,"ECA","medSBP","dairy_tot",0,0,0
25,"ENDO","direct","dairy_tot",0,0,0
25,"ENDO","medBMI","dairy_tot",0,0,0
25,"ENDO","medSBP","dairy_tot",0,0,0
35,"ENDO","direct","dairy_tot",0,0,0
35,"ENDO","medBMI","dairy_tot",0,0,0
35,"ENDO","medSBP","dairy_tot",0,0,0
45,"ENDO","direct","dairy_tot",0,0,0
45,"ENDO","medBMI","dairy_tot",0,0,0
45,"ENDO","medSBP","dairy_tot",0,0,0
55,"ENDO","direct","dairy_tot",0,0,0
55,"ENDO","medBMI","dairy_tot",0,0,0
55,"ENDO","medSBP","dairy_tot",0,0,0
65,"ENDO","direct","dairy_tot",0,0,0
65,"ENDO","medBMI","dairy_tot",0,0,0
65,"ENDO","medSBP","dairy_tot",0,0,0
75,"ENDO","direct","dairy_tot",0,0,0
75,"ENDO","medBMI","dairy_tot",0,0,0
75,"ENDO","medSBP","dairy_tot",0,0,0
25,"GC","direct","dairy_tot",0,0,0
25,"GC","medBMI","dairy_tot",0,0,0
25,"GC","medSBP","dairy_tot",0,0,0
35,"GC","direct","dairy_tot",0,0,0
35,"GC","medBMI","dairy_tot",0,0,0
35,"GC","medSBP","dairy_tot",0,0,0
45,"GC","direct","dairy_tot",0,0,0
45,"GC","medBMI","dairy_tot",0,0,0
45,"GC","medSBP","dairy_tot",0,0,0
55,"GC","direct","dairy_tot",0,0,0
55,"GC","medBMI","dairy_tot",0,0,0
55,"GC","medSBP","dairy_tot",0,0,0
65,"GC","direct","dairy_tot",0,0,0
65,"GC","medBMI","dairy_tot",0,0,0
65,"GC","medSBP","dairy_tot",0,0,0
75,"GC","direct","dairy_tot",0,0,0
75,"GC","medBMI","dairy_tot",0,0,0
75,"GC","medSBP","dairy_tot",0,0,0
25,"HHD","direct","dairy_tot",0,0,0
25,"HHD","medBMI","dairy_tot",0,0,0
25,"HHD","medSBP","dairy_tot",0,0,0
35,"HHD","direct","dairy_tot",0,0,0
35,"HHD","medBMI","dairy_tot",0,0,0
35,"HHD","medSBP","dairy_tot",0,0,0
45,"HHD","direct","dairy_tot",0,0,0
45,"HHD","medBMI","dairy_tot",0,0,0
45,"HHD","medSBP","dairy_tot",0,0,0
55,"HHD","direct","dairy_tot",0,0,0
55,"HHD","medBMI","dairy_tot",0,0,0
55,"HHD","medSBP","dairy_tot",0,0,0
65,"HHD","direct","dairy_tot",0,0,0
65,"HHD","medBMI","dairy_tot",0,0,0
65,"HHD","medSBP","dairy_tot",0,0,0
75,"HHD","direct","dairy_tot",0,0,0
75,"HHD","medBMI","dairy_tot",0,0,0
75,"HHD","medSBP","dairy_tot",0,0,0
25,"HSTK","direct","dairy_tot",0,0,0
25,"HSTK","medBMI","dairy_tot",0,0,0
25,"HSTK","medSBP","dairy_tot",0,0,0
35,"HSTK","direct","dairy_tot",0,0,0
35,"HSTK","medBMI","dairy_tot",0,0,0
35,"HSTK","medSBP","dairy_tot",0,0,0
45,"HSTK","direct","dairy_tot",0,0,0
45,"HSTK","medBMI","dairy_tot",0,0,0
45,"HSTK","medSBP","dairy_tot",0,0,0
55,"HSTK","direct","dairy_tot",0,0,0
55,"HSTK","medBMI","dairy_tot",0,0,0
55,"HSTK","medSBP","dairy_tot",0,0,0
65,"HSTK","direct","dairy_tot",0,0,0
65,"HSTK","medBMI","dairy_tot",0,0,0
65,"HSTK","medSBP","dairy_tot",0,0,0
75,"HSTK","direct","dairy_tot",0,0,0
75,"HSTK","medBMI","dairy_tot",0,0,0
75,"HSTK","medSBP","dairy_tot",0,0,0
25,"IHD","direct","dairy_tot",0,0,0
25,"IHD","medBMI","dairy_tot",0,0,0
25,"IHD","medSBP","dairy_tot",0,0,0
35,"IHD","direct","dairy_tot",0,0,0
35,"IHD","medBMI","dairy_tot",0,0,0
35,"IHD","medSBP","dairy_tot",0,0,0
45,"IHD","direct","dairy_tot",0,0,0
45,"IHD","medBMI","dairy_tot",0,0,0
45,"IHD","medSBP","dairy_tot",0,0,0
55,"IHD","direct","dairy_tot",0,0,0
55,"IHD","medBMI","dairy_tot",0,0,0
55,"IHD","medSBP","dairy_tot",0,0,0
65,"IHD","direct","dairy_tot",0,0,0
65,"IHD","medBMI","dairy_tot",0,0,0
65,"IHD","medSBP","dairy_tot",0,0,0
75,"IHD","direct","dairy_tot",0,0,0
75,"IHD","medBMI","dairy_tot",0,0,0
75,"IHD","medSBP","dairy_tot",0,0,0
25,"ISTK","direct","dairy_tot",0,0,0
25,"ISTK","medBMI","dairy_tot",0,0,0
25,"ISTK","medSBP","dairy_tot",0,0,0
35,"ISTK","direct","dairy_tot",0,0,0
35,"ISTK","medBMI","dairy_tot",0,0,0
35,"ISTK","medSBP","dairy_tot",0,0,0
45,"ISTK","direct","dairy_tot",0,0,0
45,"ISTK","medBMI","dairy_tot",0,0,0
45,"ISTK","medSBP","dairy_tot",0,0,0
55,"ISTK","direct","dairy_tot",0,0,0
55,"ISTK","medBMI","dairy_tot",0,0,0
55,"ISTK","medSBP","dairy_tot",0,0,0
65,"ISTK","direct","dairy_tot",0,0,0
65,"ISTK","medBMI","dairy_tot",0,0,0
65,"ISTK","medSBP","dairy_tot",0,0,0
75,"ISTK","direct","dairy_tot",0,0,0
75,"ISTK","medBMI","dairy_tot",0,0,0
75,"ISTK","medSBP","dairy_tot",0,0,0
25,"KC","direct","dairy_tot",0,0,0
25,"KC","medBMI","dairy_tot",0,0,0
25,"KC","medSBP","dairy_tot",0,0,0
35,"KC","direct","dairy_tot",0,0,0
35,"KC","medBMI","dairy_tot",0,0,0
35,"KC","medSBP","dairy_tot",0,0,0
45,"KC","direct","dairy_tot",0,0,0
45,"KC","medBMI","dairy_tot",0,0,0
45,"KC","medSBP","dairy_tot",0,0,0
55,"KC","direct","dairy_tot",0,0,0
55,"KC","medBMI","dairy_tot",0,0,0
55,"KC","medSBP","dairy_tot",0,0,0
65,"KC","direct","dairy_tot",0,0,0
65,"KC","medBMI","dairy_tot",0,0,0
65,"KC","medSBP","dairy_tot",0,0,0
75,"KC","direct","dairy_tot",0,0,0
75,"KC","medBMI","dairy_tot",0,0,0
75,"KC","medSBP","dairy_tot",0,0,0
25,"LC","direct","dairy_tot",0,0,0
25,"LC","medBMI","dairy_tot",0,0,0
25,"LC","medSBP","dairy_tot",0,0,0
35,"LC","direct","dairy_tot",0,0,0
35,"LC","medBMI","dairy_tot",0,0,0
35,"LC","medSBP","dairy_tot",0,0,0
45,"LC","direct","dairy_tot",0,0,0
45,"LC","medBMI","dairy_tot",0,0,0
45,"LC","medSBP","dairy_tot",0,0,0
55,"LC","direct","dairy_tot",0,0,0
55,"LC","medBMI","dairy_tot",0,0,0
55,"LC","medSBP","dairy_tot",0,0,0
65,"LC","direct","dairy_tot",0,0,0
65,"LC","medBMI","dairy_tot",0,0,0
65,"LC","medSBP","dairy_tot",0,0,0
75,"LC","direct","dairy_tot",0,0,0
75,"LC","medBMI","dairy_tot",0,0,0
75,"LC","medSBP","dairy_tot",0,0,0
25,"LVC","direct","dairy_tot",0,0,0
25,"LVC","medBMI","dairy_tot",0,0,0
25,"LVC","medSBP","dairy_tot",0,0,0
35,"LVC","direct","dairy_tot",0,0,0
35,"LVC","medBMI","dairy_tot",0,0,0
35,"LVC","medSBP","dairy_tot",0,0,0
45,"LVC","direct","dairy_tot",0,0,0
45,"LVC","medBMI","dairy_tot",0,0,0
45,"LVC","medSBP","dairy_tot",0,0,0
55,"LVC","direct","dairy_tot",0,0,0
55,"LVC","medBMI","dairy_tot",0,0,0
55,"LVC","medSBP","dairy_tot",0,0,0
65,"LVC","direct","dairy_tot",0,0,0
65,"LVC","medBMI","dairy_tot",0,0,0
