"disease_type2","riskfactor","V1","V2","V3"
"Other_CVD","dairy_tot",0,0,0
"Cancer","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"DIAB","dairy_tot",0,0,0
"HHD","dairy_tot",0,0,0
"HSTK","dairy_tot",0,0,0
"IHD","dairy_tot",0,0,0
"ISTK","dairy_tot",0,0,0
"OSTK","dairy_tot",0,0,0
"Other_CVD","leg_tot",502.942079977825,560.454463881104,474.021410213304
"Cancer","leg_tot",2698.26310703383,2567.18930915817,2577.63027658772
"DIAB","leg_tot",856.070466739042,928.548331266576,851.928625160167
"HHD","leg_tot",574.519252970283,480.336401644002,414.217923317871
"HSTK","leg_tot",819.601056921316,815.625229510415,810.855755872359
"IHD","leg_tot",3790.44975765216,3539.35520996197,3648.19177392382
"ISTK","leg_tot",810.044950793413,884.766020120407,794.76828654601
"OSTK","leg_tot",1451.26754926809,1625.93364004073,1419.42480532022
