"female","pathway","riskfactor","V1","V2","V3"
0,"direct","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
0,"medBMI","dairy_tot",0,0,0
0,"medSBP","dairy_tot",0,0,0
1,"direct","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
1,"medBMI","dairy_tot",0,0,0
1,"medSBP","dairy_tot",0,0,0
0,"direct","leg_tot",2702.24828422678,2975.74206758622,2712.6228030052
0,"medBMI","leg_tot",3124.73817620484,3013.81670621707,2585.1648112172
0,"medSBP","leg_tot",0,0,0
1,"direct","leg_tot",2506.4813148718,2334.48755161715,2330.46657825314
1,"medBMI","leg_tot",3169.69044605254,3078.16228016292,3362.78466446594
1,"medSBP","leg_tot",0,0,0
