"female","pathway","disease_type2","riskfactor","V1","V2","V3"
0,"direct","Other_CVD","dairy_tot",0,0,0
0,"medBMI","Other_CVD","dairy_tot",0,0,0
0,"medSBP","Other_CVD","dairy_tot",0,0,0
1,"direct","Other_CVD","dairy_tot",0,0,0
1,"medBMI","Other_CVD","dairy_tot",0,0,0
1,"medSBP","Other_CVD","dairy_tot",0,0,0
0,"direct","Cancer","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
0,"medBMI","Cancer","dairy_tot",0,0,0
0,"medSBP","Cancer","dairy_tot",0,0,0
1,"direct","Cancer","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
1,"medBMI","Cancer","dairy_tot",0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0
0,"direct","DIAB","dairy_tot",0,0,0
0,"medBMI","DIAB","dairy_tot",0,0,0
0,"medSBP","DIAB","dairy_tot",0,0,0
1,"direct","DIAB","dairy_tot",0,0,0
1,"medBMI","DIAB","dairy_tot",0,0,0
1,"medSBP","DIAB","dairy_tot",0,0,0
0,"direct","HHD","dairy_tot",0,0,0
0,"medBMI","HHD","dairy_tot",0,0,0
0,"medSBP","HHD","dairy_tot",0,0,0
1,"direct","HHD","dairy_tot",0,0,0
1,"medBMI","HHD","dairy_tot",0,0,0
1,"medSBP","HHD","dairy_tot",0,0,0
0,"direct","HSTK","dairy_tot",0,0,0
0,"medBMI","HSTK","dairy_tot",0,0,0
0,"medSBP","HSTK","dairy_tot",0,0,0
1,"direct","HSTK","dairy_tot",0,0,0
1,"medBMI","HSTK","dairy_tot",0,0,0
1,"medSBP","HSTK","dairy_tot",0,0,0
0,"direct","IHD","dairy_tot",0,0,0
0,"medBMI","IHD","dairy_tot",0,0,0
0,"medSBP","IHD","dairy_tot",0,0,0
1,"direct","IHD","dairy_tot",0,0,0
1,"medBMI","IHD","dairy_tot",0,0,0
1,"medSBP","IHD","dairy_tot",0,0,0
0,"direct","ISTK","dairy_tot",0,0,0
0,"medBMI","ISTK","dairy_tot",0,0,0
0,"medSBP","ISTK","dairy_tot",0,0,0
1,"direct","ISTK","dairy_tot",0,0,0
1,"medBMI","ISTK","dairy_tot",0,0,0
1,"medSBP","ISTK","dairy_tot",0,0,0
0,"direct","OSTK","dairy_tot",0,0,0
0,"medBMI","OSTK","dairy_tot",0,0,0
0,"medSBP","OSTK","dairy_tot",0,0,0
1,"direct","OSTK","dairy_tot",0,0,0
1,"medBMI","OSTK","dairy_tot",0,0,0
1,"medSBP","OSTK","dairy_tot",0,0,0
0,"direct","Other_CVD","leg_tot",0,0,0
0,"medBMI","Other_CVD","leg_tot",259.498424604955,256.753802502561,231.739705182132
0,"medSBP","Other_CVD","leg_tot",0,0,0
1,"direct","Other_CVD","leg_tot",0,0,0
1,"medBMI","Other_CVD","leg_tot",243.443655372871,303.700661378544,242.281705031172
1,"medSBP","Other_CVD","leg_tot",0,0,0
0,"direct","Cancer","leg_tot",514.342712799454,635.398950469186,491.778149988174
0,"medBMI","Cancer","leg_tot",558.272915591945,571.390041280469,525.010567820879
0,"medSBP","Cancer","leg_tot",0,0,0
1,"direct","Cancer","leg_tot",279.218099255162,204.161568983935,288.1683925593
1,"medBMI","Cancer","leg_tot",1346.42937938727,1156.23874842457,1272.67316621937
1,"medSBP","Cancer","leg_tot",0,0,0
0,"direct","DIAB","leg_tot",0,0,0
0,"medBMI","DIAB","leg_tot",502.885407804846,579.443212815382,420.48575605274
0,"medSBP","DIAB","leg_tot",0,0,0
