"outcome","riskfactor","V1","V2","V3"
"AA","dairy_tot",0,0,0
"AFF","dairy_tot",0,0,0
"APCA","dairy_tot",0,0,0
"BC","dairy_tot",0,0,0
"CC","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"CM","dairy_tot",0,0,0
"DIAB","dairy_tot",0,0,0
"ECA","dairy_tot",0,0,0
"ENDO","dairy_tot",0,0,0
"GC","dairy_tot",0,0,0
"HHD","dairy_tot",0,0,0
"HSTK","dairy_tot",0,0,0
"IHD","dairy_tot",0,0,0
"ISTK","dairy_tot",0,0,0
"KC","dairy_tot",0,0,0
"LC","dairy_tot",0,0,0
"LVC","dairy_tot",0,0,0
"MLPC","dairy_tot",0,0,0
"MMC","dairy_tot",0,0,0
"OC","dairy_tot",0,0,0
"OSTK","dairy_tot",0,0,0
"OTH","dairy_tot",0,0,0
"PC","dairy_tot",0,0,0
"PVD","dairy_tot",0,0,0
"RHD","dairy_tot",0,0,0
"SCC","dairy_tot",0,0,0
"SCNC","dairy_tot",0,0,0
"TC","dairy_tot",0,0,0
"UC","dairy_tot",0,0,0
"AA","leg_tot",48.8964921174913,49.6293426958689,46.5648052322695
"AFF","leg_tot",128.238039230243,113.217561448517,112.273715556817
"APCA","leg_tot",26.5566534204633,29.5086259174977,33.6238183776784
"BC","leg_tot",500.422741362201,410.108416267489,449.039966189215
"CC","leg_tot",118.55702454703,112.676925997835,83.3611731511797
"CM","leg_tot",100.32245567679,104.611235308554,86.48145064034
"DIAB","leg_tot",856.070466739042,928.548331266576,851.928625160167
"ECA","leg_tot",71.2974214945525,83.3704135101781,62.4833084347022
"ENDO","leg_tot",11.2562583571522,10.7825729599768,9.57155486890407
"GC","leg_tot",13.4882489232285,12.7650696287585,13.8922350474294
"HHD","leg_tot",574.519252970283,480.336401644002,414.217923317871
"HSTK","leg_tot",819.601056921316,815.625229510415,810.855755872359
"IHD","leg_tot",3790.44975765216,3539.35520996197,3648.19177392382
"ISTK","leg_tot",810.044950793413,884.766020120407,794.76828654601
"KC","leg_tot",293.501900787861,298.921774501141,290.057001179256
"LC","leg_tot",0,0,0
"LVC","leg_tot",151.296821667037,129.259815096298,139.753357111457
"MLPC","leg_tot",793.560812054616,839.560519453121,779.946542547474
"MMC","leg_tot",38.4479899465901,35.233368160564,32.9106982643853
"OC","leg_tot",19.0635665776561,19.0200421989019,17.7864410482289
"OSTK","leg_tot",1451.26754926809,1625.93364004073,1419.42480532022
"OTH","leg_tot",163.520277229495,231.576214922512,169.339907040855
"PC","leg_tot",85.7250931671416,99.8101736808098,82.8631437683617
"PVD","leg_tot",34.2082113728856,33.9130153101789,34.4608040448486
"RHD","leg_tot",16.5003459937687,16.7245212354957,15.3291728292699
"SCC","leg_tot",35.2197154251948,27.2606325401446,35.4478791952149
"SCNC","leg_tot",0,0,0
"TC","leg_tot",49.5010454114139,46.3160893546442,59.16265885317
"UC","leg_tot",501.624072248848,423.377442850779,497.302053419971
