"age","female","outcome","pathway","V1","V2","V3"
25,0,"AA","direct",0,0,0
25,0,"AA","medSBP",0,0,0
25,0,"AA","medBMI",0.950896040543885,0.985544328569697,0.995764142277516
25,0,"AFF","medSBP",0,0,0
25,0,"AFF","direct",0,0,0
25,0,"AFF","medBMI",0.122622505841945,0.0753236092930714,0.105631807764728
25,0,"APCA","direct",0,0,0
25,0,"APCA","medBMI",0.00726775692318852,0.00922583006325549,0.00989045136116842
25,0,"APCA","medSBP",0,0,0
25,0,"BC","direct",0,0,0
25,0,"BC","medSBP",0,0,0
25,0,"BC","medBMI",0,0,0
25,0,"CC","medBMI",1.11570847766042,0.299541714926877,1.26638586953015
25,0,"CC","direct",101.800822484146,95.3529481490099,71.5116768445964
25,0,"CC","medSBP",0,0,0
25,0,"CM","medBMI",5.94030393182203,4.50879110765984,3.82453999054574
25,0,"CM","medSBP",0,0,0
25,0,"CM","direct",0,0,0
25,0,"DIAB","direct",0,0,0
25,0,"DIAB","medBMI",9.13260598205646,10.9521352299431,9.03613730596095
25,0,"DIAB","medSBP",0,0,0
25,0,"ECA","medSBP",0,0,0
25,0,"ECA","medBMI",0.40438495853146,0.482258446996997,0.149240643360375
25,0,"ECA","direct",0,0,0
25,0,"ENDO","medSBP",0,0,0
25,0,"ENDO","medBMI",0.681098109165379,0.687640698101979,1.05152279883282
25,0,"ENDO","direct",0,0,0
25,0,"GC","medBMI",0.012186387206192,0.00204196207278476,0.0268887807408124
25,0,"GC","direct",0,0,0
25,0,"GC","medSBP",0,0,0
25,0,"HHD","direct",0,0,0
25,0,"HHD","medBMI",7.79885667550143,5.08969635083983,3.01618060930324
25,0,"HHD","medSBP",0,0,0
25,0,"HSTK","direct",5.05274684386486,5.32094526285808,6.74846862818888
25,0,"HSTK","medBMI",1.24496816716678,1.49243955505811,1.44932033808915
25,0,"HSTK","medSBP",0,0,0
25,0,"IHD","medSBP",0,0,0
25,0,"IHD","medBMI",9.55715129426236,5.17298060169373,5.57050626291312
25,0,"IHD","direct",8.6103699786094,9.60398808173275,8.41226788863215
25,0,"ISTK","direct",2.45140497898281,1.62012510410129,2.93042015135904
25,0,"ISTK","medSBP",0,0,0
25,0,"ISTK","medBMI",0.964289279154049,0.867109625331982,0.912514678540509
25,0,"KC","medSBP",0,0,0
25,0,"KC","medBMI",1.70475515819659,2.53262036908969,2.16966672631072
25,0,"KC","direct",0,0,0
25,0,"LC","medSBP",0,0,0
25,0,"LC","direct",0,0,0
25,0,"LC","medBMI",0,0,0
25,0,"LVC","direct",0,0,0
25,0,"LVC","medSBP",0,0,0
25,0,"LVC","medBMI",0.495481808551615,0.536047810532008,0.50800362679666
25,0,"MLPC","medBMI",0,0,0
25,0,"MLPC","direct",6.92961154639631,3.54374195884975,6.92178335483065
25,0,"MLPC","medSBP",0,0,0
25,0,"MMC","direct",0,0,0
25,0,"MMC","medBMI",0.0863720641846941,0.0581261073413628,0.0864732064055313
25,0,"MMC","medSBP",0,0,0
25,0,"OC","direct",0,0,0
25,0,"OC","medSBP",0,0,0
25,0,"OC","medBMI",0,0,0
25,0,"OSTK","direct",2.00590815383758,1.45193793176164,1.35425990413538
25,0,"OSTK","medBMI",0.393453767888838,0.37544286702792,0.275408732124991
25,0,"OSTK","medSBP",0,0,0
25,0,"OTH","medBMI",3.29762217149842,2.38521594278926,2.84782282835135
25,0,"OTH","medSBP",0,0,0
