"age","pathway","disease_type2","V1","V2","V3"
25,"direct","Cancer",1268.35986425972,1306.79302743371,1324.10459020437
25,"medSBP","Cancer",0,0,0
25,"medBMI","Cancer",536.400701924318,618.685351382025,474.003508002145
25,"direct","DIAB",0,0,0
25,"medSBP","DIAB",0,0,0
25,"medBMI","DIAB",13.984181025892,19.6309598622174,16.1669645246444
25,"direct","HHD",0,0,0
25,"medSBP","HHD",0,0,0
25,"medBMI","HHD",9.69103311368419,7.26203669051317,5.5261506804405
25,"direct","HSTK",8.48174969306745,9.3078903140299,11.4513236933558
25,"medSBP","HSTK",0,0,0
25,"medBMI","HSTK",2.72251021186968,2.29302207313597,2.34582814991719
25,"direct","IHD",11.4308326036605,12.3616912509227,11.4151616528004
25,"medSBP","IHD",0,0,0
25,"medBMI","IHD",12.3901938828235,7.82447338594417,7.68619400826282
25,"direct","ISTK",5.86628909879723,3.79772226179955,6.27647064980347
25,"medSBP","ISTK",0,0,0
25,"medBMI","ISTK",1.74113097533961,1.64964859100041,1.61780605301058
25,"direct","OSTK",4.14789376799545,2.98202880760668,2.94926855140091
25,"medSBP","OSTK",0,0,0
25,"medBMI","OSTK",0.790160686597619,0.791329605979259,0.679996475276023
25,"direct","Other_CVD",0,0,0
25,"medSBP","Other_CVD",0,0,0
25,"medBMI","Other_CVD",122.124098507458,107.609573983082,101.401763933642
35,"direct","Cancer",2579.05945403888,2488.78879624525,2786.73375799787
35,"medBMI","Cancer",979.231056391671,1097.91196416903,1005.46149548563
35,"medSBP","Cancer",0,0,0
35,"direct","DIAB",0,0,0
35,"medBMI","DIAB",51.594374343593,51.1045891191108,38.0711118788065
35,"medSBP","DIAB",0,0,0
35,"direct","HHD",0,0,0
35,"medBMI","HHD",30.5571643946066,24.9188372988013,7.92797657452198
35,"medSBP","HHD",0,0,0
35,"direct","HSTK",30.3511590868665,35.6447903126811,28.2355797905864
35,"medBMI","HSTK",8.64727025978734,9.76691142263112,8.11825069486505
35,"medSBP","HSTK",0,0,0
35,"direct","IHD",47.1496550057529,61.6238777094534,45.1054634957642
35,"medBMI","IHD",29.6105876404997,38.4300871264435,32.0189272748557
35,"medSBP","IHD",0,0,0
35,"direct","ISTK",14.9694713721581,10.3896526433438,10.4060556445475
35,"medBMI","ISTK",3.31357032245164,2.89344734788714,3.35791611099713
35,"medSBP","ISTK",0,0,0
35,"direct","OSTK",11.1153605552979,13.578449062499,14.1683661535579
35,"medBMI","OSTK",3.39808133383553,3.55225877906657,2.68275688258382
35,"medSBP","OSTK",0,0,0
35,"direct","Other_CVD",0,0,0
35,"medBMI","Other_CVD",161.171007790243,170.958925684174,134.6940372988
35,"medSBP","Other_CVD",0,0,0
45,"direct","Cancer",9180.54847710137,8503.34960671578,7342.34535488048
45,"medBMI","Cancer",4132.20978429113,4111.66118216291,3894.1753474574
45,"medSBP","Cancer",0,0,0
45,"direct","DIAB",0,0,0
45,"medBMI","DIAB",116.740252573069,132.861437665571,110.117749679286
45,"medSBP","DIAB",0,0,0
45,"direct","HHD",0,0,0
45,"medBMI","HHD",68.1222411573744,29.9756032392845,37.0967290513763
45,"medSBP","HHD",0,0,0
45,"direct","HSTK",80.6915598270133,76.0885747789236,81.6392184015615
45,"medBMI","HSTK",17.3464910426932,17.5238317842519,18.2298462215238
45,"medSBP","HSTK",0,0,0
45,"direct","IHD",172.028921010456,189.433728702267,153.781511583214
45,"medBMI","IHD",130.714743161219,136.869119535991,119.907651646772
45,"medSBP","IHD",0,0,0
45,"direct","ISTK",33.9427645681577,39.2698535655741,30.028140980056
45,"medBMI","ISTK",9.37167545479226,8.35714186824345,9.16825482047354
45,"medSBP","ISTK",0,0,0
45,"direct","OSTK",42.5649487531398,64.3800621868183,43.2136708667404
45,"medBMI","OSTK",14.661445855385,10.3406658503783,9.60038169146998
45,"medSBP","OSTK",0,0,0
45,"direct","Other_CVD",0,0,0
