"age","race","pathway","V1","V2","V3"
25,1,"direct",2426.87220890562,2031.00649220801,2233.11157336405
25,1,"medSBP",0,0,0
25,1,"medBMI",2007.5588562363,2017.84811368176,1546.0128614332
25,2,"medSBP",0,0,0
25,2,"medBMI",634.236212851,487.04403083699,456.20052691138
25,2,"direct",584.683121867385,587.97212026691,613.609201190619
25,3,"medBMI",316.738152369787,453.511775539424,430.009118430353
25,3,"medSBP",0,0,0
25,3,"direct",481.881517716153,577.640051534815,592.629446845383
25,4,"direct",299.444311064249,413.78242843898,574.095304059998
25,4,"medSBP",0,0,0
25,4,"medBMI",201.611635630951,370.32755853326,407.276266304762
35,1,"direct",4291.85457563342,4913.59412286004,4685.59212325623
35,1,"medBMI",3617.97737770188,4122.38956898386,3421.5274982158
35,1,"medSBP",0,0,0
35,2,"medSBP",0,0,0
35,2,"direct",1914.25915506416,1647.83174879824,1694.86649512389
35,2,"medBMI",1706.48853621034,1518.1081271419,1248.11311561593
35,3,"medBMI",448.224227863284,176.716549565014,256.373332020203
35,3,"medSBP",0,0,0
35,3,"direct",853.757764441324,752.15713116626,855.810321993699
35,4,"medBMI",375.06677444798,732.051401273895,566.646201057939
35,4,"direct",758.978878677224,825.836410441371,771.205035103729
35,4,"medSBP",0,0,0
45,1,"direct",15882.5412515762,17723.4651408188,14818.8316090961
45,1,"medBMI",14503.7137257081,14390.8878020266,13389.7368071794
45,1,"medSBP",0,0,0
45,2,"direct",4666.60660709019,4439.86825715338,3889.05874506244
45,2,"medSBP",0,0,0
45,2,"medBMI",3564.67430165141,3304.76216554012,2779.62283847893
45,3,"medSBP",0,0,0
45,3,"direct",2047.22007023799,1686.17836284535,2054.99878837184
45,3,"medBMI",1070.13757447702,535.336522814094,1176.48049243517
45,4,"medBMI",1464.58219925355,1973.43978211173,1824.77267040341
45,4,"medSBP",0,0,0
45,4,"direct",2415.38725949336,2772.14352703862,2607.63064916866
55,1,"medBMI",34890.7251450834,28311.6942986253,31714.1896452691
55,1,"medSBP",0,0,0
55,1,"direct",43386.1886446545,38356.2315141745,43967.7034845253
55,2,"direct",9334.13382466008,11133.2570666141,11982.3978141813
55,2,"medBMI",6984.25655151163,6399.31939870215,7159.12750781351
55,2,"medSBP",0,0,0
55,3,"medSBP",0,0,0
55,3,"direct",4673.31966420175,4310.43718888176,5464.62003439802
55,3,"medBMI",2899.16660968948,2172.48775392211,3170.92671927461
55,4,"medSBP",0,0,0
55,4,"medBMI",2119.61972099645,1472.31262865262,2101.9496359273
55,4,"direct",4167.17448298416,3800.54585634382,4589.78706145514
65,1,"medSBP",0,0,0
65,1,"direct",61250.1543625965,58229.6182760624,53503.3977814231
65,1,"medBMI",48206.5786738158,43482.8936654278,44120.7220933347
65,2,"medBMI",5529.22403181839,5177.03002208688,4890.41772005365
65,2,"medSBP",0,0,0
65,2,"direct",7744.1928028482,8856.52091327279,9652.52981978981
65,3,"direct",2762.30663465164,3244.57579990403,3326.92614816938
65,3,"medBMI",904.793865362437,787.616099643775,728.080648937673
65,3,"medSBP",0,0,0
65,4,"direct",2624.36092439164,2661.11516935004,2787.07012383018
65,4,"medSBP",0,0,0
65,4,"medBMI",1379.23800657052,1218.50445097096,1459.39463313642
75,1,"direct",80601.8570744259,72083.5862972564,67863.4758784401
75,1,"medBMI",65060.5989263403,63870.1721495789,55641.1161505569
75,1,"medSBP",0,0,0
75,2,"medSBP",0,0,0
75,2,"medBMI",1000.93284412805,2948.75018837343,6921.62639936706
75,2,"direct",8789.1454131988,7685.06483074558,10550.1026393576
75,3,"medBMI",1016.14464486098,2595.81958902758,874.294740110273
75,3,"medSBP",0,0,0
75,3,"direct",3464.53998936453,4701.95721027777,3760.70839117143
75,4,"direct",3094.85550723156,3849.24827159003,3595.94471195686
75,4,"medBMI",971.967258287172,2118.64753091684,1944.83067267237
75,4,"medSBP",0,0,0
