"female","disease_type3","V1","V2","V3"
0,"All_HD",5363.98341268142,5035.96898459573,4704.85798966679
0,"All_STK",3915.80664007957,3821.38794877395,3661.77250328376
0,"Cancer",52681.0547722937,49656.1092027221,52900.2337481301
0,"DIAB",502.885407804847,579.443212815383,420.485756052739
0,"Other_CVD",1829.69163701958,1863.95874368971,1609.13527801931
1,"All_HD",3592.21883846698,3037.13442596956,2958.4864457211
1,"All_STK",5345.63317185303,6029.53102526547,5492.84999817347
1,"Cancer",79735.7881034667,74892.8772179518,77868.9375586527
1,"DIAB",353.185058934195,349.105118451194,431.442869107427
1,"Other_CVD",1735.84661671061,1806.63027369087,1761.56714106567
