"female","outcome","pathway","V1","V2","V3"
0,"AA","direct",0,0,0
0,"AA","medSBP",0,0,0
0,"AA","medBMI",29.8277381853204,32.1379928372407,26.1823418891407
0,"AFF","medSBP",0,0,0
0,"AFF","direct",0,0,0
0,"AFF","medBMI",53.0901231101909,52.8338410243934,55.540704659205
0,"APCA","direct",0,0,0
0,"APCA","medBMI",26.5566534204634,29.5086259174983,33.6238183776788
0,"APCA","medSBP",0,0,0
0,"BC","direct",0,0,0
0,"BC","medSBP",0,0,0
0,"BC","medBMI",0,0,0
0,"CC","medBMI",58.0625911530729,58.1565041841687,40.4701444685348
0,"CC","direct",5878.20390809993,5225.29696767652,6015.52753435566
0,"CC","medSBP",0,0,0
0,"CM","medBMI",69.4672827437638,62.5800468403149,52.5497512061415
0,"CM","medSBP",0,0,0
0,"CM","direct",0,0,0
0,"DIAB","direct",0,0,0
0,"DIAB","medBMI",502.885407804847,579.443212815383,420.485756052739
0,"DIAB","medSBP",0,0,0
0,"ECA","medSBP",0,0,0
0,"ECA","medBMI",60.4139616982208,74.8717104091683,52.0346145611943
0,"ECA","direct",0,0,0
0,"ENDO","medSBP",0,0,0
0,"ENDO","medBMI",6.46573234054563,6.92581571946479,5.31802586899374
0,"ENDO","direct",0,0,0
0,"GC","medBMI",4.23110364185945,3.06807022105675,4.38393324287196
0,"GC","direct",0,0,0
0,"GC","medSBP",0,0,0
0,"HHD","direct",0,0,0
0,"HHD","medBMI",300.295302869295,248.034098306359,237.341164836903
0,"HHD","medSBP",0,0,0
0,"HSTK","direct",262.919957426095,233.895642272885,234.429470035709
0,"HSTK","medBMI",82.7230714320557,79.8922821108881,60.6473548887097
0,"HSTK","medSBP",0,0,0
0,"IHD","medSBP",0,0,0
0,"IHD","medBMI",1214.8877344868,1089.25417594219,916.907296845022
0,"IHD","direct",1157.77683217955,1248.12976579894,1193.94512011292
0,"ISTK","direct",296.812308698423,235.856600817274,241.119202804824
0,"ISTK","medSBP",0,0,0
0,"ISTK","medBMI",83.2207201778959,59.1866336213734,79.7691401727309
0,"KC","medSBP",0,0,0
0,"KC","medBMI",188.211315948912,199.859498997288,201.585260019935
0,"KC","direct",0,0,0
0,"LC","medSBP",0,0,0
0,"LC","direct",0,0,0
0,"LC","medBMI",0,0,0
0,"LVC","direct",0,0,0
0,"LVC","medSBP",0,0,0
0,"LVC","medBMI",107.950003713748,98.7367863806731,92.7864715178248
0,"MLPC","medBMI",0,0,0
0,"MLPC","direct",514.342712799455,635.398950469186,491.778149988173
0,"MLPC","medSBP",0,0,0
0,"MMC","direct",0,0,0
0,"MMC","medBMI",21.4853211947276,19.8840380010702,16.088779740323
0,"MMC","medSBP",0,0,0
0,"OC","direct",0,0,0
0,"OC","medSBP",0,0,0
0,"OC","medBMI",0,0,0
0,"OSTK","direct",470.396473123264,622.461108227942,551.350860063571
0,"OSTK","medBMI",122.954599237043,129.862459637838,113.263825418081
0,"OSTK","medSBP",0,0,0
0,"OTH","medBMI",76.2488932281194,78.3576778979521,72.1069038523663
0,"OTH","medSBP",0,0,0
0,"OTH","direct",0,0,0
0,"PC","medSBP",0,0,0
0,"PC","medBMI",50.356046426024,54.0850408137862,43.2899301985453
0,"PC","direct",0,0,0
0,"PVD","medBMI",17.6483616848517,16.3401043983185,14.1366533561846
0,"PVD","direct",0,0,0
0,"PVD","medSBP",0,0,0
0,"RHD","medSBP",0,0,0
0,"RHD","direct",0,0,0
0,"RHD","medBMI",6.75029331216272,7.5783237848764,5.90532435010071
0,"SCC","direct",0,0,0
0,"SCC","medSBP",0,0,0
0,"SCC","medBMI",28.9242611406731,20.0850347790502,28.4830884078008
0,"SCNC","medBMI",0,0,0
0,"SCNC","medSBP",0,0,0
0,"SCNC","direct",0,0,0
0,"TC","direct",0,0,0
0,"TC","medBMI",12.0816572542442,13.1347315767085,12.2645272861706
0,"TC","medSBP",0,0,0
0,"UC","medSBP",0,0,0
0,"UC","direct",0,0,0
0,"UC","medBMI",0,0,0
1,"AA","direct",0,0,0
1,"AA","medBMI",19.068753932171,17.4913498586284,20.3824633431286
1,"AA","medSBP",0,0,0
1,"AFF","direct",0,0,0
1,"AFF","medBMI",75.147916120052,60.3837204241235,56.7330108976123
1,"AFF","medSBP",0,0,0
1,"APCA","medSBP",0,0,0
1,"APCA","medBMI",0,0,0
1,"APCA","direct",0,0,0
1,"BC","direct",0,0,0
1,"BC","medBMI",500.422741362199,410.108416267485,449.039966189216
1,"BC","medSBP",0,0,0
1,"CC","medSBP",0,0,0
1,"CC","medBMI",60.4944333939548,54.5204218136628,42.8910286826434
1,"CC","direct",5467.37125920071,5272.66346867435,4997.66544027693
1,"CM","medSBP",0,0,0
1,"CM","medBMI",30.8551729330257,42.031188468239,33.9316994341984
1,"CM","direct",0,0,0
1,"DIAB","medBMI",353.185058934195,349.105118451194,431.442869107427
1,"DIAB","medSBP",0,0,0
1,"DIAB","direct",0,0,0
1,"ECA","medSBP",0,0,0
1,"ECA","direct",0,0,0
1,"ECA","medBMI",10.8834597963317,8.49870310100984,10.4486938735081
1,"ENDO","medSBP",0,0,0
