"female","race","pathway","V1","V2","V3"
0,1,"direct",91254.4398800849,85548.629602907,85036.5606824246
0,1,"medSBP",0,0,0
0,1,"medBMI",77886.3410553117,77665.8769630518,68597.2425381766
0,2,"medSBP",0,0,0
0,2,"medBMI",10872.6042531051,9048.66018735661,9338.27628128139
0,2,"direct",15544.1390864451,15750.3724558922,17016.1690246153
0,3,"medBMI",2005.57570373979,704.815864620516,1756.59183482796
0,3,"medSBP",0,0,0
0,3,"direct",6117.27820575066,5391.35838809529,5931.08690304046
0,4,"direct",5368.94988387512,5856.29765657905,6075.13599611129
0,4,"medSBP",0,0,0
0,4,"medBMI",2021.76253656057,2624.51815997321,2219.56950427123
1,1,"direct",116585.028237707,107788.872240473,102035.55176768
1,1,"medBMI",90400.811649574,78530.0086352724,81236.0625178125
1,1,"medSBP",0,0,0
1,2,"medSBP",0,0,0
1,2,"direct",17488.8818382837,18600.1424809587,21366.3956900903
1,2,"medBMI",8547.20822506573,10786.3537453249,14116.8318269591
1,3,"medSBP",0,0,0
1,3,"medBMI",4649.6293708832,6016.67242589148,4879.57321638032
1,3,"direct",8165.74743486274,9881.5873565147,10124.6062279093
1,4,"direct",7991.25147996708,8466.3740066238,8850.59688946328
1,4,"medBMI",4490.32305862605,5260.76519248608,6085.30057523097
1,4,"medSBP",0,0,0
