"outcome","pathway","V1","V2","V3"
"AA","direct",0,0,0
"AA","medSBP",0,0,0
"AA","medBMI",48.8964921174914,49.6293426958691,46.5648052322693
"AFF","medSBP",0,0,0
"AFF","direct",0,0,0
"AFF","medBMI",128.238039230243,113.217561448517,112.273715556817
"APCA","direct",0,0,0
"APCA","medBMI",26.5566534204634,29.5086259174983,33.6238183776788
"APCA","medSBP",0,0,0
"BC","direct",0,0,0
"BC","medSBP",0,0,0
"BC","medBMI",500.422741362199,410.108416267485,449.039966189216
"CC","medBMI",118.557024547028,112.676925997832,83.3611731511782
"CC","direct",11345.5751673006,10497.9604363509,11013.1929746326
"CC","medSBP",0,0,0
"CM","medBMI",100.322455676789,104.611235308554,86.4814506403399
"CM","medSBP",0,0,0
"CM","direct",0,0,0
"DIAB","direct",0,0,0
"DIAB","medBMI",856.070466739042,928.548331266577,851.928625160166
"DIAB","medSBP",0,0,0
"ECA","medSBP",0,0,0
"ECA","medBMI",71.2974214945524,83.3704135101782,62.4833084347024
"ECA","direct",0,0,0
"ENDO","medSBP",0,0,0
"ENDO","medBMI",11.2562583571522,10.7825729599768,9.57155486890409
"ENDO","direct",0,0,0
"GC","medBMI",13.4882489232286,12.7650696287585,13.8922350474294
"GC","direct",0,0,0
"GC","medSBP",0,0,0
"HHD","direct",0,0,0
"HHD","medBMI",574.519252970283,480.336401644002,414.217923317871
"HHD","medSBP",0,0,0
"HSTK","direct",662.817232618874,638.784201932525,654.451487482632
"HSTK","medBMI",156.783824302444,176.84102757789,156.404268389726
"HSTK","medSBP",0,0,0
"IHD","medSBP",0,0,0
"IHD","medBMI",1794.64097986378,1775.61186576001,1796.74626023547
"IHD","direct",1995.80877778839,1763.74334420196,1851.44551368836
"ISTK","direct",591.492095653866,736.208916220252,628.346392960228
"ISTK","medSBP",0,0,0
"ISTK","medBMI",218.552855139547,148.557103900156,166.421893585782
"KC","medSBP",0,0,0
"KC","medBMI",293.501900787862,298.921774501142,290.057001179256
"KC","direct",0,0,0
"LC","medSBP",0,0,0
"LC","direct",0,0,0
"LC","medBMI",0,0,0
"LVC","direct",0,0,0
"LVC","medSBP",0,0,0
"LVC","medBMI",151.296821667037,129.259815096298,139.753357111457
"MLPC","medBMI",0,0,0
"MLPC","direct",793.560812054617,839.560519453121,779.946542547473
"MLPC","medSBP",0,0,0
"MMC","direct",0,0,0
"MMC","medBMI",38.4479899465901,35.233368160564,32.9106982643854
"MMC","medSBP",0,0,0
"OC","direct",0,0,0
"OC","medSBP",0,0,0
"OC","medBMI",19.063566577656,19.020042198902,17.7864410482289
"OSTK","direct",1165.05068098284,1331.93263739552,1128.89944457965
"OSTK","medBMI",286.216868285247,294.001002645202,290.525360740571
"OSTK","medSBP",0,0,0
"OTH","medBMI",163.520277229494,231.576214922513,169.339907040856
"OTH","medSBP",0,0,0
"OTH","direct",0,0,0
"PC","medSBP",0,0,0
"PC","medBMI",85.7250931671417,99.810173680809,82.863143768362
"PC","direct",0,0,0
"PVD","medBMI",34.2082113728856,33.9130153101789,34.4608040448485
"PVD","direct",0,0,0
"PVD","medSBP",0,0,0
"RHD","medSBP",0,0,0
"RHD","direct",0,0,0
"RHD","medBMI",16.5003459937686,16.7245212354957,15.3291728292699
"SCC","direct",0,0,0
"SCC","medSBP",0,0,0
"SCC","medBMI",35.2197154251948,27.2606325401446,35.4478791952149
"SCNC","medBMI",0,0,0
"SCNC","medSBP",0,0,0
"SCNC","direct",0,0,0
"TC","direct",0,0,0
"TC","medBMI",49.5010454114137,46.3160893546438,59.1626588531692
"TC","medSBP",0,0,0
"UC","medSBP",0,0,0
"UC","direct",0,0,0
"UC","medBMI",501.624072248847,423.37744285078,497.302053419971
