"age","pathway","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"direct","All_HD",18.7012795531806,0.874875430027251,18.5086607884455,17.9672586974186,19.5990263589673,0.0117883692086338,0.000486673933816082,0.0120423859992838,0.0112680003200262,0.0120928238251889,1.20423859992838,1.12680003200262,1.20928238251889,0.0277586492009627,0.0012985935046641,0.0274727416669569,0.0266691287013976,0.0290911911044327
25,"direct","All_STK",53.7805674115349,5.62594398253455,54.9770833333868,48.0188395149776,58.5252567745181,0.107432503169809,0.0120324535555228,0.106694189521653,0.0963316062195686,0.119160966720983,10.6694189521653,9.63316062195686,11.9160966720983,0.0798274738560136,0.00835069092418778,0.0816034841896169,0.0712752363999015,0.0868701025285629
25,"direct","Cancer",1299.75249396594,28.5314817577764,1306.79302743371,1270.28152241842,1323.23901206584,0.0847271809960651,0.00301305552056711,0.0831720657614813,0.0828275569409622,0.0879486530005643,8.31720657614813,8.28275569409623,8.79486530005643,1.92924625427252,0.0423497970310318,1.93969664608469,1.88550195546811,1.96410772003658
25,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","All_HD",35.8522016120439,9.68052646883658,33.1067407984033,28.1042239559126,45.9338209597697,0.022549232532927,0.00582883041745807,0.0202826492897088,0.0182985781254724,0.0287264826971171,2.02826492897088,1.82985781254724,2.87264826971171,0.0532160745900223,0.0143689814146095,0.0491409371961279,0.041715610508843,0.0681804054560118
25,"medBMI","All_STK",14.4621896509693,0.745469274989685,14.3616489853827,13.8015708953573,15.2082679723298,0.0288583333105066,0.000747883566457725,0.0288682551967712,0.028143674015403,0.0295645590022852,2.88682551967712,2.8143674015403,2.95645590022852,0.021466490999049,0.0011065135963392,0.0213172566614458,0.0204859225710726,0.022573908613988
25,"medBMI","Cancer",543.029853769496,72.5683690845386,536.400701924318,477.123367698254,614.571118909139,0.0353177400958051,0.00381763884939664,0.0351742086075807,0.0317539070283036,0.0390035749282975,3.51742086075807,3.17539070283035,3.90035749282975,0.806029083388247,0.107714549412267,0.796189312796779,0.708202888035288,0.912219083743954
25,"medBMI","DIAB",16.5940351375846,2.84751115676845,16.1669645246444,14.0933202008297,19.4577600953387,0.0205071648153813,0.00398947987940377,0.021117736412421,0.0164911033480287,0.0240042404252502,2.1117736412421,1.64911033480287,2.40042404252502,0.0246308280084675,0.0042266125733156,0.0239969193342008,0.0209189713687338,0.0288815070213278
25,"medBMI","Other_CVD",110.378478808061,10.6350323457255,107.609573983082,101.712154436114,121.398372281239,0.0652851729084857,0.00845015605908026,0.0623521451381053,0.0588753256741577,0.0741880937476369,6.23521451381053,5.88753256741577,7.41880937476369,0.163836782603881,0.015785771839108,0.159726846837782,0.150973199798302,0.180193810810644
25,"medSBP","All_HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","All_STK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct","All_HD",72.1133729019845,11.043046141648,67.9621003086317,63.9582775253932,83.7970499829258,0.0116969207157302,0.00172505958610711,0.0111811976956312,0.010333175808046,0.0134990301904987,1.11811976956312,1.0333175808046,1.34990301904987,0.176489335124195,0.0270266081429071,0.16632956432945,0.156530660290815,0.205083815133109
35,"direct","All_STK",170.84592089868,9.44086233680666,170.807394244049,161.893531517137,179.831057936659,0.0995538243891457,0.00646967309091754,0.0993393759621169,0.0935013083742951,0.105788621566971,9.93393759621169,9.35013083742951,10.5788621566971,0.418126094712998,0.0231054442438403,0.418031805077293,0.396216132855175,0.44011620276117
35,"direct","Cancer",2618.19400276067,152.77903892938,2579.05945403888,2493.30232913493,2776.35004279992,0.0885903886083768,0.00489425801121823,0.0858859134273906,0.0856572080339783,0.0938223730866136,8.58859134273906,8.56572080339783,9.38223730866135,6.40773410226482,0.37390944170936,6.311956714433,6.10207583731703,6.79480314686965
35,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"medBMI","All_HD",116.73273732893,34.8759598248904,134.863945482848,79.4427926126368,138.611155114394,0.0189645858158023,0.00575546240872128,0.0217059496311235,0.0128186569315474,0.0227803554570341,2.17059496311235,1.28186569315474,2.27803554570341,0.285690189896017,0.0853549725052962,0.330064273971001,0.194427262023515,0.339235146304783
