"outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA","medBMI",48.3635466818766,1.6002720376419,48.8964921174914,46.6813895765304,49.5927001669502,0.00488348435913412,0.000205771549463389,0.00496083846949816,0.00466577541405171,0.00503544231040709,0.496083846949816,0.466577541405171,0.503544231040709,0.0197500533416014,0.000653497525985709,0.019967690415466,0.0190631166953279,0.0202519984750901
"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFF","medBMI",117.909772078526,8.95698264119952,113.217561448517,112.320907851402,127.487015341157,0.00454003974957466,0.000346473560425978,0.00436626151357349,0.00431741821345489,0.00491037278629543,0.436626151357349,0.431741821345489,0.491037278629543,0.048150403512892,0.00365773184723401,0.0462342617782448,0.0458680984675092,0.052061429032725
"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APCA","medBMI",29.8963659052135,3.54950163497335,29.5086259174983,26.7042520453151,33.4180587546698,0.000610632098116871,7.68067974938925e-05,0.000594996622470423,0.000545453574735916,0.000689100775797307,0.0594996622470423,0.0545453574735916,0.0689100775797307,0.0122086749599211,0.0014494976368864,0.0120503349297653,0.0109051225256848,0.0136468164197897
"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
