"race","pathway","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"direct","All_HD",1776.51124444525,156.274282942916,1704.07551717231,1671.32208669352,1943.27077037898,0.00551308089269916,0.000483706674757273,0.00527548231602837,0.005198189897078,0.0060299306784905,0.527548231602837,0.5198189897078,0.60299306784905,1.16425442918854,0.102415915831351,1.11678295014628,1.09531766157844,1.27354195398456
1,"direct","All_STK",6075.04463830914,515.485232239101,6139.09543875875,5560.95555931353,6534.69053692259,0.0548545467909286,0.00484765647645266,0.0555608090219393,0.04998591559075,0.059122855094748,5.55608090219393,4.998591559075,5.9122855094748,3.98134132265409,0.337828407611947,4.02331765595887,3.64442789804754,4.28257486395158
1,"direct","Cancer",64168.1305066742,2778.65038948468,63731.2261153125,61738.6848865232,66968.9448594825,0.0867220591158337,0.00356591752414997,0.0862560926811201,0.083554234762003,0.0902859549391711,8.62560926811201,8.3554234762003,9.02859549391711,42.053226732304,1.82101635057999,41.7668970654555,40.4610652232917,43.8887684581377
1,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medBMI","All_HD",5214.41809901985,683.949277288976,5207.78499459068,4567.50827274508,5866.96606405941,0.0161805463392444,0.00210559949684292,0.0161222770750383,0.0142055657948982,0.0182050557581658,1.61222770750383,1.42055657948982,1.82050557581658,3.41732110416251,0.448233006075145,3.41297403276902,2.99336227312163,3.84497494588784
1,"medBMI","All_STK",1586.98925471408,124.137961952991,1550.41747395764,1488.50411240582,1716.56041066531,0.0143289793921629,0.00116442204328907,0.0140272465767719,0.0133792288257599,0.0155352028516481,1.40272465767719,1.33792288257599,1.55352028516481,1.04004929586159,0.0813550561450793,1.01608161321274,0.975506071888101,1.12496505008661
1,"medBMI","Cancer",31524.2629816302,1655.606773761,31126.3437526288,30155.0006764234,33231.7566314882,0.0426038120179199,0.00214104669525288,0.0421274931490151,0.040810360795592,0.0448021342788168,4.21274931490151,4.0810360795592,4.48021342788168,20.6597413430548,1.0850184739178,20.3989609926502,19.762381583277,21.7787644006765
1,"medBMI","DIAB",667.859029865326,42.3372444069345,647.635748345024,639.836305108832,713.071543914078,0.0137761577058299,0.000866140109151444,0.0133783305539752,0.013190298673219,0.0147001698175173,1.33783305539752,1.3190298673219,1.47001698175173,0.437688101342176,0.0277461369718509,0.424434571337027,0.419323128129824,0.467318575058905
1,"medBMI","Other_CVD",2954.95861917205,164.889517068943,3019.20971548995,2780.1954985748,3075.10830789909,0.0332691893200191,0.00188563050473617,0.0340188909402249,0.0312687540529503,0.0346323782099129,3.40188909402249,3.12687540529503,3.46323782099129,1.93656171397565,0.108061995765314,1.97866931318294,1.82202895329071,2.01530301533441
1,"medSBP","All_HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","All_STK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"direct","All_HD",279.039935814216,71.6966670284631,250.297271977183,227.380471984264,355.130663905647,0.00551041636786081,0.00137979404895033,0.00498863989371364,0.00449365275840631,0.00697068998034041,0.498863989371364,0.449365275840631,0.697068998034041,0.993644278165966,0.255307480445504,0.891293396463029,0.809688062372075,1.26459874340735
2,"direct","All_STK",972.014323348358,251.120471441584,884.068320441901,782.06406322951,1236.7186859377,0.049760956245731,0.0122368119305826,0.0450187955886151,0.0408256515280041,0.0627270975220065,4.50187955886151,4.08256515280041,6.27270975220065,3.46128401969498,0.894224759800699,3.14811364026316,2.78488267035947,4.40388019154754
2,"direct","Cancer",12445.7981982467,956.508968564389,12364.6863707717,11574.0409019065,13386.5005479406,0.112670316716038,0.00806164269296551,0.11224493629971,0.105200543262475,0.120501663523479,11.224493629971,10.5200543262475,12.0501663523479,44.3187321227375,3.40607039223671,44.0298978272917,41.2144572922181,47.6685161043859
2,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"medBMI","All_HD",620.862051951949,135.766802465686,557.642866479091,529.703933924722,765.756477631104,0.0122618458000234,0.00259898102772154,0.0111143019186243,0.0104681551525779,0.0150309487466583,1.11143019186243,1.04681551525779,1.50309487466583,2.21085209058812,0.483457344703291,1.98573240751436,1.88624356413534,2.72681234765359
2,"medBMI","All_STK",240.747085692858,47.6511644142227,221.504232397295,206.515294561011,291.335302125933,0.0123318696488007,0.00229185494871437,0.0112795058138974,0.0107814125427086,0.0147768360145606,1.12795058138974,1.07814125427086,1.47768360145606,0.85728576264836,0.16968290481425,0.788763129796789,0.73538843175097,1.03742733146959
2,"medBMI","Cancer",3754.42319623067,499.654629560163,3509.18525394447,3428.99244393707,4288.30619946753,0.0339808094688975,0.00432328548167355,0.03185590507366,0.0311674162082866,0.0386003714654601,3.185590507366,3.11674162082866,3.86003714654601,13.3692731682392,1.7792398148061,12.4959957377852,12.2104340077719,15.2703981445923
2,"medBMI","DIAB",153.209753210416,6.37036155034707,153.720252195913,146.95553931995,159.03004296321,0.0115078680703854,0.000587202954586624,0.0113888365696038,0.0110092768018591,0.012107636114576,1.13888365696038,1.10092768018591,1.2107636114576,0.54557063379669,0.0226844709015603,0.547388489704907,0.523299757663658,0.566296332407738
2,"medBMI","Other_CVD",430.672946109596,23.3432393339111,419.029142274478,415.621339363256,455.621786115785,0.0349772651685641,0.00174077247842976,0.0342941786203582,0.0337122631918373,0.036822890711266,3.42941786203582,3.37122631918373,3.6822890711266,1.53360022612533,0.0831238587061695,1.49213734726144,1.4800023678938,1.62244153139116
2,"medSBP","All_HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"medSBP","All_STK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"medSBP","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"medSBP","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"direct","All_HD",43.2109278440043,6.17903645090899,40.1958753823529,39.1721058430126,49.8125444373997,0.00152085534161589,0.00020479354601299,0.0014288677498244,0.00138071925853513,0.00173918087771941,0.14288677498244,0.138071925853513,0.173918087771941,0.111881001985889,0.0159986564493766,0.104074479254709,0.101423752515456,0.128973795777824
3,"direct","All_STK",229.038867330281,54.6375049246414,207.964656467707,189.071189349335,286.919624544415,0.0204804642897623,0.00474655168496135,0.0183255726878748,0.0172502114806773,0.0255423749604517,1.83255726878748,1.72502114806773,2.55423749604517,0.593023553281105,0.141466501692488,0.538458563705352,0.489539918870369,0.74288742883123
3,"direct","Cancer",7117.80252081869,381.597410437443,7057.90643692223,6784.10567303395,7502.41103991541,0.0811963930210916,0.00460535179074067,0.0804789601491849,0.077166216353897,0.0858363876294068,8.04789601491849,7.7166216353897,8.58363876294068,18.4292936463149,0.988025547358975,18.2742117210769,17.5652914239032,19.4251155051788
3,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"medBMI","All_HD",152.030742354795,47.5986728437761,135.321002827883,116.054075576871,202.210687730594,0.00535287944273494,0.00167148309126303,0.00472106534616379,0.00412098259155669,0.00712181827599867,0.472106534616379,0.412098259155669,0.712181827599867,0.393635421315607,0.12324167697082,0.35037084694814,0.300485245467553,0.523560485376008
3,"medBMI","All_STK",51.6303830280612,7.51060536144724,50.7789994825221,44.8916111261562,59.0928309436745,0.00461724641431632,0.00062533126546923,0.00447457881468919,0.004095526534335,0.0052602337539807,0.447457881468919,0.4095526534335,0.52602337539807,0.133680512645974,0.0194463321036023,0.131476124800078,0.11623259865391,0.15300215630705
3,"medBMI","Cancer",1371.37742062234,74.832516265695,1368.99410969469,1301.32648365733,1443.45417187586,0.0156433251164936,0.000884515326510807,0.0155695940683215,0.0148365636389514,0.016512757984982,1.55695940683215,1.48365636389514,1.6512757984982,3.55074717381567,0.19375508276879,3.54457634555686,3.36937247512858,3.73736707652276
3,"medBMI","DIAB",33.5638632232187,4.19346498198076,33.1658569482447,29.7627043805734,37.7033273995918,0.00451504102411765,0.000573009645661128,0.00438401548031952,0.00403714791094247,0.00510430584952125,0.438401548031952,0.403714791094247,0.510430584952125,0.0869029857791417,0.0108576484557446,0.0858724746778407,0.0770610897301153,0.097620816264274
