"race","pathway","disease_type","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"direct","CMD",35626.9155464988,2952.70269082929,36676.9127993501,32511.9304564174,37849.4029716567,0.0624686627793065,0.00515370497670686,0.0643578576147023,0.0570229967818212,0.0663085131667053,6.43578576147023,5.70229967818212,6.63085131667053,23.3484557742216,1.93508326875151,24.0365819856882,21.3070191104666,24.80498515823
1,"direct","Cancer",64168.1305066742,2778.65038948468,63731.2261153125,61738.6848865232,66968.9448594825,0.0867220591158337,0.00356591752414997,0.0862560926811201,0.083554234762003,0.0902859549391711,8.62560926811201,8.3554234762003,9.02859549391711,42.053226732304,1.82101635057999,41.7668970654555,40.4610652232917,43.8887684581377
1,"medBMI","CMD",43057.9305196508,2994.48805346809,43831.7073198849,39956.4566720954,45501.6940870073,0.075500048511824,0.00525707486229006,0.0767826408331451,0.0700734760886614,0.0798364174618637,7.67826408331451,7.00734760886614,7.98364174618636,28.2184458308059,1.96246772448157,28.7255482033311,26.1858638951051,29.8199907498604
1,"medBMI","Cancer",31524.2629816302,1655.606773761,31126.3437526288,30155.0006764234,33231.7566314882,0.0426038120179199,0.00214104669525288,0.0421274931490151,0.040810360795592,0.0448021342788168,4.21274931490151,4.0810360795592,4.48021342788168,20.6597413430548,1.0850184739178,20.3989609926502,19.762381583277,21.7787644006765
1,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"direct","CMD",5832.24878726252,1028.15063284049,5307.91715774542,5178.7689352777,6931.41052433686,0.0609017262541171,0.0104409650568659,0.0553266530806802,0.0544764373459919,0.0720658273596635,5.53266530806802,5.44764373459919,7.20658273596635,20.7682840070685,3.66118201121884,18.9011708929156,18.4412819099429,24.6823322512239
2,"direct","Cancer",12445.7981982467,956.508968564389,12364.6863707717,11574.0409019065,13386.5005479406,0.112670316716038,0.00806164269296551,0.11224493629971,0.105200543262475,0.120501663523479,11.224493629971,10.5200543262475,12.0501663523479,44.3187321227375,3.40607039223671,44.0298978272917,41.2144572922181,47.6685161043859
2,"medBMI","CMD",6382.20416826836,805.77042469975,5929.94318299909,5905.44981672353,7243.38035729206,0.0666569373121317,0.00812059037455403,0.0624088539543806,0.0615849154106552,0.0753398300676968,6.24088539543806,6.15849154106552,7.53398300676968,22.7266417453202,2.86929958495739,21.1161678217965,21.0289484308455,25.79323789479
2,"medBMI","Cancer",3754.42319623067,499.654629560163,3509.18525394447,3428.99244393707,4288.30619946753,0.0339808094688975,0.00432328548167355,0.03185590507366,0.0311674162082866,0.0386003714654601,3.185590507366,3.11674162082866,3.86003714654601,13.3692731682392,1.7792398148061,12.4959957377852,12.2104340077719,15.2703981445923
