"age","race","pathway","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","CMD","leg_tot",15.4019042427816,0.562789818729425,15.6587097142323,14.8016288298743,15.7838950049558,0.00657788136053006,0.000291838846104264,0.00673840697483245,0.00626588797915323,0.00675342796974986,0.673840697483245,0.626588797915323,0.675342796974986,0.0410849498981142,0.00150125537343889,0.0417699846679582,0.0394837008008849,0.042103919440976
25,1,"direct","Cancer","dairy_tot",112.065538636892,14.3430422250859,118.871694545708,96.7507853805345,121.595059370755,0.0124690258610521,0.00116662868857855,0.0131185657153989,0.0112220193787456,0.0131639234671639,1.31185657153989,1.12220193787456,1.31639234671639,0.298937518869442,0.0382604100061439,0.317093103406564,0.258085046323114,0.324357744559217
25,1,"direct","Cancer","leg_tot",6.18102374964604,1.91129061022382,6.76881347165124,4.18106938685211,7.68135684873554,0.000692690730214607,0.000223439857914882,0.000787601635314468,0.000454969952778022,0.000849737238316309,0.0787601635314468,0.0454969952778022,0.0849737238316309,0.0164880294715687,0.00509841365872563,0.0180559726881049,0.0111531031209901,0.0204902040880914
25,1,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","CMD","leg_tot",28.248773717784,3.19641457554624,28.4366290770344,25.136277029698,31.201593350507,0.0120574469977626,0.00129947151932343,0.0122371244636619,0.0107554687414488,0.013206699408062,1.22371244636619,1.07554687414488,1.3206699408062,0.075354283118742,0.00852651273633693,0.0758553918064236,0.0670516233649658,0.0832310004879889
25,1,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","Cancer","leg_tot",13.7470311001499,3.14531340829829,14.6326514575522,10.4727914564522,16.2684934400558,0.00152558222372856,0.000298038978475946,0.00161484532099956,0.00121419832872529,0.00176109248605149,0.161484532099956,0.121419832872529,0.176109248605149,0.0366705359996106,0.00839019914400297,0.0390329495972457,0.0279364230227176,0.0433965974185137
25,1,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"direct","CMD","leg_tot",9.88928372500335,1.12108053817049,10.0910948521322,8.75150929695944,10.8555186949878,0.0074700008682072,0.000961518809393501,0.00789501597860778,0.00644550415248485,0.00813323474008906,0.789501597860778,0.644550415248485,0.813323474008906,0.112595777102091,0.0127642140623581,0.114893524979368,0.0996414924991941,0.123596976009303
25,2,"direct","Cancer","dairy_tot",20.636490316599,1.77928118866709,21.6122868162402,18.734273538294,21.7092800702089,0.0157169191672324,0.000825419061342632,0.0161287534143837,0.0148347225775131,0.0162490566468732,1.61287534143837,1.48347225775131,1.62490566468732,0.234959551012017,0.0202582465719513,0.246069614008068,0.213301604660619,0.247173943816773
25,2,"direct","Cancer","leg_tot",1.40684376302327,0.297112616827746,1.56889977164642,1.08918729636994,1.58675262234694,0.0010773096511015,0.00025191925220688,0.00118002668386154,0.000809748521556357,0.00125756130280061,0.118002668386154,0.0809748521556357,0.125756130280061,0.0160178099004619,0.00338281587512493,0.0178629205002167,0.0124010892451624,0.0180661865459699
25,2,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","CMD","leg_tot",20.2707708987109,5.82077434416125,17.4718182475612,16.4328765875094,26.4877749633899,0.0152633872028654,0.00423823953394953,0.012818994230825,0.0128141391246731,0.019790369307292,1.2818994230825,1.28141391246731,1.9790369307292,0.230795603126256,0.0662732133935745,0.198927749235952,0.187098738477417,0.301580143581853
25,2,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","Cancer","leg_tot",2.54997714248153,0.786456556777359,2.19355749290256,2.01427137274064,3.38863961436455,0.00195998042809342,0.000680590436144165,0.00162930462634031,0.00151397939842877,0.00268705588924823,0.162930462634031,0.151397939842877,0.268705588924823,0.0290331095693364,0.00895430747360336,0.0249750454531928,0.022933759088619,0.0385818145487759
25,2,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","CMD","leg_tot",2.88442630032856,0.485647785057224,3.03272799892238,2.37645847576825,3.26633768108414,0.00435162599886301,0.000844098163420046,0.00454927148640206,0.00348239324617098,0.00505286008714686,0.454927148640206,0.348239324617098,0.505286008714686,0.021467661190408,0.00361448725741164,0.022571412955191,0.0176870545747884,0.0243100788059622
25,3,"direct","Cancer","dairy_tot",40.5735394473913,2.50491949059167,39.9660316974364,38.5051372985985,43.1583231836458,0.0127398254392223,0.000842420288443587,0.0124522235851776,0.0120975359005512,0.0136265765538314,1.24522235851776,1.20975359005512,1.36265765538314,0.301973046790287,0.018643139860133,0.297451603290381,0.286578735439452,0.321210585116043
25,3,"direct","Cancer","leg_tot",0.913840810652522,0.176091225801087,0.845284131139342,0.785486119584042,1.10046867930721,0.000286886255018606,5.53607808535068e-05,0.000263365326676273,0.000247979416746707,0.000345785882381488,0.0263365326676273,0.0247979416746707,0.0345785882381488,0.00680136112433225,0.00131057838907888,0.00629112046817102,0.00584606716527226,0.00819035964112928
25,3,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","CMD","leg_tot",3.92234263482055,0.800743357169931,4.05303527289069,3.11372954261637,4.6198669846651,0.00591233332904131,0.00128572295497128,0.00627909404686951,0.00457288108698023,0.00694003896094841,0.627909404686951,0.457288108698023,0.694003896094841,0.0291924680992641,0.00595962084045477,0.030165162487001,0.0231742758869722,0.0343838700819796
25,3,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","Cancer","leg_tot",3.26700490749711,0.146247584045828,3.21995727291914,3.15356574162155,3.42043456276395,0.00102547821824941,4.00577160256907e-05,0.00101730298620375,0.000991496963921712,0.00106640841981592,0.101730298620375,0.0991496963921712,0.106640841981592,0.0243150447122048,0.00108846379047852,0.0239648874976436,0.0234707611961164,0.0254569618606701
25,3,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
