"disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"Cancer","dairy_tot",10952.242859428,427.08180766493,11013.1929746326,10523.722063265,11328.9560576672,0.0108265993500362,0.000417444028771498,0.0108927629184079,0.0104056616640925,0.011191298002864,1.08927629184079,1.04056616640925,1.1191298002864,4.47252932268788,0.174405912330883,4.49741930923879,4.29753577562906,4.62636638117841
"Cancer","leg_tot",2614.36089759324,72.8487406341112,2577.63027658772,2567.71135752964,2692.23146551153,0.00258436724470541,7.03166975000468e-05,0.00254944370436921,0.00253890384441495,0.00265951565428165,0.254944370436921,0.253890384441495,0.265951565428165,1.06761746654557,0.0297489868320872,1.05261791060107,1.04856735612506,1.0994171995189
"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","leg_tot",878.849141055261,43.0905539957591,856.070466739042,852.13571723911,924.924438040199,0.01211696625918,0.000593258336629049,0.0117934850435819,0.0117576444758259,0.0127512470757923,1.17934850435819,1.17576444758259,1.27512470757923,0.35889256694167,0.0175967396587627,0.34959051893937,0.34798369897183,0.377708175713466
"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","leg_tot",489.691192644052,80.5590662686315,480.336401644002,417.523847234177,569.810110403969,0.00959860582248618,0.00159798530464289,0.0093627227446261,0.00819322558536641,0.011204486675787,0.93627227446261,0.819322558536641,1.1204486675787,0.199973489108412,0.0328976256935948,0.196153305645322,0.170502761274035,0.232691372886417
"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSTK","leg_tot",815.36068076803,4.37864843725157,815.625229510415,811.094229554262,819.402265550771,0.0237044542039396,0.000302715895381895,0.0236894346396328,0.0234235230223436,0.0239981520151962,2.36894346396328,2.34235230223437,2.39981520151962,0.332966005238146,0.00178809343261514,0.333074038087927,0.331223729395443,0.334616453158535
"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHD","leg_tot",3659.33224717932,125.917435560777,3648.19177392382,3544.79703816006,3783.33685846574,0.0100561096520592,0.000355691571031176,0.0100386649603511,0.00972592158618456,0.0104011257058856,1.00386649603511,0.972592158618456,1.04011257058856,1.49434878198286,0.0514204651970845,1.48979938566803,1.44757643704917,1.54498811378417
"ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISTK","leg_tot",829.85975248661,48.1598150612889,810.044950793413,795.532119758381,881.029966654057,0.0194186343794251,0.00120647179629723,0.0189402123883997,0.0185455217086125,0.0206984057426094,1.89402123883997,1.85455217086125,2.06984057426094,0.338886940725554,0.0196668561683162,0.33079523907745,0.32486868474584,0.359783143106158
"OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","leg_tot",1498.87533154301,111.181610009288,1451.26754926809,1421.01694251762,1617.20033550209,0.0212647533076141,0.00159159533527077,0.020781317511619,0.0200114474297006,0.0229289796121235,2.0781317511619,2.00114474297006,2.29289796121235,0.61209050579159,0.0454028473704024,0.592649081332175,0.580295746270387,0.660410476103296
"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other_CVD","leg_tot",512.472651357411,43.9976366945001,502.942079977825,475.46744370153,557.57884468594,0.00464999096609021,0.000401165371835321,0.00456513545597532,0.00431139629439173,0.00506071282138635,0.456513545597532,0.431139629439173,0.506071282138635,0.209276674165288,0.0179671618654552,0.205384707880001,0.194164986225442,0.227696533447628
