"outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"AA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA","leg_tot",48.3635466818766,1.60027203764174,48.8964921174913,46.6813895765306,49.59270016695,0.00488348435913412,0.000205771549463372,0.00496083846949816,0.00466577541405173,0.00503544231040707,0.496083846949816,0.466577541405173,0.503544231040707,0.0197500533416014,0.000653497525985643,0.0199676904154659,0.019063116695328,0.02025199847509
"AFF","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFF","leg_tot",117.909772078526,8.95698264119947,113.217561448517,112.320907851402,127.487015341157,0.00454003974957467,0.000346473560425976,0.00436626151357351,0.00431741821345489,0.00491037278629544,0.436626151357351,0.431741821345489,0.491037278629544,0.0481504035128921,0.00365773184723399,0.046234261778245,0.0458680984675092,0.0520614290327251
"APCA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APCA","leg_tot",29.8963659052131,3.54950163497325,29.5086259174977,26.704252045315,33.4180587546694,0.000610632098116863,7.68067974938907e-05,0.00059499662247041,0.000545453574735913,0.000689100775797299,0.059499662247041,0.0545453574735913,0.0689100775797299,0.0122086749599209,0.00144949763688636,0.0120503349297651,0.0109051225256848,0.0136468164197895
"BC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC","leg_tot",453.190374606302,45.2999861683177,449.039966189215,412.054993763576,497.853602603551,0.00207865966600942,0.000209875002459447,0.00206795291377308,0.00188402346355536,0.00228239660786437,0.206795291377308,0.188402346355536,0.228239660786437,0.185067777002567,0.0184989977902788,0.183372889153128,0.168269464603874,0.203306744073283
"CC","dairy_tot",10952.242859428,427.08180766493,11013.1929746326,10523.722063265,11328.9560576672,0.0766495022616291,0.00243633854310101,0.0767889363516622,0.0742785657634877,0.0789019197832424,7.67889363516622,7.42785657634877,7.89019197832424,4.47252932268788,0.174405912330883,4.49741930923879,4.29753577562906,4.62636638117841
"CC","leg_tot",104.865041232015,18.8535446684578,112.676925997835,84.8269607935125,118.263019619571,0.000734239806698591,0.00013334561787244,0.000795830113451842,0.000591961529601862,0.000824166323055057,0.0795830113451842,0.0591961529601862,0.0824166323055057,0.0428233721489585,0.00769915646033136,0.0460134843596744,0.0346404909362366,0.0482946579825718
"CM","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CM","leg_tot",97.1383805418946,9.4750210489183,100.32245567679,87.1735008921625,104.396796326966,0.00459066292245193,0.000400358984358844,0.00474062781325757,0.00416715465970252,0.00488670102801656,0.474062781325757,0.416715465970252,0.488670102801656,0.0396680625976117,0.00386928138996591,0.0409683322856785,0.0355987393546454,0.0426321566057212
"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","leg_tot",878.849141055261,43.0905539957591,856.070466739042,852.13571723911,924.924438040199,0.01211696625918,0.000593258336629049,0.0117934850435819,0.0117576444758259,0.0127512470757923,1.17934850435819,1.17576444758259,1.27512470757923,0.35889256694167,0.0175967396587627,0.34959051893937,0.34798369897183,0.377708175713466
"ECA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECA","leg_tot",72.3837144798109,10.4858387335425,71.2974214945525,62.9240140876947,82.7667639093969,0.00676612212816747,0.000921561465105895,0.00657247018915241,0.00598755973539503,0.00770928866910272,0.657247018915241,0.598755973539503,0.770928866910272,0.029559085718898,0.00428206549203513,0.029115480030825,0.0256960607722624,0.0337991755003955
"ENDO","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENDO","leg_tot",10.5367953953444,0.868827611949787,10.7825729599768,9.63210577345771,11.2325740872935,0.00607969441336181,0.00038616909202733,0.00605520450881064,0.00572379569160401,0.00645640955398811,0.605520450881064,0.572379569160401,0.645640955398812,0.00430287448677899,0.000354800109957499,0.00440324181599058,0.00393342953255792,0.00458700721117022
"GC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC","leg_tot",13.3818511998055,0.571065518941665,13.4882489232285,12.801228593482,13.8720357412194,0.00319874031244888,0.000258386923688924,0.00309018355885421,0.00301623386672073,0.00347351999873251,0.309018355885421,0.301623386672073,0.347351999873251,0.00546470003004495,0.000233204039704425,0.00550814929828933,0.00522759319580763,0.00566487498627455
"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","leg_tot",489.691192644052,80.5590662686315,480.336401644002,417.523847234177,569.810110403969,0.00959860582248618,0.00159798530464289,0.0093627227446261,0.00819322558536641,0.011204486675787,0.93627227446261,0.819322558536641,1.1204486675787,0.199973489108412,0.0328976256935948,0.196153305645322,0.170502761274035,0.232691372886417
"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSTK","leg_tot",815.36068076803,4.37864843725157,815.625229510415,811.094229554262,819.402265550771,0.0237044542039396,0.000302715895381895,0.0236894346396328,0.0234235230223436,0.0239981520151962,2.36894346396328,2.34235230223437,2.39981520151962,0.332966005238146,0.00178809343261514,0.333074038087927,0.331223729395443,0.334616453158535
