"race","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"direct","dairy_tot",7131.55121937514,419.38516758054,7036.7303640346,6781.14628558813,7562.55388020162,0.00544295298321904,0.000315009803557132,0.00537552570281027,0.00517753685454012,0.00576568230024542,0.537552570281027,0.517753685454012,0.576568230024542,4.67373348753287,0.274848268153852,4.61159169070785,4.44409210617564,4.95619539619135
1,"direct","leg_tot",4299.02525971604,289.889621227703,4460.24401239189,3989.15796624184,4471.85661341577,0.00328110920390804,0.000218799841792534,0.00340538420609189,0.0030473175433069,0.00340926711265291,0.340538420609189,0.30473175433069,0.340926711265291,2.81740924267596,0.189982065436087,2.92306556624723,2.61433460973118,2.93067600058516
1,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medBMI","leg_tot",5002.72132657797,276.57893867363,4993.66278509586,4743.92693071877,5269.21548269697,0.00381817104121112,0.000207030211568275,0.00381264799227763,0.00362389213330904,0.00401714454070664,0.381264799227763,0.362389213330905,0.401714454070664,3.27858350498827,0.181258776367381,3.27264689914042,3.10898000680026,3.45323311814695
1,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"direct","dairy_tot",1695.83214503127,87.7448829269325,1660.1947681685,1632.94695064867,1789.00910974721,0.00822485866221418,0.000381421501818698,0.00805544886137435,0.00796238550370898,0.00863133015143323,0.805544886137435,0.796238550370898,0.863133015143323,6.0387553585238,0.312454203389503,5.91185282213523,5.81482499745454,6.37055287552335
2,"direct","leg_tot",611.41801542194,141.105025088515,548.992812305173,514.127793028007,761.769660465125,0.00296355922310987,0.000667380649625481,0.00266377391952939,0.0025068967973453,0.00367503915691786,0.266377391952939,0.25068967973453,0.367503915691786,2.17722244960698,0.502466431518313,1.95493008952121,1.83077787162517,2.71261553366168
2,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"medBMI","leg_tot",729.546229924609,88.5742634586442,685.825003475968,672.058071421384,824.19743090918,0.00353750754395014,0.000410477342085851,0.00332769886357804,0.00327700797582273,0.00397634449039384,0.332769886357804,0.327700797582273,0.397634449039384,2.5978698529546,0.315407577132774,2.44218121875131,2.39315800913788,2.93491703584413
2,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"direct","dairy_tot",1072.90734861918,18.97666411129,1078.06962461081,1053.19297658823,1088.23378605725,0.00763045812717324,0.000159878234638014,0.00766516096110777,0.0074665326953569,0.00776488615014523,0.766516096110777,0.74665326953569,0.776488615014523,2.77795352219434,0.0491340570789287,2.79131959969575,2.72690940427333,2.81763647423914
3,"direct","leg_tot",128.782322678741,16.1142505912486,124.368396417358,115.786659227071,145.529823452587,0.000915916167217298,0.00011520438281664,0.000887570678072734,0.000821032282332782,0.00103489371787469,0.0887570678072734,0.0821032282332782,0.103489371787469,0.333441007130949,0.0417227445082679,0.322012544067203,0.299792855587126,0.376803352278957
3,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"medBMI","leg_tot",193.132127693647,23.6012217836164,180.645909820898,178.509399526796,218.368141052333,0.00137345257517135,0.000167424147885555,0.00128047437616171,0.00127351835313644,0.00155241826636446,0.128047437616171,0.127351835313644,0.155241826636446,0.500054431602074,0.0611078834218684,0.467725327916533,0.462193511675044,0.565395089661812
3,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"direct","dairy_tot",1051.95214640245,52.8687821299383,1071.94983088188,995.998965550683,1090.90729544669,0.0105292815776954,0.00060915155948699,0.0108495500010564,0.00987794095102333,0.0109083940445106,1.08495500010564,0.987794095102333,1.09083940445106,4.11152184234906,0.206635970323383,4.18968216248795,3.89283059673709,4.26377681584298
4,"direct","leg_tot",148.123935370046,36.77461335431,154.349211736089,110.919775115331,180.036610713624,0.00148037961527393,0.000359031545702683,0.0015289889336891,0.00112099336044283,0.00179844794945213,0.15289889336891,0.112099336044283,0.179844794945213,0.578937737549566,0.143732418406362,0.603269034216606,0.433526448607726,0.703667424324423
4,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"medBMI","leg_tot",186.052677243939,24.8445329740143,192.137676164699,160.401295933129,206.531809472103,0.0018604496469217,0.000235392510356179,0.00190332284367524,0.0016214050267806,0.0020630520498223,0.190332284367524,0.16214050267806,0.20630520498223,0.72718103093572,0.097104074871617,0.75096405762466,0.62692341474424,0.807223074441603
4,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
