"race","disease_type2","X1","X2","X3"
1,"Other_CVD",88750.9742982228,88795.0355291922,88922.2115785138
2,"Other_CVD",12218.6668155314,12334.3765286711,12380.8840834534
3,"Other_CVD",5982.74963570084,5955.40086388259,5892.40254485681
4,"Other_CVD",3217.85169527309,3093.47640644503,3092.26867481191
1,"Cancer",741887.244184445,738907.961229581,738860.573605162
2,"Cancer",110010.98496694,110158.07731189,111135.268984772
3,"Cancer",87927.4118315071,87698.7777158017,87389.1030643623
4,"Cancer",72538.4763798076,74596.9755643097,73671.0239951637
1,"DIAB",48409.3097963247,48512.3988881843,48513.3758104259
2,"DIAB",13497.4500034696,13340.2038504713,13116.7864399538
3,"DIAB",7565.1778824986,7378.5586993646,7361.13165668022
4,"DIAB",3349.43693778793,3302.29517134998,3245.93045977712
1,"HHD",35983.3847243501,36326.3380606875,35823.9881588902
2,"HHD",9767.71826313895,9852.47286617483,9944.49460884001
3,"HHD",3523.45003431421,3541.53141661036,3577.31464011432
4,"HHD",1561.46321683851,1582.72565773455,1593.03375960204
1,"HSTK",24379.5525560907,24496.4544149604,24545.9771299536
2,"HSTK",4561.17268998295,4792.60066127359,4779.71258595979
3,"HSTK",3117.52394970734,3073.5198809574,3167.08002679848
4,"HSTK",2071.31667913535,2067.34040034357,2145.08229608352
1,"IHD",286253.268810746,286691.618419776,285615.951469497
2,"IHD",40405.7312762016,40772.9823933783,41030.4569609461
3,"IHD",25139.7844065818,24842.3354946959,24553.963000726
4,"IHD",11960.9146026815,12219.4839556049,12213.6670224284
1,"ISTK",32260.1044608808,31827.7674745883,32267.9077247653
2,"ISTK",5409.85589709245,5582.90245173532,5508.57454104909
3,"ISTK",3567.24822763879,3801.14819776708,3685.34955049989
4,"ISTK",1531.31661263439,1343.54132631862,1441.22222002314
1,"OSTK",53853.6123725114,54204.7736244403,54481.1220023556
2,"OSTK",9157.06372419647,9262.25726868987,9430.47997773492
3,"OSTK",4253.98692050349,4354.1271009821,4495.90097748463
4,"OSTK",2570.54105282271,2742.70884562351,2667.05145235391
