age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,NHW,added_sugar,CED,MJ,-3025996.06653212,-3158148.93489242,-3366939.62143313
20-34,Female,NHW,added_sugar,Food_price,USD,-4105418.17909828,-4284712.12934063,-4567981.85649959
20-34,Female,NHW,added_sugar,FL,mrh-eq,-139233.62771657,-145314.310860366,-154921.291200499
20-34,Female,NHW,oil,CED,MJ,-334297.368746624,-176419.596834245,-208266.676240076
20-34,Female,NHW,oil,Food_price,USD,-372209.281487613,-196426.946536269,-231885.731592121
20-34,Female,NHW,oil,FL,mrh-eq,-17821.7016821116,-9405.09175243113,-11102.888988303
20-34,Female,NHW,sat_fat,CED,MJ,-9254066.384638,-9346558.80627104,-9710752.18851678
20-34,Female,NHW,sat_fat,Food_price,USD,-1537410.11239066,-1552776.19886851,-1613280.90733482
20-34,Female,NHW,sat_fat,FL,mrh-eq,-241200.6737996,-243611.423138537,-253103.86522182
20-34,Female,NHB,added_sugar,CED,MJ,-1005723.98843338,-1016379.48550742,-962453.313655726
20-34,Female,NHB,added_sugar,Food_price,USD,-973629.528883507,-983944.989900182,-931739.699086502
20-34,Female,NHB,added_sugar,FL,mrh-eq,-39532.8995726145,-39951.7448030843,-37832.0201463527
20-34,Female,NHB,oil,CED,MJ,-83166.4016807555,-91306.7718074496,-93838.2293440638
20-34,Female,NHB,oil,Food_price,USD,-113901.792643329,-125050.558629019,-128517.554261794
20-34,Female,NHB,oil,FL,mrh-eq,-4284.34540654031,-4703.69933619228,-4834.10823028484
20-34,Female,NHB,sat_fat,CED,MJ,-1731175.062715,-1741985.94061223,-1745942.04170375
20-34,Female,NHB,sat_fat,Food_price,USD,-307512.930609063,-309433.293729025,-310136.025801962
20-34,Female,NHB,sat_fat,FL,mrh-eq,-45358.6019418152,-45641.8582789375,-45745.5122758767
20-34,Female,HIS,added_sugar,CED,MJ,-1213208.38926416,-1355519.9100217,-1328759.62924826
20-34,Female,HIS,added_sugar,Food_price,USD,-1135516.44459011,-1268714.56084515,-1243667.96608948
