Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Mean_Intake,SE_Intake,CF_Mean_Intake,CF_SE_Intake,Intake_unit,GHG_unit,WATER_unit,BLUEWATER_unit,CED_to_intake_conversion,GHG_to_intake_conversion,WATER_to_intake_conversion,BLUEWATER_to_intake_conversion,Food_price_to_intake_conversion,FL_to_intake_conversion,outcome,outcome_unit,mean_delta,sd_delta,median_delta,lowerci_95_delta,upperci_95_delta,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact,mean_substitution_impact,sd_substitution_impact,median_substitution_impact,lowerci_95_substitution_impact,upperci_95_substitution_impact,mean_combined_impact,sd_combined_impact,median_combined_impact,lowerci_95_combined_impact,upperci_95_combined_impact,mean_impact_consumed,sd_impact_consumed,median_impact_consumed,lowerci_95_impact_consumed,upperci_95_impact_consumed,mean_substitution_impact_consumed,sd_substitution_impact_consumed,median_substitution_impact_consumed,lowerci_95_substitution_impact_consumed,upperci_95_substitution_impact_consumed,mean_combined_impact_consumed,sd_combined_impact_consumed,median_combined_impact_consumed,lowerci_95_combined_impact_consumed,upperci_95_combined_impact_consumed,mean_impact_unconsumed,sd_impact_unconsumed,median_impact_unconsumed,lowerci_95_impact_unconsumed,upperci_95_impact_unconsumed,mean_substitution_impact_unconsumed,sd_substitution_impact_unconsumed,median_substitution_impact_unconsumed,lowerci_95_substitution_impact_unconsumed,upperci_95_substitution_impact_unconsumed,mean_combined_impact_unconsumed,sd_combined_impact_unconsumed,median_combined_impact_unconsumed,lowerci_95_combined_impact_unconsumed,upperci_95_combined_impact_unconsumed,mean_impact_current_intake_,sd_impact_current_intake,median_impact_current_intake,lowerci_95_impact_current_intake,upperci_95_impact_current_intake,mean_impact_current_intake_consumed,sd_impact_current_intake_consumed,median_impact_current_intake_consumed,lowerci_95_impact_current_intake_consumed,upperci_95_impact_current_intake_consumed,mean_impact_current_intake_unconsumed,sd_impact_current_intake_unconsumed,median_impact_current_intake_unconsumed,lowerci_95_impact_current_intake_unconsumed,upperci_95_impact_current_intake_unconsumed,mean_impact_CF_intake,sd_impact_CF_intake,median_impact_CF_intake,lowerci_95_impact_CF_intake,upperci_95_impact_CF_intake,mean_impact_CF_intake_consumed,sd_impact_current_CF_consumed,median_impact_CF_intake_consumed,lowerci_95_impact_CF_intake_consumed,upperci_95_impact_CF_intake_consumed,mean_impact_CF_intake_unconsumed,sd_impact_CF_intake_unconsumed,median_impact_CF_intake_unconsumed,lowerci_95_impact_CF_intake_unconsumed,upperci_95_impact_CF_intake_unconsumed,mean_impact_inedible,sd_impact_inedible,median_impact_inedible,lowerci_95_impact_inedible,upperci_95_impact_inedible,mean_substitution_impact_inedible,sd_substitution_impact_inedible,median_substitution_impact_inedible,lowerci_95_substitution_impact_inedible,upperci_95_substitution_impact_inedible,mean_combined_impact_inedible,sd_combined_impact_inedible,median_combined_impact_inedible,lowerci_95_combined_impact_inedible,upperci_95_combined_impact_inedible,mean_impact_wasted,sd_impact_wasted,median_impact_wasted,lowerci_95_impact_wasted,upperci_95_impact_wasted,mean_substitution_impact_wasted,sd_substitution_impact_wasted,median_substitution_impact_wasted,lowerci_95_substitution_impact_wasted,upperci_95_substitution_impact_wasted,mean_combined_impact_wasted,sd_combined_impact_wasted,median_combined_impact_wasted,lowerci_95_combined_impact_wasted,upperci_95_combined_impact_wasted
added_sugar,Female,HIS,20-34,3,6549965,9.693115908,0.421192353,4.234690685,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,-50835473.36710046,2959417.503668649,-51993586.111760244,-52988344.520681664,-47698206.380558446,-1299162.6428447068,75631.53071444175,-1328759.6292482615,-1354181.895983024,-1218985.9512633681,0,0,0,0,0,-1299162.6428447068,75631.53071444175,-1328759.6292482615,-1354181.895983024,-1218985.9512633681,-860704.9348429582,50106.45285574765,-880313.1589512498,-897155.6001606063,-807587.2790332622,0,0,0,0,0,-860704.9348429582,50106.45285574765,-880313.1589512498,-897155.6001606063,-807587.2790332622,-438457.7080017487,25525.077858694185,-448446.4702970118,-457026.29582241795,-411398.6722301059,0,0,0,0,0,-438457.7080017487,25525.077858694185,-448446.4702970118,-457026.29582241795,-411398.6722301059,2369120.2135783555,75631.5307144416,2398717.19998191,2288943.5219970173,2424139.4667166728,1569559.8009177328,50106.45285574772,1589168.0250260243,1516442.1451080367,1606010.4662353809,799560.4126606231,25525.077858694152,809549.1749558861,772501.3768889804,818129.0004812923,1069957.5707336487,0,1069957.5707336487,1069957.5707336487,1069957.5707336487,708854.8660747744,0,708854.8660747744,708854.8660747744,708854.8660747744,361102.70465887425,0,361102.70465887425,361102.70465887425,361102.70465887425,0,0,0,0,0,0,0,-0,-0,-0,-860704.9348429582,50106.45285574765,-880313.1589512498,-897155.6001606063,-807587.2790332622,-438457.7080017487,25525.077858694185,-448446.4702970118,-457026.29582241795,-411398.6722301059,0,0,0,0,0,-438457.7080017487,25525.077858694185,-448446.4702970118,-457026.29582241795,-411398.6722301059
added_sugar,Female,HIS,20-34,3,6549965,9.693115908,0.421192353,4.234690685,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,-50835473.36710046,2959417.503668649,-51993586.111760244,-52988344.520681664,-47698206.380558446,-56314.215673766346,3278.365765709035,-57597.142861369095,-58699.1103630536,-52838.83287501675,0,0,0,0,0,-56314.215673766346,3278.365765709035,-57597.142861369095,-58699.1103630536,-52838.83287501675,-37308.587650033835,2171.9417567206538,-38158.536474759916,-38888.59815869165,-35006.120640358844,0,0,0,0,0,-37308.587650033835,2171.9417567206538,-38158.536474759916,-38888.59815869165,-35006.120640358844,-19005.628023732505,1106.4240089883806,-19438.606386609175,-19810.51220436194,-17832.7122346579,0,0,0,0,0,-19005.628023732505,1106.4240089883806,-19438.606386609175,-19810.51220436194,-17832.7122346579,102693.18271990865,3278.365765709035,103976.10990751139,99217.79992115906,105078.07740919592,68034.99902692347,2171.9417567206524,68884.94785164954,65732.53201724848,69615.00953558128,34658.18369298517,1106.4240089883813,35091.162055861845,33485.26790391057,35463.06787361461,46378.9670461423,0,46378.9670461423,46378.9670461423,46378.9670461423,30726.41137688964,0,30726.41137688964,30726.41137688964,30726.41137688964,15652.55566925267,0,15652.55566925267,15652.55566925267,15652.55566925267,0,0,0,0,0,0,0,-0,-0,-0,-37308.587650033835,2171.9417567206538,-38158.536474759916,-38888.59815869165,-35006.120640358844,-19005.628023732505,1106.4240089883806,-19438.606386609175,-19810.51220436194,-17832.7122346579,0,0,0,0,0,-19005.628023732505,1106.4240089883806,-19438.606386609175,-19810.51220436194,-17832.7122346579
added_sugar,Female,HIS,20-34,3,6549965,9.693115908,0.421192353,4.234690685,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,-50835473.36710046,2959417.503668649,-51993586.111760244,-52988344.520681664,-47698206.380558446,-1215966.3238415776,70788.20721628782,-1243667.966089477,-1267462.231107367,-1140924.0206650738,0,0,0,0,0,-1215966.3238415776,70788.20721628782,-1243667.966089477,-1267462.231107367,-1140924.0206650738,-805586.7533580232,46897.71493608718,-823939.2978352979,-839703.1757721013,-755870.6681382617,0,0,0,0,0,-805586.7533580232,46897.71493608718,-823939.2978352979,-839703.1757721013,-755870.6681382617,-410379.57048355445,23890.492280200553,-419728.6682541792,-427759.0553352656,-385053.35252681223,0,0,0,0,0,-410379.57048355445,23890.492280200553,-419728.6682541792,-427759.0553352656,-385053.35252681223,2217405.505546078,70788.20721628777,2245107.1477939775,2142363.2023695745,2268901.4128118674,1469047.6759649152,46897.71493608733,1487400.2204421898,1419331.5907451534,1503164.0983789936,748357.8295811631,23890.492280200466,757706.9273517878,723031.611624421,765737.3144328741,1001439.1817045007,0,1001439.1817045007,1001439.1817045007,1001439.1817045007,663460.9226068921,0,663460.9226068921,663460.9226068921,663460.9226068921,337978.2590976086,0,337978.2590976086,337978.2590976086,337978.2590976086,0,0,0,0,0,0,0,-0,-0,-0,-805586.7533580232,46897.71493608718,-823939.2978352979,-839703.1757721013,-755870.6681382617,-410379.57048355445,23890.492280200553,-419728.6682541792,-427759.0553352656,-385053.35252681223,0,0,0,0,0,-410379.57048355445,23890.492280200553,-419728.6682541792,-427759.0553352656,-385053.35252681223
added_sugar,Female,HIS,35-44,11,4706043,9.014919974,0.403927168,4.553360802,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,-32130216.942917015,2146082.4896557964,-31065745.115694586,-34423717.67762245,-30741517.261350647,-796422.2582054583,53195.65273223728,-770036.8448128648,-853272.0154783435,-762000.1023162775,0,0,0,0,0,-796422.2582054583,53195.65273223728,-770036.8448128648,-853272.0154783435,-762000.1023162775,-529261.0036158848,35351.07697329426,-511726.62379524764,-567040.4093012098,-506385.8207781013,0,0,0,0,0,-529261.0036158848,35351.07697329426,-511726.62379524764,-567040.4093012098,-506385.8207781013,-267161.25458957354,17844.57575894305,-258310.22101761718,-286231.6061771338,-255614.28153817623,0,0,0,0,0,-267161.25458957354,17844.57575894305,-258310.22101761718,-286231.6061771338,-255614.28153817623,1595687.9655807843,53195.65273223735,1569302.5521881906,1561265.8096916033,1652537.7228536694,1060411.616350387,35351.07697329419,1042877.2365297498,1037536.4335126035,1098191.022035712,535276.3492303973,17844.575758943043,526425.3156584409,523729.3761789999,554346.7008179575,799265.7073753258,0,799265.7073753258,799265.7073753258,799265.7073753258,531150.6127345022,0,531150.6127345022,531150.6127345022,531150.6127345022,268115.0946408237,0,268115.0946408237,268115.0946408237,268115.0946408237,0,0,0,0,0,0,0,-0,-0,-0,-529261.0036158848,35351.07697329426,-511726.62379524764,-567040.4093012098,-506385.8207781013,-267161.25458957354,17844.57575894305,-258310.22101761718,-286231.6061771338,-255614.28153817623,0,0,0,0,0,-267161.25458957354,17844.57575894305,-258310.22101761718,-286231.6061771338,-255614.28153817623
added_sugar,Female,HIS,35-44,11,4706043,9.014919974,0.403927168,4.553360802,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,-32130216.942917015,2146082.4896557964,-31065745.115694586,-34423717.67762245,-30741517.261350647,-39792.08486577584,2657.843758386587,-38473.775893218466,-42632.50066618134,-38072.2316920441,0,0,0,0,0,-39792.08486577584,2657.843758386587,-38473.775893218466,-42632.50066618134,-38072.2316920441,-26443.759645145285,1766.2653705680389,-25567.679748202547,-28331.35294344962,-25300.834259242278,0,0,0,0,0,-26443.759645145285,1766.2653705680389,-25567.679748202547,-28331.35294344962,-25300.834259242278,-13348.32522063055,891.5783878185459,-12906.096145015916,-14301.147722731708,-12771.39743280183,0,0,0,0,0,-13348.32522063055,891.5783878185459,-12906.096145015916,-14301.147722731708,-12771.39743280183,79726.23855184537,2657.843758386582,78407.92957928799,78006.38537811364,82566.65435225084,52981.93087363908,1766.265370568042,52105.85097669634,51839.00548773607,54869.52417194341,26744.307678206293,891.5783878185459,26302.078602591657,26167.379890377568,27697.130180307453,39934.153686069534,0,39934.153686069534,39934.153686069534,39934.153686069534,26538.17122849379,0,26538.17122849379,26538.17122849379,26538.17122849379,13395.982457575741,0,13395.982457575741,13395.982457575741,13395.982457575741,0,0,0,0,0,0,0,-0,-0,-0,-26443.759645145285,1766.2653705680389,-25567.679748202547,-28331.35294344962,-25300.834259242278,-13348.32522063055,891.5783878185459,-12906.096145015916,-14301.147722731708,-12771.39743280183,0,0,0,0,0,-13348.32522063055,891.5783878185459,-12906.096145015916,-14301.147722731708,-12771.39743280183
added_sugar,Female,HIS,35-44,11,4706043,9.014919974,0.403927168,4.553360802,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,-32130216.942917015,2146082.4896557964,-31065745.115694586,-34423717.67762245,-30741517.261350647,-842090.8312292258,56246.00639365189,-814192.4212247634,-902200.4764128913,-805694.8345493536,0,0,0,0,0,-842090.8312292258,56246.00639365189,-814192.4212247634,-902200.4764128913,-805694.8345493536,-559609.9730767924,37378.184105962006,-541070.1340327157,-599555.7315097444,-535423.0778313054,0,0,0,0,0,-559609.9730767924,37378.184105962006,-541070.1340327157,-599555.7315097444,-535423.0778313054,-282480.8581524335,18867.82228768988,-273122.28719204763,-302644.74490314675,-270271.7567180482,0,0,0,0,0,-282480.8581524335,18867.82228768988,-273122.28719204763,-302644.74490314675,-270271.7567180482,1687188.1611472343,56246.00639365187,1659289.7511427714,1650792.164467362,1747297.8063308997,1121217.9095417256,37378.184105962144,1102678.0704976488,1097031.0142962385,1161163.6679746776,565970.2516055086,18867.822287689913,556611.6806451228,553761.1501711233,586134.138356222,845097.3299180084,0,845097.3299180084,845097.3299180084,845097.3299180084,561607.9364649332,0,561607.9364649332,561607.9364649332,561607.9364649332,283489.3934530752,0,283489.3934530752,283489.3934530752,283489.3934530752,0,0,0,0,0,0,0,-0,-0,-0,-559609.9730767924,37378.184105962006,-541070.1340327157,-599555.7315097444,-535423.0778313054,-282480.8581524335,18867.82228768988,-273122.28719204763,-302644.74490314675,-270271.7567180482,0,0,0,0,0,-282480.8581524335,18867.82228768988,-273122.28719204763,-302644.74490314675,-270271.7567180482
added_sugar,Female,HIS,45-54,19,2981376,9.493442281,0.445495309,4.668288868,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,-21307106.15475221,1865088.7373377038,-20544734.11720469,-23288217.016171064,-19974011.525248747,-537484.7287812727,47047.9992383846,-518253.42984956567,-587459.456757078,-503856.60489741847,0,0,0,0,0,-537484.7287812727,47047.9992383846,-518253.42984956567,-587459.456757078,-503856.60489741847,-356660.89087881957,31219.82899956381,-343899.50094074226,-389822.82097066176,-334346.14223434305,0,0,0,0,0,-356660.89087881957,31219.82899956381,-343899.50094074226,-389822.82097066176,-334346.14223434305,-180823.83790245318,15828.17023882081,-174353.9289088234,-197636.63578641615,-169510.46266307548,0,0,0,0,0,-180823.83790245318,15828.17023882081,-174353.9289088234,-197636.63578641615,-169510.46266307548,1066571.3405778895,47047.999238384655,1047340.0416461824,1032943.2166940352,1116546.0685536948,707749.0096860611,31219.828999563822,694987.6197479838,685434.2610415847,740910.9397779033,358822.33089182834,15828.1702388208,352352.42189819855,347508.9556524507,375635.1287757913,529086.6117966167,0,529086.6117966167,529086.6117966167,529086.6117966167,351088.11880724155,0,351088.11880724155,351088.11880724155,351088.11880724155,177998.49298937514,0,177998.49298937514,177998.49298937514,177998.49298937514,0,0,0,0,0,0,0,-0,-0,-0,-356660.89087881957,31219.82899956381,-343899.50094074226,-389822.82097066176,-334346.14223434305,-180823.83790245318,15828.17023882081,-174353.9289088234,-197636.63578641615,-169510.46266307548,0,0,0,0,0,-180823.83790245318,15828.17023882081,-174353.9289088234,-197636.63578641615,-169510.46266307548
added_sugar,Female,HIS,45-54,19,2981376,9.493442281,0.445495309,4.668288868,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,-21307106.15475221,1865088.7373377038,-20544734.11720469,-23288217.016171064,-19974011.525248747,-25526.10493734854,2234.393093129204,-24612.776375018275,-27899.49357932608,-23929.04557335173,0,0,0,0,0,-25526.10493734854,2234.393093129204,-24612.776375018275,-27899.49357932608,-23929.04557335173,-16938.459532170018,1482.6851601457233,-16332.3984456636,-18513.378524508233,-15878.692463362258,0,0,0,0,0,-16938.459532170018,1482.6851601457233,-16332.3984456636,-18513.378524508233,-15878.692463362258,-8587.645405178526,751.7079329834811,-8280.377929354674,-9386.115054817852,-8050.353109989472,0,0,0,0,0,-8587.645405178526,751.7079329834811,-8280.377929354674,-9386.115054817852,-8050.353109989472,50653.36837474873,2234.39309312921,49740.03981241846,49056.30901075192,53026.757016726275,33612.25821525214,1482.6851601457251,33006.19712874573,32552.491146444383,35187.17720759036,17041.11015949658,751.7079329834808,16733.84268367273,16503.81786430753,17839.57980913591,25127.263437400183,0,25127.263437400183,25127.263437400183,25127.263437400183,16673.79868308213,0,16673.79868308213,16673.79868308213,16673.79868308213,8453.464754318054,0,8453.464754318054,8453.464754318054,8453.464754318054,0,0,0,0,0,0,0,-0,-0,-0,-16938.459532170018,1482.6851601457233,-16332.3984456636,-18513.378524508233,-15878.692463362258,-8587.645405178526,751.7079329834811,-8280.377929354674,-9386.115054817852,-8050.353109989472,0,0,0,0,0,-8587.645405178526,751.7079329834811,-8280.377929354674,-9386.115054817852,-8050.353109989472
added_sugar,Female,HIS,45-54,19,2981376,9.493442281,0.445495309,4.668288868,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,-21307106.15475221,1865088.7373377038,-20544734.11720469,-23288217.016171064,-19974011.525248747,-621139.3040041608,54370.58940815199,-598914.8295328171,-678892.1406718628,-582277.2706371011,0,0,0,0,0,-621139.3040041608,54370.58940815199,-598914.8295328171,-678892.1406718628,-582277.2706371011,-412171.89189411775,36078.90944155442,-397424.30849349475,-450495.17267529847,-386384.0570034665,0,0,0,0,0,-412171.89189411775,36078.90944155442,-397424.30849349475,-450495.17267529847,-386384.0570034665,-208967.4121100431,18291.679966597552,-201490.5210393224,-228396.96799656426,-195893.2136336346,0,0,0,0,0,-208967.4121100431,18291.679966597552,-201490.5210393224,-228396.96799656426,-195893.2136336346,1232573.40103319,54370.5894081519,1210348.9265618464,1193711.3676661302,1290326.237700892,817903.6607846246,36078.9094415544,803156.0773840017,792115.8258939735,856226.9415658053,414669.7402485653,18291.679966597574,407192.84917784453,401595.5417721567,434099.29613508645,611434.0970290292,0,611434.0970290292,611434.0970290292,611434.0970290292,405731.76889050694,0,405731.76889050694,405731.76889050694,405731.76889050694,205702.3281385222,0,205702.3281385222,205702.3281385222,205702.3281385222,0,0,0,0,0,0,0,-0,-0,-0,-412171.89189411775,36078.90944155442,-397424.30849349475,-450495.17267529847,-386384.0570034665,-208967.4121100431,18291.679966597552,-201490.5210393224,-228396.96799656426,-195893.2136336346,0,0,0,0,0,-208967.4121100431,18291.679966597552,-201490.5210393224,-228396.96799656426,-195893.2136336346
added_sugar,Female,HIS,55-64,27,2911586,10.78765394,0.668684432,5.076543033,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,-26304280.06783082,1455911.52452353,-26686600.255142234,-27488668.80433538,-24794919.172111556,-658278.8130087028,36434.97209342462,-667846.5821490721,-687918.7807096472,-620506.2415384445,0,0,0,0,0,-658278.8130087028,36434.97209342462,-667846.5821490721,-687918.7807096472,-620506.2415384445,-437240.20544639195,24200.74042904354,-443595.2836623809,-456927.586098599,-412151.00831059425,0,0,0,0,0,-437240.20544639195,24200.74042904354,-443595.2836623809,-456927.586098599,-412151.00831059425,-221038.60756231085,12234.231664381019,-224251.29848669114,-230991.19461104818,-208355.2332278503,0,0,0,0,0,-221038.60756231085,12234.231664381019,-224251.29848669114,-230991.19461104818,-208355.2332278503,1215170.7622848346,36434.97209342462,1224738.531425204,1177398.1908145763,1244810.7299857792,807137.497446459,24200.74042904354,813492.575662448,782048.3003106613,826824.8780986661,408033.26483837573,12234.231664380986,411245.955762756,395349.89050391514,417985.85188711307,556891.9492761319,0,556891.9492761319,556891.9492761319,556891.9492761319,369897.292000067,0,369897.292000067,369897.292000067,369897.292000067,186994.65727606486,0,186994.65727606486,186994.65727606486,186994.65727606486,0,0,0,0,0,0,0,-0,-0,-0,-437240.20544639195,24200.74042904354,-443595.2836623809,-456927.586098599,-412151.00831059425,-221038.60756231085,12234.231664381019,-224251.29848669114,-230991.19461104818,-208355.2332278503,0,0,0,0,0,-221038.60756231085,12234.231664381019,-224251.29848669114,-230991.19461104818,-208355.2332278503
