Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Mean_Intake,SE_Intake,CF_Mean_Intake,CF_SE_Intake,Intake_unit,GHG_unit,WATER_unit,BLUEWATER_unit,CED_to_intake_conversion,GHG_to_intake_conversion,WATER_to_intake_conversion,BLUEWATER_to_intake_conversion,Food_price_to_intake_conversion,FL_to_intake_conversion,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,NHW,20-34,1,18192633,8.62003303,0.357335553,4.090117713,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,5822330.52495392,5954483.39331422,6163274.07985492
added_sugar,Female,NHW,20-34,1,18192633,8.62003303,0.357335553,4.090117713,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,7899250.71160397,8078544.66184632,8361814.38900527
added_sugar,Female,NHW,20-34,1,18192633,8.62003303,0.357335553,4.090117713,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,267899.951926672,273980.635070468,283587.615410602
oil,Female,NHW,20-34,1,18192633,17.02978293,0.557882116,15.52867745,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,3498614.44119764,3340736.66928526,3372583.74869109
oil,Female,NHW,20-34,1,18192633,17.02978293,0.557882116,15.52867745,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,3895384.43644572,3719602.10149438,3755060.88655023
oil,Female,NHW,20-34,1,18192633,17.02978293,0.557882116,15.52867745,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,186514.369244138,178097.759314458,179795.556550329
sat_fat,Female,NHW,20-34,1,18192633,16.32832263,0.290173819,8.396904898,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,19305627.9532103,19398120.3748433,19762313.7570891
sat_fat,Female,NHW,20-34,1,18192633,16.32832263,0.290173819,8.396904898,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,3207310.86288596,3222676.94936381,3283181.65783011
sat_fat,Female,NHW,20-34,1,18192633,16.32832263,0.290173819,8.396904898,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,503187.493680473,505598.24301941,515090.685102693
added_sugar,Female,NHB,20-34,2,4596338,9.028081944,0.428248785,3.704849954,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,1670573.9635028,1681229.46057684,1627303.28872514
added_sugar,Female,NHB,20-34,2,4596338,9.028081944,0.428248785,3.704849954,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,1617262.94664992,1627578.4076666,1575373.11685292
added_sugar,Female,NHB,20-34,2,4596338,9.028081944,0.428248785,3.704849954,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,65666.7569704244,66085.6022008942,63965.8775441626
oil,Female,NHB,20-34,2,4596338,12.44617705,0.365486096,10.61088665,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,623756.892699745,631897.262826439,634428.720363053
oil,Female,NHB,20-34,2,4596338,12.44617705,0.365486096,10.61088665,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,854275.606690982,865424.372676672,868891.368309447
oil,Female,NHB,20-34,2,4596338,12.44617705,0.365486096,10.61088665,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,32133.0480101124,32552.4019397644,32682.8108338569
sat_fat,Female,NHB,20-34,2,4596338,12.78269893,0.301875585,6.873855524,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,3690980.43081664,3701791.30871388,3705747.4098054
sat_fat,Female,NHB,20-34,2,4596338,12.78269893,0.301875585,6.873855524,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,655638.030807278,657558.393927239,658261.126000177
sat_fat,Female,NHB,20-34,2,4596338,12.78269893,0.301875585,6.873855524,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,96707.5576249813,96990.8139621037,97094.4679590428
added_sugar,Female,HIS,20-34,3,6549965,9.693115908,0.421192353,4.234690685,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,2283165.95999781,2425477.48075534,2398717.19998191
added_sugar,Female,HIS,20-34,3,6549965,9.693115908,0.421192353,4.234690685,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,2136955.62629461,2270153.74254965,2245107.14779398
added_sugar,Female,HIS,20-34,3,6549965,9.693115908,0.421192353,4.234690685,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,98967.3625534563,105136.075698758,103976.109907511
oil,Female,HIS,20-34,3,6549965,14.24655399,0.488600227,13.88653277,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,1043601.97597731,1057440.27020322,1073196.54895786
oil,Female,HIS,20-34,3,6549965,14.24655399,0.488600227,13.88653277,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,1146740.03266114,1161945.9505665,1179259.40534105
oil,Female,HIS,20-34,3,6549965,14.24655399,0.488600227,13.88653277,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,53868.0434316568,54582.3405023219,55395.638989498
sat_fat,Female,HIS,20-34,3,6549965,14.2291622,0.30858424,7.937472407,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,6398411.62790677,6377253.89931692,6549010.53608972
sat_fat,Female,HIS,20-34,3,6549965,14.2291622,0.30858424,7.937472407,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,1421266.22841232,1416566.50497104,1454718.45916638
sat_fat,Female,HIS,20-34,3,6549965,14.2291622,0.30858424,7.937472407,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,175158.016347504,174578.818573785,179280.696718109
added_sugar,Female,OTH,20-34,4,3878604,7.666641489,0.492657829,4.118398027,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,1184892.28972758,1082876.78223842,1195083.53057051
added_sugar,Female,OTH,20-34,4,3878604,7.666641489,0.492657829,4.118398027,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,1334768.9145234,1219849.50001091,1346249.24197214
added_sugar,Female,OTH,20-34,4,3878604,7.666641489,0.492657829,4.118398027,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,53868.3979594873,49230.4979553206,54331.7192437825
oil,Female,OTH,20-34,4,3878604,17.02342329,0.974884589,15.39291457,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,806048.665432267,706132.243881556,785626.625155915
oil,Female,OTH,20-34,4,3878604,17.02342329,0.974884589,15.39291457,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,918687.849479807,804808.866263683,895411.984053729
oil,Female,OTH,20-34,4,3878604,17.02342329,0.974884589,15.39291457,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,41255.8157182355,36141.8149742345,40210.5588170536
sat_fat,Female,OTH,20-34,4,3878604,13.24618205,0.364626086,7.913525532,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,3313464.26196902,3440361.82120459,3448485.5294604
sat_fat,Female,OTH,20-34,4,3878604,13.24618205,0.364626086,7.913525532,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,608845.583289798,632162.876721211,633655.599593841
sat_fat,Female,OTH,20-34,4,3878604,13.24618205,0.364626086,7.913525532,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,87758.7578982494,91119.7032105779,91334.8636860477
added_sugar,Male,NHW,20-34,5,19295314,6.190781068,0.317840867,3.529456793,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,4695221.98521815,4814234.43886758,4498485.32902875
added_sugar,Male,NHW,20-34,5,19295314,6.190781068,0.317840867,3.529456793,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,5114696.45775132,5244341.56868014,4900383.20873142
added_sugar,Male,NHW,20-34,5,19295314,6.190781068,0.317840867,3.529456793,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,192608.680296734,197490.841717102,184538.095384257
oil,Male,NHW,20-34,5,19295314,12.14599768,0.360965393,13.17035893,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,2536054.95066382,2582859.28733804,2642008.8436388
oil,Male,NHW,20-34,5,19295314,12.14599768,0.360965393,13.17035893,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,2786938.78185356,2838373.32234022,2903374.35567385
oil,Male,NHW,20-34,5,19295314,12.14599768,0.360965393,13.17035893,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,130044.263352583,132444.304204581,135477.385358738
sat_fat,Male,NHW,20-34,5,19295314,13.88528167,0.242938443,7.498699935,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,18167824.2582099,17783645.8849806,18106572.8311711
sat_fat,Male,NHW,20-34,5,19295314,13.88528167,0.242938443,7.498699935,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,3185485.47505323,3118124.92541566,3174745.8549212
sat_fat,Male,NHW,20-34,5,19295314,13.88528167,0.242938443,7.498699935,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,494449.347519993,483993.679121026,492782.349441214
added_sugar,Male,NHB,20-34,6,4186659,7.953266508,0.467564169,3.478677415,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,1319278.95430057,1252575.54667814,1435938.39433328
added_sugar,Male,NHB,20-34,6,4186659,7.953266508,0.467564169,3.478677415,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,1227898.94175784,1165815.75354035,1336477.95190219
added_sugar,Male,NHB,20-34,6,4186659,7.953266508,0.467564169,3.478677415,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,51443.8211923936,48842.7957129332,55992.8268093512
oil,Male,NHB,20-34,6,4186659,10.17280013,0.49973009,10.45946701,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,504487.751014514,474317.459673808,471368.362331851
oil,Male,NHB,20-34,6,4186659,10.17280013,0.49973009,10.45946701,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,440076.457080758,413758.206745419,411185.64020198
oil,Male,NHB,20-34,6,4186659,10.17280013,0.49973009,10.45946701,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,24915.3882005681,23425.3529730205,23279.7044315675
sat_fat,Male,NHB,20-34,6,4186659,11.81665382,0.381649899,6.7102748,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,3233416.89119842,2963863.86326424,3049548.24797209
sat_fat,Male,NHB,20-34,6,4186659,11.81665382,0.381649899,6.7102748,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,441027.951459728,404261.761475634,415948.843572178
sat_fat,Male,NHB,20-34,6,4186659,11.81665382,0.381649899,6.7102748,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,87011.3610784377,79757.679715168,82063.4494898274
added_sugar,Male,HIS,20-34,7,6886181,7.196622382,0.361295832,3.632487824,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,2007995.0166861,1959020.20695282,1930382.41521071
added_sugar,Male,HIS,20-34,7,6886181,7.196622382,0.361295832,3.632487824,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,2211782.08106501,2157836.9239847,2126292.74479594
added_sugar,Male,HIS,20-34,7,6886181,7.196622382,0.361295832,3.632487824,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,73444.9064093831,71653.5920448616,70606.1293187129
oil,Male,HIS,20-34,7,6886181,11.13395743,0.365123552,12.47890621,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,841589.333112691,860274.450985908,796265.936093219
oil,Male,HIS,20-34,7,6886181,11.13395743,0.365123552,12.47890621,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,932706.499613285,953414.617219686,882476.03052183
oil,Male,HIS,20-34,7,6886181,11.13395743,0.365123552,12.47890621,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,44091.1600659088,45070.0799388013,41716.6514141354
sat_fat,Male,HIS,20-34,7,6886181,12.20474709,0.267073326,6.999336793,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,5613588.51739302,5618908.18797862,5625227.96992328
sat_fat,Male,HIS,20-34,7,6886181,12.20474709,0.267073326,6.999336793,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,914438.59272493,915305.152870723,916334.628488663
sat_fat,Male,HIS,20-34,7,6886181,12.20474709,0.267073326,6.999336793,0,g/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,154763.282644628,154909.942785439,155084.175399091
added_sugar,Male,OTH,20-34,8,3785306,5.827255867,0.391181528,3.345276516,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,926102.930874888,884653.015373765,819200.114275568
