age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,HIS,CED,MJ,-0.546762362882491,-0.554950876546984,-0.560490121957377
20-34,HIS,Food_price,USD,-0.236490526436096,-0.244776669753607,-0.239489850448841
20-34,HIS,FL,mrh-eq,-0.0169750079569486,-0.0173946281435282,-0.0174041957831691
20-34,NHB,CED,MJ,-0.573262378152347,-0.534913283669068,-0.559809059199615
20-34,NHB,Food_price,USD,-0.26124299544706,-0.249654349975064,-0.264653916843524
20-34,NHB,FL,mrh-eq,-0.0179912548605416,-0.016827268743612,-0.0176725941563299
20-34,NHW,CED,MJ,-0.606003873121638,-0.601960064992461,-0.61986338044595
20-34,NHW,Food_price,USD,-0.248522745128569,-0.252059796745367,-0.256245057239134
20-34,NHW,FL,mrh-eq,-0.0184915603665952,-0.0184089033042187,-0.0189335045794175
20-34,OTH,CED,MJ,-0.470580358816807,-0.455624657178264,-0.482164062337799
20-34,OTH,Food_price,USD,-0.230890268324179,-0.199561994057558,-0.219978778186282
20-34,OTH,FL,mrh-eq,-0.0151636426421606,-0.0141481628228151,-0.0152661120420175
35-44,HIS,CED,MJ,-0.56739703382013,-0.640739073889723,-0.586148278223873
35-44,HIS,Food_price,USD,-0.24252336289884,-0.247874965546694,-0.23839726375968
35-44,HIS,FL,mrh-eq,-0.0184637146915531,-0.0206286865276061,-0.0190215825346592
35-44,NHB,CED,MJ,-0.589704927002924,-0.589412950654979,-0.596508606100842
35-44,NHB,Food_price,USD,-0.281165977962633,-0.294966763217782,-0.288906008671579
35-44,NHB,FL,mrh-eq,-0.0191485180795709,-0.0191968942523637,-0.019329525291384
35-44,NHW,CED,MJ,-0.700660669309296,-0.804176080493103,-0.736757907032982
35-44,NHW,Food_price,USD,-0.275984355605276,-0.31734053896959,-0.28919372996788
35-44,NHW,FL,mrh-eq,-0.0224515681099666,-0.0257881223735072,-0.0236223941972217
35-44,OTH,CED,MJ,-0.650331527785634,-0.6264249195687,-0.5910959916615
35-44,OTH,Food_price,USD,-0.264124408471298,-0.261924592244347,-0.253640070097364
35-44,OTH,FL,mrh-eq,-0.0217989582692543,-0.0212254088586863,-0.0201522028604127
45-54,HIS,CED,MJ,-0.594536958409933,-0.607421253555,-0.564757044081928
45-54,HIS,Food_price,USD,-0.245463241843121,-0.232832871077445,-0.236937874412793
45-54,HIS,FL,mrh-eq,-0.01952263185739,-0.0194858808925257,-0.0185068738612219
45-54,NHB,CED,MJ,-0.579479649813368,-0.645877851034899,-0.571724200067768
45-54,NHB,Food_price,USD,-0.264765839047665,-0.306333206094844,-0.266565246737837
45-54,NHB,FL,mrh-eq,-0.0190736115339986,-0.0215987791859152,-0.0189009573730427
45-54,NHW,CED,MJ,-0.796161588431441,-0.777294537484931,-0.806032487423304
45-54,NHW,Food_price,USD,-0.397860477609081,-0.409702387301654,-0.394623418502776
45-54,NHW,FL,mrh-eq,-0.0262547644960027,-0.0258996240373661,-0.0264150028484025
45-54,OTH,CED,MJ,-0.562253925118383,-0.598676817472672,-0.492647942475222
45-54,OTH,Food_price,USD,-0.282237473401411,-0.306686317353574,-0.180723622788733
45-54,OTH,FL,mrh-eq,-0.01846438498279,-0.0197707824711149,-0.0146707956491234
55-64,HIS,CED,MJ,-0.608491836205931,-0.631760418936526,-0.652228822030894
55-64,HIS,Food_price,USD,-0.198101614251508,-0.224161927993675,-0.232060345564495
55-64,HIS,FL,mrh-eq,-0.0195586797347298,-0.0208064658994767,-0.0214524651814298
55-64,NHB,CED,MJ,-0.673907560912503,-0.683755968388571,-0.67689728530357
55-64,NHB,Food_price,USD,-0.355975046769955,-0.373125255303276,-0.344703624252739
55-64,NHB,FL,mrh-eq,-0.0227018648793679,-0.023260977776106,-0.0226355691750687
55-64,NHW,CED,MJ,-0.802299590292522,-0.861121670499232,-0.840468778640461
55-64,NHW,Food_price,USD,-0.364685293555163,-0.398912575031937,-0.372525936554062
55-64,NHW,FL,mrh-eq,-0.0265443945580906,-0.0285832679603273,-0.0275330269822547
55-64,OTH,CED,MJ,-0.63156414219269,-0.58982511623922,-0.619309710877704
55-64,OTH,Food_price,USD,-0.257313373211515,-0.242408499356412,-0.345834303422745
55-64,OTH,FL,mrh-eq,-0.020523134632753,-0.0195348532470519,-0.0220133149586556
65-74,HIS,CED,MJ,-0.598451551901937,-0.591031436503725,-0.595564580613769
65-74,HIS,Food_price,USD,-0.202634860106598,-0.211727301035462,-0.240104398255522
65-74,HIS,FL,mrh-eq,-0.0198989176601516,-0.0199192037777627,-0.0209423838861035
65-74,NHB,CED,MJ,-0.789735020273062,-0.805392052997156,-0.852210290063267
65-74,NHB,Food_price,USD,-0.34674578695103,-0.317984045058298,-0.377875404160724
65-74,NHB,FL,mrh-eq,-0.0273731215995146,-0.0273523118149162,-0.0295885555608735
65-74,NHW,CED,MJ,-0.920644007935221,-0.893846433192959,-0.903436244897168
65-74,NHW,Food_price,USD,-0.424696938446845,-0.398631186882321,-0.394167668082581
65-74,NHW,FL,mrh-eq,-0.030652343359413,-0.0295322760657444,-0.0296844569863472
65-74,OTH,CED,MJ,-0.576841619460001,-0.651729913557427,-0.612681036044046
65-74,OTH,Food_price,USD,-0.253700150415734,-0.283489348811044,-0.268763035456779
65-74,OTH,FL,mrh-eq,-0.0192914016533735,-0.0214962188991239,-0.0203682368862192
75+,HIS,CED,MJ,-0.710287652216906,-0.689087114605063,-0.836184219268025
75+,HIS,Food_price,USD,-0.268292328726088,-0.227580435889026,-0.286523784354203
75+,HIS,FL,mrh-eq,-0.0245179017302397,-0.0229690298523146,-0.027805739273263
75+,NHB,CED,MJ,-0.816005043894734,-0.816260296282242,-0.670055051180647
75+,NHB,Food_price,USD,-0.495878455426189,-0.473551153217652,-0.349034325371332
75+,NHB,FL,mrh-eq,-0.0292964341051291,-0.0290249000880729,-0.0227150650168316
75+,NHW,CED,MJ,-0.967335540033026,-0.995572546465559,-0.993127464323778
75+,NHW,Food_price,USD,-0.442378270416608,-0.436412957244149,-0.471311619180234
75+,NHW,FL,mrh-eq,-0.0325694532581912,-0.0331013964876133,-0.0338405236327511
75+,OTH,CED,MJ,-0.615921908302273,-0.545686566133133,-0.664278770542815
75+,OTH,Food_price,USD,-0.253030233671353,-0.254226933297238,-0.309800599283714
75+,OTH,FL,mrh-eq,-0.0207381791618441,-0.0188898895766527,-0.0234680239580468
