race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
HIS,added_sugar,CED,MJ,-0.175568475181805,-0.174191851420413,-0.179450526317688
HIS,added_sugar,Food_price,USD,-0.177926985824019,-0.176065496079552,-0.18071839827561
HIS,added_sugar,FL,mrh-eq,-0.00788416499572992,-0.00786388884281959,-0.00810926174328054
HIS,oil,CED,MJ,0.0121729601966858,0.00779315180520546,0.00941596056283424
HIS,oil,Food_price,USD,0.012483327689771,0.00839408443097183,0.00955542908238208
HIS,oil,FL,mrh-eq,0.000614257084060594,0.000392584439251426,0.000478348872682847
HIS,sat_fat,CED,MJ,-0.414279009401584,-0.435847469640861,-0.42258998355819
HIS,sat_fat,Food_price,USD,-0.0668271106109309,-0.0699069783357706,-0.0681631016682017
HIS,sat_fat,FL,mrh-eq,-0.0113134295432364,-0.0119023756446693,-0.0115379541573719
NHB,added_sugar,CED,MJ,-0.232677277752374,-0.238925985456299,-0.228983289804841
NHB,added_sugar,Food_price,USD,-0.234764631371339,-0.239385790653347,-0.228967109780992
NHB,added_sugar,FL,mrh-eq,-0.00995594539103915,-0.0102061430782034,-0.00973167139098425
NHB,oil,CED,MJ,-0.0102529299259497,-0.0106657451162466,-0.00953572594564658
NHB,oil,Food_price,USD,-0.0107050560742517,-0.0114945956775769,-0.0104240614577322
NHB,oil,FL,mrh-eq,-0.000507960497883338,-0.000523853046688181,-0.000473714888649593
NHB,sat_fat,CED,MJ,-0.388317188540857,-0.383705683783758,-0.384605071985838
NHB,sat_fat,Food_price,USD,-0.060732556577156,-0.0601078501451813,-0.0603000334188148
NHB,sat_fat,FL,mrh-eq,-0.0103731103439641,-0.0102474925590296,-0.0102715986471658
NHW,added_sugar,CED,MJ,-0.202467632041851,-0.213834804721068,-0.20719698135973
NHW,added_sugar,Food_price,USD,-0.252760071472412,-0.265894902646389,-0.259003081008149
NHW,added_sugar,FL,mrh-eq,-0.00951089735545568,-0.0100164158698165,-0.00974461507014917
NHW,oil,CED,MJ,-0.00952713480494301,-0.00650236941747213,-0.00553048558266446
NHW,oil,Food_price,USD,-0.0101778160678703,-0.00648901283720234,-0.00495466054111544
NHW,oil,FL,mrh-eq,-0.000486324140424214,-0.000329465436622086,-0.000279772213396107
NHW,sat_fat,CED,MJ,-0.561051007439743,-0.57490399892436,-0.578620452842928
NHW,sat_fat,Food_price,USD,-0.082576925544389,-0.084516375674808,-0.0851244650637647
NHW,sat_fat,FL,mrh-eq,-0.0151669738185612,-0.0155383694431302,-0.0156410434248531
OTH,added_sugar,CED,MJ,-0.138223975143861,-0.14128065695609,-0.139705028470981
OTH,added_sugar,Food_price,USD,-0.164850262183433,-0.168102641143478,-0.165808961173948
OTH,added_sugar,FL,mrh-eq,-0.00680736038488619,-0.00703860958140731,-0.00697790872397846
OTH,oil,CED,MJ,-0.013856896591812,-0.00520412443251671,-0.0098182197682063
OTH,oil,Food_price,USD,-0.0146488695784865,-0.00598748699063878,-0.0123495868728777
OTH,oil,FL,mrh-eq,-0.000714800907433911,-0.000279919180846201,-0.00051243513172468
OTH,sat_fat,CED,MJ,-0.416875505646715,-0.41462649113667,-0.401673437941548
OTH,sat_fat,Food_price,USD,-0.0753009240039707,-0.0750770668224895,-0.0734899352325114
OTH,sat_fat,FL,mrh-eq,-0.0111751866140831,-0.011100792881946,-0.0107287065762744
