age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,HIS,added_sugar,CED,MJ,-0.185223644594156,-0.206950710426956,-0.202865149546335
20-34,Female,HIS,added_sugar,Food_price,USD,-0.173362215613382,-0.193697914545368,-0.189873986515879
20-34,Female,HIS,added_sugar,FL,mrh-eq,-0.00802880557488689,-0.00897059887382848,-0.00879350391358871
20-34,Female,HIS,oil,CED,MJ,-0.00224048271161474,-0.00435321067671118,-0.00675876227197026
20-34,Female,HIS,oil,Food_price,USD,-0.00246190719933023,-0.00478343378845913,-0.00742672345100709
20-34,Female,HIS,oil,FL,mrh-eq,-0.000115647941260474,-0.00022470151187729,-0.000348869883338216
20-34,Female,HIS,sat_fat,CED,MJ,-0.433614618164009,-0.430384413332403,-0.456606940746336
20-34,Female,HIS,sat_fat,Food_price,USD,-0.0963179377604416,-0.0956004188971675,-0.101425175853173
20-34,Female,HIS,sat_fat,FL,mrh-eq,-0.0118703016926304,-0.0117818740790908,-0.0124997219064187
20-34,Female,NHB,added_sugar,CED,MJ,-0.218809841320064,-0.221128099262374,-0.20939567839783
20-34,Female,NHB,added_sugar,Food_price,USD,-0.211827226127301,-0.21407150429324,-0.202713486059228
20-34,Female,NHB,added_sugar,FL,mrh-eq,-0.00860095571139775,-0.00869208156647408,-0.0082309047216181
20-34,Female,NHB,oil,CED,MJ,-0.0180940569820486,-0.0198651125760224,-0.0204158678809225
20-34,Female,NHB,oil,Food_price,USD,-0.0247809870908816,-0.0272065628395951,-0.0279608580269323
20-34,Female,NHB,oil,FL,mrh-eq,-0.000932121485961282,-0.00102335801592317,-0.00105173036236344
20-34,Female,NHB,sat_fat,CED,MJ,-0.376642244916497,-0.378994308210631,-0.379855015384803
20-34,Female,NHB,sat_fat,Food_price,USD,-0.0669038984097913,-0.0673217012606611,-0.0674745908159848
20-34,Female,NHB,sat_fat,FL,mrh-eq,-0.00986842176137072,-0.00993004828603499,-0.00995259971653013
20-34,Female,NHW,added_sugar,CED,MJ,-0.166330847576166,-0.17359493454809,-0.185071595817556
20-34,Female,NHW,added_sugar,Food_price,USD,-0.225663771654069,-0.235519076834048,-0.251089650217183
20-34,Female,NHW,added_sugar,FL,mrh-eq,-0.00765329722842041,-0.00798753599109957,-0.00851560580595999
20-34,Female,NHW,oil,CED,MJ,-0.0183754253024631,-0.00969730972060201,-0.0114478578356457
20-34,Female,NHW,oil,Food_price,USD,-0.0204593409589262,-0.0107970598063661,-0.012746133646082
20-34,Female,NHW,oil,FL,mrh-eq,-0.000979610905255526,-0.000516972543360333,-0.00061029588121208
20-34,Female,NHW,sat_fat,CED,MJ,-0.508671085963093,-0.513755145078287,-0.533773873661761
20-34,Female,NHW,sat_fat,Food_price,USD,-0.0845072899777981,-0.0853519223340849,-0.0886777030754601
20-34,Female,NHW,sat_fat,FL,mrh-eq,-0.0132581509119433,-0.0133906633052256,-0.0139124372608308
20-34,Female,OTH,added_sugar,CED,MJ,-0.145931604055711,-0.119629484146292,-0.148559157898003
20-34,Female,OTH,added_sugar,Food_price,USD,-0.164390443273863,-0.134761377116946,-0.167350355512582
20-34,Female,OTH,added_sugar,FL,mrh-eq,-0.00663444415183656,-0.00543867887026444,-0.00675389983338982
20-34,Female,OTH,oil,CED,MJ,-0.0344927116324531,-0.00873178797262336,-0.0292274047652525
20-34,Female,OTH,oil,Food_price,USD,-0.0393128063246056,-0.00995198907795609,-0.0333117127801039
20-34,Female,OTH,oil,FL,mrh-eq,-0.00176543305107712,-0.000446917228373633,-0.00149593998058528
20-34,Female,OTH,sat_fat,CED,MJ,-0.343156114548141,-0.375873442544391,-0.377967935371142
20-34,Female,OTH,sat_fat,Food_price,USD,-0.063054576178639,-0.0690663508871197,-0.0694512117475299
20-34,Female,OTH,sat_fat,FL,mrh-eq,-0.00908866129132125,-0.00995519608382095,-0.0100106697737026
20-34,Male,HIS,added_sugar,CED,MJ,-0.148634648550558,-0.141522606370245,-0.137363872851316
20-34,Male,HIS,added_sugar,Food_price,USD,-0.16371925704879,-0.155885429114219,-0.151304634739404
20-34,Male,HIS,added_sugar,FL,mrh-eq,-0.00543649648593418,-0.00517636472864788,-0.00502425389593107
20-34,Male,HIS,oil,CED,MJ,0.0153153257963489,0.0126019033822101,0.0218971157637448
20-34,Male,HIS,oil,Food_price,USD,0.0169734849907334,0.013966285847057,0.0242678719799013
20-34,Male,HIS,oil,FL,mrh-eq,0.000802375285165289,0.000660218134069126,0.00114719756790421
20-34,Male,HIS,sat_fat,CED,MJ,-0.342755135631819,-0.34352764953838,-0.344445397989178
20-34,Male,HIS,sat_fat,Food_price,USD,-0.0558338971417806,-0.0559597375961331,-0.0561092363702635
20-34,Male,HIS,sat_fat,FL,mrh-eq,-0.00944955437494726,-0.0094708521219584,-0.00949615389861113
20-34,Male,NHB,added_sugar,CED,MJ,-0.176653724883594,-0.160721353123097,-0.204518291840851
20-34,Male,NHB,added_sugar,Food_price,USD,-0.164417783771245,-0.149588969621945,-0.190352308208116
20-34,Male,NHB,added_sugar,FL,mrh-eq,-0.00688841628698599,-0.00626715110167703,-0.00797496420430087
20-34,Male,NHB,oil,CED,MJ,-0.00320137962521788,0.00400491334985015,0.00470931687112028
20-34,Male,NHB,oil,Food_price,USD,-0.00279263827596059,0.00349357952571336,0.00410804718200905
20-34,Male,NHB,oil,FL,mrh-eq,-0.000158108132416079,0.000197792653281454,0.000232581381346702
20-34,Male,NHB,sat_fat,CED,MJ,-0.34918160344753,-0.284797800531127,-0.305263853464469
20-34,Male,NHB,sat_fat,Food_price,USD,-0.04762727864603,-0.0388455292883455,-0.0416370349009461
20-34,Male,NHB,sat_fat,FL,mrh-eq,-0.0093964891017378,-0.00766391872443463,-0.00821466092117418
20-34,Male,NHW,added_sugar,CED,MJ,-0.102973529465935,-0.109141475406044,-0.092777444748713
20-34,Male,NHW,added_sugar,Food_price,USD,-0.11217325784802,-0.118892252466549,-0.101066247668248
20-34,Male,NHW,added_sugar,FL,mrh-eq,-0.00422420828629024,-0.00447723145141559,-0.00380594171066068
20-34,Male,NHW,oil,CED,MJ,0.0160474688355681,0.0136217847200249,0.0105562965760766
20-34,Male,NHW,oil,Food_price,USD,0.0176349937672781,0.0149693444553954,0.0116005973423072
20-34,Male,NHW,oil,FL,mrh-eq,0.000822884875916726,0.000698500227291775,0.000541307597301055
20-34,Male,NHW,sat_fat,CED,MJ,-0.436697512298372,-0.41678706288929,-0.433523092486449
20-34,Male,NHW,sat_fat,Food_price,USD,-0.0765690796348228,-0.0730780481005567,-0.076012487493745
20-34,Male,NHW,sat_fat,FL,mrh-eq,-0.0118850114879309,-0.0113431354449203,-0.0117986175542131
20-34,Male,OTH,added_sugar,CED,MJ,-0.112025992703771,-0.10107577745007,-0.0837844670254448
20-34,Male,OTH,added_sugar,Food_price,USD,-0.141730655430149,-0.127876895712866,-0.106000644491342
20-34,Male,OTH,added_sugar,FL,mrh-eq,-0.00479034561891309,-0.00432210325479117,-0.00358270919865546
20-34,Male,OTH,oil,CED,MJ,0.0115842153516992,0.00819617753007807,0.00715907973828858
20-34,Male,OTH,oil,Food_price,USD,0.0183173824379909,0.0129600938682555,0.011320197138002
20-34,Male,OTH,oil,FL,mrh-eq,0.000613721221061894,0.000434226050628603,0.000379281550391538
20-34,Male,OTH,sat_fat,CED,MJ,-0.315832195400319,-0.312936887614468,-0.330134425498671
20-34,Male,OTH,sat_fat,Food_price,USD,-0.0707253953802186,-0.0700770390983575,-0.0739281432104159
20-34,Male,OTH,sat_fat,FL,mrh-eq,-0.00860481972417955,-0.00852593732426562,-0.00899448269534709
35-44,Female,HIS,added_sugar,CED,MJ,-0.161829612663779,-0.182245001572323,-0.163627243697702
35-44,Female,HIS,added_sugar,Food_price,USD,-0.171109272300611,-0.192695323718362,-0.173009983381955
35-44,Female,HIS,added_sugar,FL,mrh-eq,-0.00808558225811348,-0.00910560760226583,-0.00817539828964981
35-44,Female,HIS,oil,CED,MJ,0.00470132933684181,-0.0107997717010551,-0.00519753220333425
35-44,Female,HIS,oil,Food_price,USD,0.00388852498853234,-0.0089326186533888,-0.00429894023653822
