race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,-0.577674524386703,-0.602246169256068,-0.592624549313044
HIS,Food_price,USD,-0.232270768745179,-0.23757838998435,-0.23932607086143
HIS,FL,mrh-eq,-0.0185833374549058,-0.0193736800482375,-0.0191688670279696
NHB,CED,MJ,-0.631247396219181,-0.633297414356304,-0.623124087736325
NHB,Food_price,USD,-0.306202244022746,-0.310988236476105,-0.299691204657539
NHB,FL,mrh-eq,-0.0208370162328866,-0.0209774886839212,-0.0204769849267996
NHW,CED,MJ,-0.773045774286537,-0.7952411730629,-0.791347919785322
NHW,Food_price,USD,-0.345514813084671,-0.356900291158399,-0.349082206613029
NHW,FL,mrh-eq,-0.0251641953144411,-0.0258842507495688,-0.0256654307083984
OTH,CED,MJ,-0.568956377382388,-0.561111272525276,-0.551196686180736
OTH,Food_price,USD,-0.25480005576589,-0.249167194956606,-0.251648483279337
OTH,FL,mrh-eq,-0.0186973479064032,-0.0184193216441996,-0.0182190504319775
