age_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,added_sugar,CED,MJ,-0.15055652461494293,-0.1503614506830959,-0.1483169617409611,-0.14971253313562652,0.0013058311398569291,0,0,0,0,0,-0.15055652461494293,-0.1503614506830959,-0.1483169617409611,-0.14971253313562652,0.0013058311398569291,-5.874999084506836,-5.86091568059763,-5.77853668114367,-5.836952313739822,0.054847454160986645,-0.09969305159058336,-0.09956239553947174,-0.09820712946432877,-0.09913270781174144,8.660820924390946e-4,-0.050863473024359514,-0.050799055143624164,-0.05010983227663233,-0.05057982532388505,4.3974982402911786e-4,0.29562884713358234,0.2976733360757171,0.2978684100075641,0.29702441852824774,0.0013058311398569042,0.14731188539262127,0.14731188539262127,0.14731188539262127,0.14731188539262127,0,0.1957539363148128,0.1971092023899558,0.19723985844106745,0.19667951466222552,8.660820924391196e-4,0.09754680685048406,0.09754680685048406,0.09754680685048406,0.09754680685048406,0,0.09987491081876948,0.10056413368576134,0.10062855156649667,0.1003449038660222,4.3974982402912474e-4,0.04976507854213715,0.04976507854213715,0.04976507854213715,0.04976507854213715,0,-0.09969305159058336,-0.09956239553947174,-0.09820712946432877,-0.09913270781174144,8.660820924390946e-4,-0.050863473024359514,-0.050799055143624164,-0.05010983227663233,-0.05057982532388505,4.3974982402911786e-4,0,0,0,0,0,0,0,0,0,0,0.09987491081876948,0.10056413368576134,0.10062855156649667,0.1003449038660222,4.3974982402912474e-4,0.04976507854213715,0.04976507854213715,0.04976507854213715,0.04976507854213715,0
20-34,added_sugar,FL,mrh-eq,-0.006403972784600614,-0.006378880008214079,-0.006283730220644489,-0.0063542986007814285,6.677010030783409e-5,0,0,0,0,0,-0.006403972784600614,-0.006378880008214079,-0.006283730220644489,-0.0063542986007814285,6.677010030783409e-5,-5.874999084506836,-5.86091568059763,-5.77853668114367,-5.836952313739822,0.054847454160986645,-0.004240770475664553,-0.004224088301551146,-0.004161025565316708,-0.00420781442010517,4.427408622609976e-5,-0.0021632023089360607,-0.0021547917066629314,-0.0021227046553277825,-0.002146484180676258,2.2496032446977535e-5,0.012525246301678838,0.012620396089248427,0.012645488865634963,0.012595814681815776,6.677010030783392e-5,0.006241516081034348,0.006241516081034348,0.006241516081034348,0.006241516081034348,0,0.00829429187033524,0.008357354606569676,0.008374036780683084,0.0083410807251237,4.427408622609862e-5,0.004133266305018531,0.004133266305018531,0.004133266305018531,0.004133266305018531,0,0.004230954431343601,0.004263041482678748,0.004271452084951879,0.0042547339566920755,2.2496032446977704e-5,0.002108249776015818,0.002108249776015818,0.002108249776015818,0.002108249776015818,0,-0.004240770475664553,-0.004224088301551146,-0.004161025565316708,-0.00420781442010517,4.427408622609976e-5,-0.0021632023089360607,-0.0021547917066629314,-0.0021227046553277825,-0.002146484180676258,2.2496032446977535e-5,0,0,0,0,0,0,0,0,0,0,0.004230954431343601,0.004263041482678748,0.004271452084951879,0.0042547339566920755,2.2496032446977704e-5,0.002108249776015818,0.002108249776015818,0.002108249776015818,0.002108249776015818,0
20-34,added_sugar,Food_price,USD,-0.17189054634073878,-0.17125925853321916,-0.16887528099229507,-0.170644279679393,0.0016739654587194658,0,0,0,0,0,-0.17189054634073878,-0.17125925853321916,-0.16887528099229507,-0.170644279679393,0.0016739654587194658,-5.874999084506836,-5.86091568059763,-5.77853668114367,-5.836952313739822,0.054847454160986645,-0.11382850627480995,-0.11340857228997724,-0.11182840541225235,-0.1130014730293133,0.0011101542050124078,-0.05806204006592883,-0.0578506862432419,-0.057046875580042705,-0.0576428066500797,5.638118770429127e-4,0.3372777016183193,0.3396616791592434,0.34029296696676303,0.3390467003054172,0.0016739654587194712,0.16840242062602426,0.16840242062602426,0.16840242062602426,0.16840242062602426,0,0.22334858633251536,0.22492875321024028,0.22534868719507295,0.22452165394957632,0.0011101542050124078,0.11152018092026302,0.11152018092026302,0.11152018092026302,0.11152018092026302,0,0.11392911528580393,0.11473292594900311,0.11494427977169004,0.11452504635584092,5.638118770429075e-4,0.056882239705761235,0.056882239705761235,0.056882239705761235,0.056882239705761235,0,-0.11382850627480995,-0.11340857228997724,-0.11182840541225235,-0.1130014730293133,0.0011101542050124078,-0.05806204006592883,-0.0578506862432419,-0.057046875580042705,-0.0576428066500797,5.638118770429127e-4,0,0,0,0,0,0,0,0,0,0,0.11392911528580393,0.11473292594900311,0.11494427977169004,0.11452504635584092,5.638118770429075e-4,0.056882239705761235,0.056882239705761235,0.056882239705761235,0.056882239705761235,0
20-34,oil,CED,MJ,-0.0017407254724624893,-8.675234143952229e-4,9.056361031247036e-4,-5.517488672188512e-4,0.0014194146568742168,0,0,0,0,0,-0.0017407254724624893,-8.675234143952229e-4,9.056361031247036e-4,-5.517488672188512e-4,0.0014194146568742168,-0.18345604240044608,-0.08916224205416892,0.0983850529766018,-0.05644171760346944,0.15101974805615015,-0.0014400027664536216,-7.137104743202809e-4,7.653196267318501e-4,-4.495919448750914e-4,0.0011830190802718807,-3.0072270600886824e-4,-1.5381294007494234e-4,1.4031647639285342e-4,-1.0215692234375996e-4,2.3639730293141203e-4,0.15114838911739628,0.1529215486349162,0.15379475069298343,0.15260577408773982,0.0014194146568741886,0.15205402522052097,0.15205402522052097,0.15205402522052097,0.15205402522052097,0,0.12620731825582687,0.127686348356879,0.12841264064901234,0.12742222982743379,0.001183019080271876,0.12697263788255872,0.12697263788255872,0.12697263788255872,0.12697263788255872,0,0.024941070861569395,0.025235200278037193,0.025382110043971118,0.02518354426030601,2.363973029314112e-4,0.025081387337962252,0.025081387337962252,0.025081387337962252,0.025081387337962252,0,-0.0014400027664536216,-7.137104743202809e-4,7.653196267318501e-4,-4.495919448750914e-4,0.0011830190802718807,-3.0072270600886824e-4,-1.5381294007494234e-4,1.4031647639285342e-4,-1.0215692234375996e-4,2.3639730293141203e-4,0,0,0,0,0,0,0,0,0,0,0.024941070861569395,0.025235200278037193,0.025382110043971118,0.02518354426030601,2.363973029314112e-4,0.025081387337962252,0.025081387337962252,0.025081387337962252,0.025081387337962252,0
20-34,oil,FL,mrh-eq,-9.615166270310769e-5,-4.854159384265618e-5,4.24415083777536e-5,-3.33229856461796e-5,7.412488602934515e-5,0,0,0,0,0,-9.615166270310769e-5,-4.854159384265618e-5,4.24415083777536e-5,-3.33229856461796e-5,7.412488602934515e-5,-0.18345604240044608,-0.08916224205416892,0.0983850529766018,-0.05644171760346944,0.15101974805615015,-7.957981748325603e-5,-3.997306124227159e-5,3.5915581109891656e-5,-2.7242574887472012e-5,6.177875556967199e-5,-1.6571845219851578e-5,-8.568532600384553e-6,6.525927267861984e-6,-6.080410758707531e-6,1.234621242770095e-5,0.007872060764767241,0.007963043866987651,0.008010653935848102,0.007947825258791175,7.412488602934447e-5,0.007914502273144993,0.007914502273144993,0.007914502273144993,0.007914502273144993,0,0.00657304283981748,0.006648931482169643,0.006688538238410629,0.006636200995814845,6.177875556967236e-5,0.006608958420927372,0.006608958420927372,0.006608958420927372,0.006608958420927372,0,0.0012990179249497606,0.001314112384818007,0.001322115697437474,0.0013116242629763301,1.2346212427700904e-5,0.0013055438522176228,0.0013055438522176228,0.0013055438522176228,0.0013055438522176228,0,-7.957981748325603e-5,-3.997306124227159e-5,3.5915581109891656e-5,-2.7242574887472012e-5,6.177875556967199e-5,-1.6571845219851578e-5,-8.568532600384553e-6,6.525927267861984e-6,-6.080410758707531e-6,1.234621242770095e-5,0,0,0,0,0,0,0,0,0,0,0.0012990179249497606,0.001314112384818007,0.001322115697437474,0.0013116242629763301,1.2346212427700904e-5,0.0013055438522176228,0.0013055438522176228,0.0013055438522176228,0.0013055438522176228,0
20-34,oil,Food_price,USD,-0.002037698820683527,-0.0012950895319647287,7.430686824608997e-4,-8.405109615412795e-4,0.0015155838901317858,0,0,0,0,0,-0.002037698820683527,-0.0012950895319647287,7.430686824608997e-4,-8.405109615412795e-4,0.0015155838901317858,-0.18345604240044608,-0.08916224205416892,0.0983850529766018,-0.05644171760346944,0.15101974805615015,-0.001686063307432068,-0.0010692675578738637,6.308927528598961e-4,-6.891396416719145e-4,0.0012631043456625374,-3.5163551325145977e-4,-2.258219740908645e-4,1.1217592960100395e-4,-1.5137131986936515e-4,2.5248266227087003e-4,0.1720570673072425,0.17409522552166817,0.17483783481038698,0.1736406469512447,0.0015155838901318233,0.1728001359897034,0.1728001359897034,0.1728001359897034,0.17280013598970342,0,0.1436748611975772,0.14537502150831094,0.14599181725786917,0.14499489359210901,0.0012631043456625443,0.14430575395043707,0.14430575395043707,0.14430575395043707,0.14430575395043707,0,0.02838220610966534,0.02872020401335721,0.028846017552517807,0.028645753359135707,2.524826622708726e-4,0.028494382039266346,0.028494382039266346,0.028494382039266346,0.028494382039266342,0,-0.001686063307432068,-0.0010692675578738637,6.308927528598961e-4,-6.891396416719145e-4,0.0012631043456625374,-3.5163551325145977e-4,-2.258219740908645e-4,1.1217592960100395e-4,-1.5137131986936515e-4,2.5248266227087003e-4,0,0,0,0,0,0,0,0,0,0,0.02838220610966534,0.02872020401335721,0.028846017552517807,0.028645753359135707,2.524826622708726e-4,0.028494382039266346,0.028494382039266346,0.028494382039266346,0.028494382039266342,0
20-34,sat_fat,CED,MJ,-0.4326658080781605,-0.42451921495499173,-0.41816912641513304,-0.42514956744036364,0.0076493366687187675,0,0,0,0,0,-0.4326658080781605,-0.42451921495499173,-0.41816912641513304,-0.42514956744036364,0.0076493366687187675,-8.476599799149664,-8.320588795767415,-8.193268345836294,-8.330655656627462,0.14937644637000932,-0.3339825975250763,-0.3276089032279376,-0.3228008406163381,-0.328158247679004,0.005904333238795601,-0.0986832105530841,-0.09691031172705407,-0.095368285798795,-0.09699131976135966,0.0017461071508753508,0.9237533058086345,0.930103394348493,0.9382499874716618,0.930733746833865,0.007649336668718743,0.5055841793935013,0.5055841793935013,0.5055841793935013,0.5055841793935013,0,0.712744751402474,0.7175528140140736,0.7239265083112122,0.71810215846514,0.005904333238795707,0.38994391078613577,0.38994391078613577,0.38994391078613577,0.38994391078613577,0,0.21100855440616056,0.2125505803344196,0.21432347916044966,0.21263158836872523,0.001746107150875338,0.11564026860736552,0.11564026860736552,0.11564026860736552,0.11564026860736552,0,-0.3339825975250763,-0.3276089032279376,-0.3228008406163381,-0.328158247679004,0.005904333238795601,-0.0986832105530841,-0.09691031172705407,-0.095368285798795,-0.09699131976135966,0.0017461071508753508,0,0,0,0,0,0,0,0,0,0,0.21100855440616056,0.2125505803344196,0.21432347916044966,0.21263158836872523,0.001746107150875338,0.11564026860736552,0.11564026860736552,0.11564026860736552,0.11564026860736552,0
20-34,sat_fat,FL,mrh-eq,-0.011581840369113278,-0.011367929764323804,-0.011193281118659904,-0.011381705890332777,2.0485257513971062e-4,0,0,0,0,0,-0.011581840369113278,-0.011367929764323804,-0.011193281118659904,-0.011381705890332777,2.0485257513971062e-4,-8.476599799149664,-8.320588795767415,-8.193268345836294,-8.330655656627462,0.14937644637000932,-0.008938198453772176,-0.008770856067000808,-0.008638556950570286,-0.008783151951330928,1.5806514842546182e-4,-0.0026436419153411054,-0.002597073697322997,-0.002554724168089619,-0.0025985539390018498,4.681636851007246e-5,0.024748536981778188,0.02492318562744209,0.025137096232231565,0.024936961753451063,2.048525751397124e-4,0.013555255863118282,0.013555255863118282,0.013555255863118282,0.013555255863118282,0,0.019091060689874484,0.019223359806305,0.01939070219307637,0.019235655690635123,1.5806514842546196e-4,0.010452503739304193,0.010452503739304193,0.010452503739304193,0.010452503739304194,0,0.0056574762919037085,0.005699825821137087,0.005746394039155196,0.00570130606281594,4.681636851007311e-5,0.00310275212381409,0.00310275212381409,0.00310275212381409,0.00310275212381409,0,-0.008938198453772176,-0.008770856067000808,-0.008638556950570286,-0.008783151951330928,1.5806514842546182e-4,-0.0026436419153411054,-0.002597073697322997,-0.002554724168089619,-0.0025985539390018498,4.681636851007246e-5,0,0,0,0,0,0,0,0,0,0,0.0056574762919037085,0.005699825821137087,0.005746394039155196,0.00570130606281594,4.681636851007311e-5,0.00310275212381409,0.00310275212381409,0.00310275212381409,0.00310275212381409,0
20-34,sat_fat,Food_price,USD,-0.0765700089653079,-0.07494900015971534,-0.07396460231091985,-0.07517237242525816,0.001384844262055484,0,0,0,0,0,-0.0765700089653079,-0.07494900015971534,-0.07396460231091985,-0.07517237242525816,0.001384844262055484,-8.476599799149664,-8.320588795767415,-8.193268345836294,-8.330655656627462,0.14937644637000932,-0.059080686746536513,-0.05781681593618976,-0.05707229458936272,-0.057999043818126504,0.0010687641414506594,-0.017489322218771378,-0.017132184223525596,-0.016892307721557132,-0.017173328607131676,3.1623202724597664e-4,0.1636573902852197,0.1646417881340152,0.16626279693960777,0.16486516039955804,0.0013848442620554913,0.08969278797429985,0.08969278797429985,0.08969278797429985,0.08969278797429985,0,0.1262228734481962,0.12696739479502323,0.12823126560537002,0.12714962267695998,0.0010687641414506754,0.0691505788588335,0.0691505788588335,0.0691505788588335,0.0691505788588335,0,0.0374345168370235,0.03767439333899196,0.03803153133423774,0.03771553772259804,3.16232027245975e-4,0.020542209115466368,0.020542209115466368,0.020542209115466368,0.020542209115466368,0,-0.059080686746536513,-0.05781681593618976,-0.05707229458936272,-0.057999043818126504,0.0010687641414506594,-0.017489322218771378,-0.017132184223525596,-0.016892307721557132,-0.017173328607131676,3.1623202724597664e-4,0,0,0,0,0,0,0,0,0,0,0.0374345168370235,0.03767439333899196,0.03803153133423774,0.03771553772259804,3.16232027245975e-4,0.020542209115466368,0.020542209115466368,0.020542209115466368,0.020542209115466368,0
35-44,added_sugar,CED,MJ,-0.19993827021864743,-0.18932316521055137,-0.18798471762253746,-0.19257813272636967,0.006893991066492737,0,0,0,0,0,-0.19993827021864743,-0.18932316521055137,-0.18798471762253746,-0.19257813272636967,0.006893991066492737,-7.900850907023639,-7.477916847259903,-7.42202736763071,-7.606704419236936,0.2755901364508514,-0.13247744501563397,-0.12544251657374123,-0.12455412314713982,-0.12759919552647506,0.004569328281143365,-0.06746082520301346,-0.06388064863681017,-0.06343059447539767,-0.06497893719989466,0.0023246629323560157,0.3583286407261638,0.3596670883141778,0.3702821933222738,0.3629220558299961,0.006893991066492733,0.1703439231036264,0.1703439231036264,0.1703439231036264,0.17034392310362642,0,0.23744890084086884,0.23833729426747025,0.245372222709363,0.24049397322020405,0.004569328281143369,0.11289477769372903,0.11289477769372903,0.11289477769372903,0.11289477769372903,0,0.12087973988529506,0.12132979404670755,0.12490997061291084,0.12242808260979204,0.002324662932356019,0.05744914540989737,0.05744914540989737,0.05744914540989737,0.05744914540989737,0,-0.13247744501563397,-0.12544251657374123,-0.12455412314713982,-0.12759919552647506,0.004569328281143365,-0.06746082520301346,-0.06388064863681017,-0.06343059447539767,-0.06497893719989466,0.0023246629323560157,0,0,0,0,0,0,0,0,0,0,0.12087973988529506,0.12132979404670755,0.12490997061291084,0.12242808260979204,0.002324662932356019,0.05744914540989737,0.05744914540989737,0.05744914540989737,0.05744914540989737,0
