age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,-5141199.85781068,-4664465.86393359,-5159408.26953273
20-34,NHW,added_sugar,Food_price,USD,-15144143.0998107,-13690599.8142831,-15147084.6790611
20-34,NHW,added_sugar,FL,mrh-eq,-224881.269426325,-203367.438123931,-224997.405102552
20-34,NHW,oil,CED,MJ,-126688.181967947,169436.786286191,122316.995751643
20-34,NHW,oil,Food_price,USD,17908.5707575749,93628.4419017345,88435.106678278
20-34,NHW,oil,FL,mrh-eq,-7098.95013748103,8333.54444814002,5810.22628514742
20-34,NHW,sat_fat,CED,MJ,-13394448.2174875,-13683837.5184745,-12995753.7681654
20-34,NHW,sat_fat,Food_price,USD,-602152.881689155,-615540.376931025,-584313.810594247
20-34,NHW,sat_fat,FL,mrh-eq,-357853.386614793,-364905.538955438,-347049.918558414
20-34,NHB,added_sugar,CED,MJ,-1720910.83033196,-1692199.39823604,-1797187.84792433
20-34,NHB,added_sugar,Food_price,USD,-4527630.64927447,-4428551.68416661,-4729373.40106753
20-34,NHB,added_sugar,FL,mrh-eq,-67396.1727862708,-66223.7340635587,-70385.5812686213
20-34,NHB,oil,CED,MJ,-99066.4775511194,-184040.674826358,-95746.3198355443
20-34,NHB,oil,Food_price,USD,-47442.6479755781,-58925.1335713972,-56823.2599922724
20-34,NHB,oil,FL,mrh-eq,-5184.8205041953,-9452.1983165532,-5078.6166024046
20-34,NHB,sat_fat,CED,MJ,-3386477.58965356,-3167253.7141922,-3148220.20984064
20-34,NHB,sat_fat,Food_price,USD,-169278.377596039,-159023.290426411,-158022.080889434
20-34,NHB,sat_fat,FL,mrh-eq,-89763.0824825183,-84022.8744439249,-83513.3662162636
20-34,HIS,added_sugar,CED,MJ,-1877094.56991966,-1885108.89155178,-2059605.43041238
20-34,HIS,added_sugar,Food_price,USD,-4503853.79119286,-4495825.26789903,-4921547.96894657
20-34,HIS,added_sugar,FL,mrh-eq,-74699.0703009562,-75869.4616920678,-82593.6477398031
20-34,HIS,oil,CED,MJ,96882.6195676119,146777.085396934,88847.2984200187
20-34,HIS,oil,Food_price,USD,-6433.44001409134,632.458077214298,-4782.77839786288
20-34,HIS,oil,FL,mrh-eq,5097.11657125213,7687.59893258349,4670.65200970247
20-34,HIS,sat_fat,CED,MJ,-4510096.39465371,-4459020.52275927,-4510133.4736851
20-34,HIS,sat_fat,Food_price,USD,-221988.36829127,-219532.519302297,-222040.216148589
20-34,HIS,sat_fat,FL,mrh-eq,-123926.956867848,-122527.435332325,-123931.353457722
20-34,OTH,added_sugar,CED,MJ,-813938.49888976,-912905.726138886,-925919.095285967
20-34,OTH,added_sugar,Food_price,USD,-2106632.71221073,-2366672.6443268,-2408672.92311613
20-34,OTH,added_sugar,FL,mrh-eq,-35869.5517338273,-40245.7697664643,-40850.9236549948
20-34,OTH,oil,CED,MJ,-73011.2358740628,-67782.651857148,-4418.29762620331
20-34,OTH,oil,Food_price,USD,-29567.5502528634,-23774.4962917319,-11520.8255744227
20-34,OTH,oil,FL,mrh-eq,-3708.73379613007,-3462.94608753536,-171.993338099899
20-34,OTH,sat_fat,CED,MJ,-2290323.78857108,-2271115.41140305,-2176768.47099105
20-34,OTH,sat_fat,Food_price,USD,-128450.564361753,-127282.325832768,-121919.929329591
20-34,OTH,sat_fat,FL,mrh-eq,-61639.1151296234,-61079.2743303305,-58506.6319814919
35-44,NHW,added_sugar,CED,MJ,-2681080.789703,-2684825.88947172,-2800367.07645028
35-44,NHW,added_sugar,Food_price,USD,-7893650.22592655,-7909217.47370588,-8241519.0587379
35-44,NHW,added_sugar,FL,mrh-eq,-119623.526021412,-119665.908299254,-125037.378456432
35-44,NHW,oil,CED,MJ,-79156.0907543346,-164843.876869646,-366514.036923636
35-44,NHW,oil,Food_price,USD,-73797.7199779569,-91814.4170523454,-142270.446494904
35-44,NHW,oil,FL,mrh-eq,-3803.25983808802,-7894.80531029118,-17527.7715265739
35-44,NHW,sat_fat,CED,MJ,-7140469.09134029,-6904037.39367082,-8011080.24063383
35-44,NHW,sat_fat,Food_price,USD,-342462.414429569,-330819.593292821,-384882.89383279
35-44,NHW,sat_fat,FL,mrh-eq,-194063.440653566,-187741.467232706,-217497.338872762
35-44,NHB,added_sugar,CED,MJ,-995474.932099393,-1051393.932079,-1121456.01155326
35-44,NHB,added_sugar,Food_price,USD,-2444007.6490414,-2581643.72339505,-2759438.55106156
35-44,NHB,added_sugar,FL,mrh-eq,-40047.6703112261,-42292.8217314652,-45037.4495231954
35-44,NHB,oil,CED,MJ,-22286.4328422337,-53421.3749012725,12433.4826238974
35-44,NHB,oil,Food_price,USD,0,0,0
35-44,NHB,oil,FL,mrh-eq,-1061.05232295209,-2631.21925762433,665.910549355474
35-44,NHB,sat_fat,CED,MJ,-1771852.00943889,-1722408.792577,-1753048.08646465
35-44,NHB,sat_fat,Food_price,USD,-96378.6300489991,-94389.9707316321,-95619.0752948975
35-44,NHB,sat_fat,FL,mrh-eq,-47741.2293224208,-46342.0988902416,-47209.4306037999
35-44,HIS,added_sugar,CED,MJ,-989936.251828403,-940039.268230185,-1049565.75046056
35-44,HIS,added_sugar,Food_price,USD,-2551402.73706916,-2422590.77348936,-2729163.98184816
35-44,HIS,added_sugar,FL,mrh-eq,-45178.2941626754,-42896.8066611665,-48392.7047511023
35-44,HIS,oil,CED,MJ,131911.48998524,138196.614028124,-9664.36768550178
35-44,HIS,oil,Food_price,USD,46494.7717111024,49141.3658571492,-2845.30436398204
35-44,HIS,oil,FL,mrh-eq,6731.37559027223,7056.7091204988,-487.174224906053
35-44,HIS,sat_fat,CED,MJ,-2407333.09764133,-2380187.92185824,-2369684.73745197
35-44,HIS,sat_fat,Food_price,USD,-99535.6145117773,-98712.8966329182,-98880.8478565941
35-44,HIS,sat_fat,FL,mrh-eq,-65973.0325872119,-65203.4420920753,-64863.9989505294
35-44,OTH,added_sugar,CED,MJ,-387231.255682957,-417395.46007315,-397640.008733179
35-44,OTH,added_sugar,Food_price,USD,-1003675.9234446,-1070912.92416448,-1027858.8893021
35-44,OTH,added_sugar,FL,mrh-eq,-19738.3480091411,-21249.4031160962,-20262.1439666201
35-44,OTH,oil,CED,MJ,23472.9135083382,949.855556292298,56305.9981700017
35-44,OTH,oil,Food_price,USD,2299.99254139794,-2057.26089172413,6174.97427174266
35-44,OTH,oil,FL,mrh-eq,1284.24575924857,30.2020140473411,3087.2622786809
35-44,OTH,sat_fat,CED,MJ,-1100243.09628107,-1039128.95704958,-915255.569273829
35-44,OTH,sat_fat,Food_price,USD,-54693.1824641054,-51395.0380972941,-45068.2176086148
35-44,OTH,sat_fat,FL,mrh-eq,-29731.8555254315,-28104.7556459026,-24773.174500592
45-54,NHW,added_sugar,CED,MJ,-2323157.86288874,-3129809.68166632,-2421871.79916094
45-54,NHW,added_sugar,Food_price,USD,-6329052.96533426,-8277791.45681032,-6573072.56629107
45-54,NHW,added_sugar,FL,mrh-eq,-104733.206337913,-140550.065136483,-109128.515617217
45-54,NHW,oil,CED,MJ,-157570.712746002,70436.095681752,-80321.6310796832
45-54,NHW,oil,Food_price,USD,-53122.6764531913,24052.3256653144,-26569.8922182669
45-54,NHW,oil,FL,mrh-eq,-8569.89769970731,3723.35656863227,-4547.55024870929
45-54,NHW,sat_fat,CED,MJ,-7502508.5618324,-8364739.14895853,-8067643.97299126
45-54,NHW,sat_fat,Food_price,USD,-348684.468175172,-391375.337892759,-375789.146670452
45-54,NHW,sat_fat,FL,mrh-eq,-204431.529384201,-227640.751730668,-219739.11574867
45-54,NHB,added_sugar,CED,MJ,-731687.942095226,-806133.559926774,-760427.4672986
45-54,NHB,added_sugar,Food_price,USD,-1677000.9245888,-1837942.69887319,-1732267.89969283
45-54,NHB,added_sugar,FL,mrh-eq,-31219.1562017663,-34433.7600385531,-32487.2265225689
45-54,NHB,oil,CED,MJ,-29295.1782655959,-35505.3820482724,-89912.2138124078
45-54,NHB,oil,Food_price,USD,0,0,0
45-54,NHB,oil,FL,mrh-eq,-1410.28552137972,-1706.26933463766,-4362.01155509224
45-54,NHB,sat_fat,CED,MJ,-1161783.87029706,-1323228.42181145,-1133034.07934418
45-54,NHB,sat_fat,Food_price,USD,-80635.5697236435,-92064.0915797177,-78503.7330136699
45-54,NHB,sat_fat,FL,mrh-eq,-31291.494029869,-35711.1257061326,-30473.5803333532
45-54,HIS,added_sugar,CED,MJ,-702048.92570447,-721758.809357464,-731399.206748639
45-54,HIS,added_sugar,Food_price,USD,-1558279.01284096,-1594964.75341717,-1625878.49117889
45-54,HIS,added_sugar,FL,mrh-eq,-32444.1337946859,-33302.4858831338,-33818.7517607437
45-54,HIS,oil,CED,MJ,65405.9331445211,61818.8109797968,50962.7249802957
45-54,HIS,oil,Food_price,USD,8893.02505635674,8061.70054385416,6078.93760238643
45-54,HIS,oil,FL,mrh-eq,3178.44903670502,3003.0402304404,2473.87341597339
45-54,HIS,sat_fat,CED,MJ,-1329975.58777549,-1392696.32489037,-1326941.3600952
45-54,HIS,sat_fat,Food_price,USD,-59190.7143589998,-61976.5040934176,-59054.3310379295
45-54,HIS,sat_fat,FL,mrh-eq,-36355.5976211062,-38122.0286242823,-36285.1154331833
45-54,OTH,added_sugar,CED,MJ,-288381.646568101,-267632.683812857,-278915.112222811
45-54,OTH,added_sugar,Food_price,USD,-436423.785894585,-393398.770378889,-446562.470161254
45-54,OTH,added_sugar,FL,mrh-eq,-14063.7151958043,-13035.055471245,-13637.3694457575
45-54,OTH,oil,CED,MJ,-14357.2874846473,-11949.6601770769,-8049.62696095406
45-54,OTH,oil,Food_price,USD,-1540.16629031157,-4288.11904449699,-1546.09387548699
45-54,OTH,oil,FL,mrh-eq,-773.239124752146,-718.879080151926,-450.626864440755
45-54,OTH,sat_fat,CED,MJ,-1088054.71223896,-1077971.22294587,-1098515.82114881
45-54,OTH,sat_fat,Food_price,USD,-55194.1589890063,-53712.8931638731,-55161.7047510945
45-54,OTH,sat_fat,FL,mrh-eq,-29492.0294866909,-28977.87418036,-29635.7300172205
55-64,NHW,added_sugar,CED,MJ,-3001595.39385334,-3575228.31816184,-3120847.62202027
55-64,NHW,added_sugar,Food_price,USD,-7390097.50825241,-8862872.44012899,-7731733.7678276
55-64,NHW,added_sugar,FL,mrh-eq,-140488.105569537,-167716.340224252,-146371.249597075
55-64,NHW,oil,CED,MJ,-126552.945895958,-157172.789463736,-100603.269383348
55-64,NHW,oil,Food_price,USD,-43730.8804584793,-54501.4615230589,-35503.9933822135
55-64,NHW,oil,FL,mrh-eq,-6578.56925937549,-8153.53238279832,-5164.34461347442
55-64,NHW,sat_fat,CED,MJ,-9406608.51888074,-10175041.7813611,-9820197.70218666
55-64,NHW,sat_fat,Food_price,USD,-456379.882989436,-493288.704407412,-477489.736632751
55-64,NHW,sat_fat,FL,mrh-eq,-258164.197094802,-279189.204043814,-269695.896740651
55-64,NHB,added_sugar,CED,MJ,-773160.828921351,-766277.143774162,-699013.177267802
55-64,NHB,added_sugar,Food_price,USD,-1909189.34290505,-1895265.70181518,-1725463.07621926
55-64,NHB,added_sugar,FL,mrh-eq,-33882.3480986319,-33626.906427886,-30623.4735761929
55-64,NHB,oil,CED,MJ,-63354.6499837994,-85189.0113488182,-40934.6699061688
55-64,NHB,oil,Food_price,USD,-10131.9983645151,-11151.3487498335,-10320.498461149
55-64,NHB,oil,FL,mrh-eq,-3153.98047415048,-4217.53596646137,-2073.6008588692
55-64,NHB,sat_fat,CED,MJ,-1352244.68290904,-1413743.42100407,-1255083.57064637
55-64,NHB,sat_fat,Food_price,USD,-62716.2124504334,-66578.5103928814,-58318.7948912982
55-64,NHB,sat_fat,FL,mrh-eq,-36790.593956748,-38443.0062086099,-34144.8861036586
55-64,HIS,added_sugar,CED,MJ,-533446.451599268,-613458.584267418,-641283.594156123
55-64,HIS,added_sugar,Food_price,USD,-1060433.26801829,-1163583.70251569,-1232478.72976394
55-64,HIS,added_sugar,FL,mrh-eq,-25481.4715971069,-29278.7975424177,-30613.9242692172
