age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,NHW,CED,MJ,-18662336.2572661,-18178866.5961219,-18032845.0419465
20-34,NHW,Food_price,USD,-15728387.4107423,-14212511.7493124,-15642963.382977
20-34,NHW,FL,mrh-eq,-589833.606178599,-559939.432631229,-566237.097375819
20-34,NHB,CED,MJ,-5206454.89753663,-5043493.78725459,-5041154.37760051
20-34,NHB,Food_price,USD,-4744351.67484609,-4646500.10816442,-4944218.74194923
20-34,NHB,FL,mrh-eq,-162344.075772984,-159698.806824037,-158977.56408729
20-34,HIS,CED,MJ,-6290308.34500576,-6197352.32891411,-6480891.60567745
20-34,HIS,Food_price,USD,-4732275.59949822,-4714725.32912411,-5148370.96349302
20-34,HIS,FL,mrh-eq,-193528.910597552,-190709.29809181,-201854.349187823
20-34,OTH,CED,MJ,-3177273.5233349,-3251803.78939909,-3107105.86390322
20-34,OTH,Food_price,USD,-2264650.82682535,-2517729.4664513,-2542113.67802015
20-34,OTH,FL,mrh-eq,-101217.400659581,-104787.99018433,-99529.5489745866
35-44,NHW,CED,MJ,-9900705.97179762,-9753707.16001218,-11177961.3540077
35-44,NHW,Food_price,USD,-8309910.36033408,-8331851.48405104,-8768672.3990656
35-44,NHW,FL,mrh-eq,-317490.226513066,-315302.180842251,-360062.488855768
35-44,NHB,CED,MJ,-2789613.37438052,-2827224.09955727,-2862070.61539401
35-44,NHB,Food_price,USD,-2540386.2790904,-2676033.69412669,-2855057.62635646
35-44,NHB,FL,mrh-eq,-88849.951956599,-91266.1398793311,-91580.9695776398
35-44,HIS,CED,MJ,-3265357.85948449,-3182030.5760603,-3428914.85559802
35-44,HIS,Food_price,USD,-2604443.57986983,-2472162.30426513,-2830890.13406874
35-44,HIS,FL,mrh-eq,-104419.951159615,-101043.539632743,-113743.877926538
35-44,OTH,CED,MJ,-1464001.43845569,-1455574.56156644,-1256589.57983701
35-44,OTH,Food_price,USD,-1056069.11336731,-1124365.2231535,-1066752.13263898
35-44,OTH,FL,mrh-eq,-48185.957775324,-49323.9567479515,-41948.0561885312
45-54,NHW,CED,MJ,-9983237.13746714,-11424112.7349431,-10569837.4032319
45-54,NHW,Food_price,USD,-6730860.10996262,-8645114.46903777,-6975431.60517979
45-54,NHW,FL,mrh-eq,-317734.633421821,-364467.460298519,-333415.181614597
45-54,NHB,CED,MJ,-1922766.99065788,-2164867.3637865,-1983373.76045519
