age_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,HIS,added_sugar,CED,MJ,-2050880.6034693466,-1885108.8915517775,-1877495.286001262,-1940602.96396127,103137.03313500356,0,0,0,0,0,-2050880.6034693466,-1885108.8915517775,-1877495.286001262,-1940602.96396127,103137.03313500356,-79593916.45114142,-73186138.0123901,-72811011.4649326,-75302857.97424759,4013093.6318966364,-1356887.0055950598,-1247282.6105817796,-1242022.3117829447,-1283894.5741657955,68265.26398329783,-693993.597874287,-637826.2809699979,-635472.9742183173,-656708.3897954746,34872.062528098635,3719269.0369200762,3726882.642470592,3892654.354388161,3782376.7148800846,103137.03313500377,1841773.7509188144,1841773.7509188144,1841773.7509188144,1841773.7509188142,0,2460279.012006548,2465539.3108053827,2575143.7058186624,2502151.2743893983,68265.26398329776,1218256.7002236028,1218256.7002236028,1218256.7002236028,1218256.7002236028,0,1258990.0249135294,1261343.3316652097,1317510.6485694987,1280225.4404906863,34872.06252809843,623517.0506952119,623517.0506952119,623517.0506952119,623517.0506952119,0,-1356887.0055950598,-1247282.6105817796,-1242022.3117829447,-1283894.5741657955,68265.26398329783,-693993.597874287,-637826.2809699979,-635472.9742183173,-656708.3897954746,34872.062528098635,0,0,0,0,0,0,0,0,0,0,1258990.0249135294,1261343.3316652097,1317510.6485694987,1280225.4404906863,34872.06252809843,623517.0506952119,623517.0506952119,623517.0506952119,623517.0506952119,0
20-34,HIS,added_sugar,FL,mrh-eq,-82257.43843741638,-75869.4616920678,-74757.58987051179,-77720.72657760904,4260.454728290901,0,0,0,0,0,-82257.43843741638,-75869.4616920678,-74757.58987051179,-77720.72657760904,4260.454728290901,-79593916.45114142,-73186138.0123901,-72811011.4649326,-75302857.97424759,4013093.6318966364,-54428.98721071322,-50204.973711830695,-49460.44152154207,-51425.84434642505,2820.6815835617995,-27828.451226703153,-25664.487980237107,-25297.148348969724,-26294.882231184005,1439.7836091887114,147605.8108397008,148717.6826612568,155105.65940660538,150568.94754679807,4260.454728290898,72848.22096918899,72848.22096918899,72848.22096918899,72848.22096918899,0,97652.26056976434,98396.79276005297,102620.80625893548,99617.6633946473,2820.6815835617995,48191.81904822227,48191.81904822227,48191.81904822227,48191.81904822227,0,49953.550269936444,50320.88990120383,52484.85314766987,50951.28415215073,1439.7836091887086,24656.40192096672,24656.40192096672,24656.40192096672,24656.40192096672,0,-54428.98721071322,-50204.973711830695,-49460.44152154207,-51425.84434642505,2820.6815835617995,-27828.451226703153,-25664.487980237107,-25297.148348969724,-26294.882231184005,1439.7836091887114,0,0,0,0,0,0,0,0,0,0,49953.550269936444,50320.88990120383,52484.85314766987,50951.28415215073,1439.7836091887086,24656.40192096672,24656.40192096672,24656.40192096672,24656.40192096672,0
20-34,HIS,added_sugar,Food_price,USD,-4900663.260058886,-4503853.7911928585,-4496226.694063718,-4640409.009346153,243506.57126754246,0,0,0,0,0,-4900663.260058886,-4503853.7911928585,-4496226.694063718,-4640409.009346153,243506.57126754246,-79593916.45114142,-73186138.0123901,-72811011.4649326,-75302857.97424759,4013093.6318966364,-3242101.31411389,-2979223.0223084306,-2974711.1075874665,-3069877.891460885,161149.42408625953,-1658561.9459449968,-1524630.7688844278,-1521515.5864762526,-1570531.117885268,82357.87634303364,8929586.595870178,8937213.692999318,9334023.161865346,9073768.911152612,243506.5712675422,4433359.901806459,4433359.901806459,4433359.901806459,4433359.901806459,0,5907010.069115228,5911521.983836193,6174400.275641652,6002176.852988646,161149.424086259,2932298.961527762,2932298.961527762,2932298.961527762,2932298.9615277625,0,3022576.5267549492,3025691.7091631247,3159622.886223694,3071592.0581639647,82357.87634303379,1501060.9402786968,1501060.9402786968,1501060.9402786968,1501060.9402786968,0,-3242101.31411389,-2979223.0223084306,-2974711.1075874665,-3069877.891460885,161149.42408625953,-1658561.9459449968,-1524630.7688844278,-1521515.5864762526,-1570531.117885268,82357.87634303364,0,0,0,0,0,0,0,0,0,0,3022576.5267549492,3025691.7091631247,3159622.886223694,3071592.0581639647,82357.87634303379,1501060.9402786968,1501060.9402786968,1501060.9402786968,1501060.9402786968,0
20-34,HIS,oil,CED,MJ,89249.06447739835,96882.61956761191,144282.36210546788,110835.66779485485,31384.402510188418,0,0,0,0,0,89249.06447739835,96882.61956761191,144282.36210546788,110835.66779485485,31384.402510188418,9732615.327503052,10577341.564026428,15647133.358571243,12059820.707191845,3367266.1066739643,74710.79190614521,81113.22774972203,120692.07917711427,92754.0753229906,26216.498453478383,14538.272571253128,15769.391817889871,23590.282928353616,18081.59247186426,5167.925868053464,1929403.843172744,1976803.5857106,1984437.1408008137,1962850.537483357,31384.402510188447,2073686.2052782117,2073686.2052782117,2073686.2052782117,2073686.2052782115,0,1611567.064550548,1651145.9159779404,1657548.3518215173,1639505.068404672,26216.498453478427,1732259.1437276625,1732259.1437276625,1732259.1437276625,1732259.1437276627,0,317836.7786221958,325657.66973265953,326888.7889792963,323345.46907868516,5167.925868053446,341427.06155054946,341427.06155054946,341427.06155054946,341427.06155054946,0,74710.79190614521,81113.22774972203,120692.07917711427,92754.0753229906,26216.498453478383,14538.272571253128,15769.391817889871,23590.282928353616,18081.59247186426,5167.925868053464,0,0,0,0,0,0,0,0,0,0,317836.7786221958,325657.66973265953,326888.7889792963,323345.46907868516,5167.925868053446,341427.06155054946,341427.06155054946,341427.06155054946,341427.06155054946,0
20-34,HIS,oil,FL,mrh-eq,4691.975237779956,5097.116571252131,7558.074814516917,5818.455837846029,1632.709385352448,0,0,0,0,0,4691.975237779956,5097.116571252131,7558.074814516917,5818.455837846029,1632.709385352448,9732615.327503052,10577341.564026428,15647133.358571243,12059820.707191845,3367266.1066739643,3927.6237170876693,4267.400457530158,6322.325762314438,4869.206971334295,1363.8766733984407,764.351520692287,829.7161137219721,1235.7490522024798,949.2488665117344,268.8338449138851,100332.05889288717,102793.01713615196,103198.15846962413,102071.67786955806,1632.709385352453,107890.13370740408,107890.13370740408,107890.13370740408,107890.13370740408,0,83804.97127755954,85859.89658234382,86199.6733227863,85258.09006853968,1363.8766733984407,90127.29703987399,90127.29703987399,90127.29703987399,90127.29703987397,0,16527.08761532762,16933.120553808127,16998.48514683781,16813.587801018362,268.83384491388586,17762.8366675301,17762.8366675301,17762.8366675301,17762.8366675301,0,3927.6237170876693,4267.400457530158,6322.325762314438,4869.206971334295,1363.8766733984407,764.351520692287,829.7161137219721,1235.7490522024798,949.2488665117344,268.8338449138851,0,0,0,0,0,0,0,0,0,0,16527.08761532762,16933.120553808127,16998.48514683781,16813.587801018362,268.83384491388586,17762.8366675301,17762.8366675301,17762.8366675301,17762.8366675301,0
20-34,HIS,oil,Food_price,USD,-6350.906933279913,-4782.778397862881,361.6962534604404,-3527.920111579973,3696.313156128523,0,0,0,0,0,-6350.906933279913,-4782.778397862881,361.6962534604404,-3527.920111579973,3696.313156128523,9732615.327503052,10577341.564026428,15647133.358571243,12059820.707191845,3367266.1066739643,-5296.837935731942,-3988.9739091036963,301.6650151967889,-2942.386225709928,3082.8308387153697,-1054.0689975479702,-793.8044887591849,60.03123826365156,-585.5338858700442,613.482317413154,225390.90858783913,230535.38323916247,232103.5117745795,229280.52495287955,3696.3131561285363,225752.6048412996,225752.6048412996,225752.6048412996,225752.6048412996,0,187982.4610121617,192273.09993646215,193580.9639630904,191226.5122530684,3082.8308387153593,188284.12602735846,188284.12602735846,188284.12602735846,188284.12602735846,0,37408.44757567749,38262.28330270033,38522.54781148911,38054.01269981119,613.4823174131519,37468.47881394114,37468.47881394114,37468.47881394114,37468.47881394114,0,-5296.837935731942,-3988.9739091036963,301.6650151967889,-2942.386225709928,3082.8308387153697,-1054.0689975479702,-793.8044887591849,60.03123826365156,-585.5338858700442,613.482317413154,0,0,0,0,0,0,0,0,0,0,37408.44757567749,38262.28330270033,38522.54781148911,38054.01269981119,613.4823174131519,37468.47881394114,37468.47881394114,37468.47881394114,37468.47881394114,0
20-34,HIS,sat_fat,CED,MJ,-4510131.619733527,-4510096.394653714,-4461574.316353988,-4493083.463699359,29499.378007507832,0,0,0,0,0,-4510131.619733527,-4510096.394653714,-4461574.316353988,-4493083.463699359,29499.378007507832,-86872936.03275812,-86866477.17182198,-85938636.46804377,-86543185.29714055,565856.098092447,-3446682.038702579,-3446654.6756782057,-3409537.6659355764,-3433640.764548993,22565.70416524631,-1063475.5038961438,-1063412.915791958,-1052035.2102592352,-1059442.699150366,6933.750861409262,10332806.853238123,10381328.931537848,10381364.15661766,10364316.000583492,29499.3780075081,5871232.536884133,5871232.536884133,5871232.536884133,5871232.536884133,0,7896076.120339591,7933193.130082221,7933220.493106592,7920179.218953007,22565.70416524604,4486538.454404014,4486538.454404014,4486538.454404014,4486538.454404014,0,2436729.2927393536,2448106.9982720762,2448169.5863762614,2444136.7816304844,6933.750861409262,1384694.0824801181,1384694.0824801181,1384694.0824801181,1384694.0824801181,0,-3446682.038702579,-3446654.6756782057,-3409537.6659355764,-3433640.764548993,22565.70416524631,-1063475.5038961438,-1063412.915791958,-1052035.2102592352,-1059442.699150366,6933.750861409262,0,0,0,0,0,0,0,0,0,0,2436729.2927393536,2448106.9982720762,2448169.5863762614,2444136.7816304844,6933.750861409262,1384694.0824801181,1384694.0824801181,1384694.0824801181,1384694.0824801181,0
20-34,HIS,sat_fat,FL,mrh-eq,-123931.13362822859,-123926.95686784829,-122597.4114091016,-123461.91521929868,809.286307105674,0,0,0,0,0,-123931.13362822859,-123926.95686784829,-122597.4114091016,-123461.91521929868,809.286307105674,-86872936.03275812,-86866477.17182198,-85938636.46804377,-86543185.29714055,565856.098092447,-94707.8278521274,-94706.12689172107,-93688.34360658382,-94349.6067777804,619.062203764496,-29223.3057761012,-29220.82997612723,-28909.067802517773,-29112.308441518286,190.2262280148304,283945.66048561025,285275.205944357,285279.3827047373,284810.1642958073,809.2863071057078,161348.24907650868,161348.24907650868,161348.24907650868,161348.24907650868,0,216982.67214215646,218000.45542729367,218002.1563877,217643.935313353,619.0622037644875,123294.32853557264,123294.32853557264,123294.32853557264,123294.32853557264,0,66962.9883434538,67274.75051706326,67277.22631703723,67166.22898245433,190.22622801482933,38053.92054093603,38053.92054093603,38053.92054093603,38053.92054093603,0,-94707.8278521274,-94706.12689172107,-93688.34360658382,-94349.6067777804,619.062203764496,-29223.3057761012,-29220.82997612723,-28909.067802517773,-29112.308441518286,190.2262280148304,0,0,0,0,0,0,0,0,0,0,66962.9883434538,67274.75051706326,67277.22631703723,67166.22898245433,190.22622801482933,38053.92054093603,38053.92054093603,38053.92054093603,38053.92054093603,0
20-34,HIS,sat_fat,Food_price,USD,-222037.6237557229,-221988.3682912704,-219655.31175174532,-221187.0345807186,1433.0867576584315,0,0,0,0,0,-222037.6237557229,-221988.3682912704,-219655.31175174532,-221187.0345807186,1433.0867576584315,-86872936.03275812,-86866477.17182198,-85938636.46804377,-86543185.29714055,565856.098092447,-169671.2101241305,-169636.231635137,-167850.29460580176,-169021.8602174732,1096.163703420652,-52366.4136315924,-52352.136656133414,-51805.017145943595,-52165.1743632454,336.92696424445245,508941.9004370601,511274.95697658515,511324.21244103764,510473.62326603336,1433.0867576583978,289286.58868531475,289286.58868531475,289286.58868531475,289286.58868531475,0,388896.67178349884,390682.608812834,390717.5873018275,390068.2373951703,1096.1637034206183,221046.37717769705,221046.37717769705,221046.37717769705,221046.37717769705,0,120045.22865356131,120592.34816375113,120606.62513921013,120405.38587086312,336.9269642444568,68240.21150761771,68240.21150761771,68240.21150761771,68240.21150761771,0,-169671.2101241305,-169636.231635137,-167850.29460580176,-169021.8602174732,1096.163703420652,-52366.4136315924,-52352.136656133414,-51805.017145943595,-52165.1743632454,336.92696424445245,0,0,0,0,0,0,0,0,0,0,120045.22865356131,120592.34816375113,120606.62513921013,120405.38587086312,336.9269642444568,68240.21150761771,68240.21150761771,68240.21150761771,68240.21150761771,0
20-34,NHB,added_sugar,CED,MJ,-1793373.99704471,-1720910.8303319588,-1693634.9698408314,-1736766.025497441,54260.335902844025,0,0,0,0,0,-1793373.99704471,-1720910.8303319588,-1693634.9698408314,-1736766.025497441,54260.335902844025,-68833295.96137863,-66047149.88963859,-64887933.68524173,-66618002.47467128,2134545.288456403,-1186296.0190868208,-1138366.2130078594,-1120409.7903462357,-1148883.1896455216,35853.12853964891,-607077.9779578892,-582544.6173240993,-573225.1794945955,-587882.835851919,18407.261349934546,3024040.9044076805,3051316.7648988077,3123779.9316115594,3067171.96006429,54260.33590284445,1330405.9345668494,1330405.9345668494,1330405.9345668494,1330405.9345668494,0,2000488.3680132728,2018444.7906748964,2066374.5967538576,2028961.7673125586,35853.12853964878,880078.577667037,880078.577667037,880078.577667037,880078.577667037,0,1023552.536394408,1032871.9742239115,1057405.3348577013,1038210.1927517313,18407.261349934433,450327.3568998123,450327.3568998123,450327.3568998123,450327.3568998123,0,-1186296.0190868208,-1138366.2130078594,-1120409.7903462357,-1148883.1896455216,35853.12853964891,-607077.9779578892,-582544.6173240993,-573225.1794945955,-587882.835851919,18407.261349934546,0,0,0,0,0,0,0,0,0,0,1023552.536394408,1032871.9742239115,1057405.3348577013,1038210.1927517313,18407.261349934433,450327.3568998123,450327.3568998123,450327.3568998123,450327.3568998123,0
