age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,HIS,added_sugar,CED,MJ,-1069956.94004229,-1022001.8241780961,-898906.286453517,-995636.7638762066,92876.9980960162,0,0,0,0,0,-1069956.94004229,-1022001.8241780961,-898906.286453517,-995636.7638762066,92876.9980960162,-41866788.44949342,-39990332.85037577,-35173676.54943353,-38958683.48131451,3634222.542597103,-708854.4482370481,-677083.826519586,-595532.1152229144,-659616.7775444249,61531.70354375448,-361102.49180524173,-344917.99765851005,-303374.1712306027,-336019.9863317818,31345.294552261683,1708775.3473214977,1831870.8850460765,1879826.0009102703,1805505.824744187,92876.99809601608,809869.0608679806,809869.0608679806,809869.0608679806,809869.0608679806,0,1132076.4048119313,1213628.1161086028,1245398.737826065,1196161.0671334418,61531.70354375441,536544.2895890168,536544.2895890168,536544.2895890168,536544.2895890168,0,576698.9425095666,618242.7689374739,634427.2630842056,609344.7576107456,31345.294552261657,273324.7712789638,273324.7712789638,273324.7712789638,273324.7712789638,0,-708854.4482370481,-677083.826519586,-595532.1152229144,-659616.7775444249,61531.70354375448,-361102.49180524173,-344917.99765851005,-303374.1712306027,-336019.9863317818,31345.294552261683,0,0,0,0,0,0,0,0,0,0,576698.9425095666,618242.7689374739,634427.2630842056,609344.7576107456,31345.294552261657,273324.7712789638,273324.7712789638,273324.7712789638,273324.7712789638,0
20-34,Female,HIS,added_sugar,FL,mrh-eq,-46378.939707849124,-44300.25098299217,-38964.484365872166,-43157.41663482969,4025.897242902968,0,0,0,0,0,-46378.939707849124,-44300.25098299217,-38964.484365872166,-43157.41663482969,4025.897242902968,-41866788.44949342,-39990332.85037577,-35173676.54943353,-38958683.48131451,3634222.542597103,-30726.393265066636,-29349.246490303136,-25814.26133365678,-28592.110215958277,2667.186932461264,-15652.546442782497,-14951.004492689033,-13150.223032215394,-14565.306418871427,1358.7103104417035,74069.51237173182,79405.27898885182,81483.96771370877,78262.44464068934,4025.897242902961,35105.02800585964,35105.02800585964,35105.02800585964,35105.02800585964,0,49071.60406041754,52606.5892170639,53983.7359918274,51849.45294271904,2667.186932461263,23257.342726760766,23257.342726760766,23257.342726760766,23257.342726760766,0,24997.908311314266,26798.689771787907,27500.231721881373,26412.9916979703,1358.710310441705,11847.685279098876,11847.685279098876,11847.685279098876,11847.685279098876,0,-30726.393265066636,-29349.246490303136,-25814.26133365678,-28592.110215958277,2667.186932461264,-15652.546442782497,-14951.004492689033,-13150.223032215394,-14565.306418871427,1358.7103104417035,0,0,0,0,0,0,0,0,0,0,24997.908311314266,26798.689771787907,27500.231721881373,26412.9916979703,1358.710310441705,11847.685279098876,11847.685279098876,11847.685279098876,11847.685279098876,0
20-34,Female,HIS,added_sugar,Food_price,USD,-2445579.8276108894,-2335969.749299159,-2054612.6659792946,-2275707.642278761,212287.1533350626,0,0,0,0,0,-2445579.8276108894,-2335969.749299159,-2054612.6659792946,-2275707.642278761,212287.1533350626,-41866788.44949342,-39990332.85037577,-35173676.54943353,-38958683.48131451,3634222.542597103,-1620214.8651442493,-1547597.3712292039,-1361196.2062940951,-1507673.2761344446,140641.8214729199,-825364.9624666402,-788372.378069955,-693416.4596851997,-768034.3661443163,71645.33186214267,3905714.6721839802,4187071.755503845,4296681.833815575,4126809.6484834463,212287.1533350625,1851102.0062046854,1851102.0062046854,1851102.0062046854,1851102.0062046854,0,2587565.0835190536,2773966.2484541624,2846583.7423692076,2734042.1533594034,140641.82147291966,1226368.8772249583,1226368.8772249583,1226368.8772249583,1226368.8772249583,0,1318149.5886649268,1413105.507049682,1450098.0914463676,1392767.4951240437,71645.3318621427,624733.1289797272,624733.1289797272,624733.1289797272,624733.1289797272,0,-1620214.8651442493,-1547597.3712292039,-1361196.2062940951,-1507673.2761344446,140641.8214729199,-825364.9624666402,-788372.378069955,-693416.4596851997,-768034.3661443163,71645.33186214267,0,0,0,0,0,0,0,0,0,0,1318149.5886649268,1413105.507049682,1450098.0914463676,1392767.4951240437,71645.3318621427,624733.1289797272,624733.1289797272,624733.1289797272,624733.1289797272,0
20-34,Female,HIS,oil,CED,MJ,-27334.50469197457,-20585.229783794013,1556.752136529581,-15184.279954971897,15909.04895484308,0,0,0,0,0,-27334.50469197457,-20585.229783794013,1556.752136529581,-15184.279954971897,15909.04895484308,-2897200.5330452262,-2181840.8408906236,165001.09186529357,-1609390.9319077067,1686209.6325362185,-22797.758324592392,-17168.67010964801,1298.375784738928,-12664.123555457641,13268.601620321544,-4536.746367382177,-3416.5596741460045,258.37635179065285,-2520.1563995142556,2640.4473345215365,970089.6128768955,992231.594797219,998980.8697053995,986830.644968397,15909.048954843003,971646.365013425,971646.365013425,971646.365013425,971646.3650134249,0,809082.4690910942,827549.5149854812,833178.6032004255,823044.9684312907,13268.601620321579,810380.8448758331,810380.8448758331,810380.8448758331,810380.8448758331,0,161007.1437858013,164682.07981173796,165802.26650497413,163785.6765371062,2640.4473345215274,161265.52013759196,161265.52013759196,161265.52013759196,161265.52013759196,0,-22797.758324592392,-17168.67010964801,1298.375784738928,-12664.123555457641,13268.601620321544,-4536.746367382177,-3416.5596741460045,258.37635179065285,-2520.1563995142556,2640.4473345215365,0,0,0,0,0,0,0,0,0,0,161007.1437858013,164682.07981173796,165802.26650497413,163785.6765371062,2640.4473345215274,161265.52013759196,161265.52013759196,161265.52013759196,161265.52013759196,0
20-34,Female,HIS,oil,FL,mrh-eq,-1410.9366595930253,-1062.5564895137336,80.35553173839801,-783.773383839053,821.1840910451383,0,0,0,0,0,-1410.9366595930253,-1062.5564895137336,80.35553173839801,-783.773383839053,821.1840910451383,-2897200.5330452262,-2181840.8408906236,165001.09186529357,-1609390.9319077067,1686209.6325362185,-1176.7615085468694,-886.2024875568183,67.01881059340613,-653.6894078514944,684.8910071212531,-234.17515104615583,-176.35400195691545,13.336721144991852,-130.08397598755866,136.29308392388523,50073.52477472473,51216.43679597686,51564.81696605615,50937.653690302184,821.1840910451386,50153.88030646312,50153.88030646312,50153.88030646312,50153.88030646313,0,41762.75111397316,42715.97241212338,43006.531433113436,42483.45933241805,684.8910071212517,41829.769924566564,41829.769924566564,41829.769924566564,41829.769924566564,0,8310.773660751567,8500.464383853474,8558.285532942717,8454.194357884118,136.29308392388583,8324.11038189656,8324.11038189656,8324.11038189656,8324.11038189656,0,-1176.7615085468694,-886.2024875568183,67.01881059340613,-653.6894078514944,684.8910071212531,-234.17515104615583,-176.35400195691545,13.336721144991852,-130.08397598755866,136.29308392388523,0,0,0,0,0,0,0,0,0,0,8310.773660751567,8500.464383853474,8558.285532942717,8454.194357884118,136.29308392388583,8324.11038189656,8324.11038189656,8324.11038189656,8324.11038189656,0
20-34,Female,HIS,oil,Food_price,USD,-6350.906933279913,-4782.778397862881,361.6962534604404,-3527.920111579973,3696.313156128523,0,0,0,0,0,-6350.906933279913,-4782.778397862881,361.6962534604404,-3527.920111579973,3696.313156128523,-2897200.5330452262,-2181840.8408906236,165001.09186529357,-1609390.9319077067,1686209.6325362185,-5296.837935731942,-3988.9739091036963,301.6650151967889,-2942.386225709928,3082.8308387153697,-1054.0689975479702,-793.8044887591849,60.03123826365156,-585.5338858700442,613.482317413154,225390.90858783913,230535.38323916247,232103.5117745795,229280.52495287955,3696.3131561285363,225752.6048412996,225752.6048412996,225752.6048412996,225752.6048412996,0,187982.4610121617,192273.09993646215,193580.9639630904,191226.5122530684,3082.8308387153593,188284.12602735846,188284.12602735846,188284.12602735846,188284.12602735846,0,37408.44757567749,38262.28330270033,38522.54781148911,38054.01269981119,613.4823174131519,37468.47881394114,37468.47881394114,37468.47881394114,37468.47881394114,0,-5296.837935731942,-3988.9739091036963,301.6650151967889,-2942.386225709928,3082.8308387153697,-1054.0689975479702,-793.8044887591849,60.03123826365156,-585.5338858700442,613.482317413154,0,0,0,0,0,0,0,0,0,0,37408.44757567749,38262.28330270033,38522.54781148911,38054.01269981119,613.4823174131519,37468.47881394114,37468.47881394114,37468.47881394114,37468.47881394114,0
20-34,Female,HIS,sat_fat,CED,MJ,-2129789.687348092,-2113280.191176161,-2087665.167343339,-2110085.2691898835,22342.78446444678,0,0,0,0,0,-2129789.687348092,-2113280.191176161,-2087665.167343339,-2110085.2691898835,22342.78446444678,-40627685.46854446,-40312751.73508624,-39824121.736673124,-40251805.67720733,426209.04078247113,-1631308.0492149913,-1618662.6344335491,-1599042.859388368,-1616215.49048136,17113.410002520402,-498481.63813310076,-494617.55674261187,-488622.3079549713,-493869.77870852355,5229.374461926359,4756094.927385544,4781709.951218367,4798219.447390297,4778515.029232089,22342.784464446533,2668429.7600422055,2668429.7600422055,2668429.7600422055,2668429.7600422055,0,3642921.169148546,3662540.9441937283,3675186.3589751697,3660093.800241539,17113.41000252045,2043878.3097601787,2043878.3097601787,2043878.3097601787,2043878.3097601787,0,1113173.7582369982,1119169.0070246386,1123033.0884151277,1118421.2289905504,5229.374461926346,624551.4502820268,624551.4502820268,624551.4502820268,624551.4502820268,0,-1631308.0492149913,-1618662.6344335491,-1599042.859388368,-1616215.49048136,17113.410002520402,-498481.63813310076,-494617.55674261187,-488622.3079549713,-493869.77870852355,5229.374461926359,0,0,0,0,0,0,0,0,0,0,1113173.7582369982,1119169.0070246386,1123033.0884151277,1118421.2289905504,5229.374461926346,624551.4502820268,624551.4502820268,624551.4502820268,624551.4502820268,0
20-34,Female,HIS,sat_fat,FL,mrh-eq,-58303.49132997316,-57851.540006966745,-57150.322732404034,-57764.078269578575,611.6389557376164,0,0,0,0,0,-58303.49132997316,-57851.540006966745,-57150.322732404034,-57764.078269578575,611.6389557376164,-40627685.46854446,-40312751.73508624,-39824121.736673124,-40251805.67720733,426209.04078247113,-44657.43977864269,-44311.26858838225,-43774.17265302391,-44244.27744975141,468.48360551064565,-13646.051551330467,-13540.271418584496,-13376.15007938012,-13519.800819827162,143.15535022697165,130199.21216194297,130900.42943650567,131352.3807595121,130812.96769911751,611.6389557376081,73048.88942953895,73048.88942953895,73048.88942953895,73048.88942953895,0,99725.81990745371,100262.91584281204,100609.08703307249,100195.9247041812,468.48360551064565,55951.6472544298,55951.6472544298,55951.6472544298,55951.647254429794,0,30473.392254489263,30637.51359369364,30743.293726439606,30617.042994936302,143.15535022697068,17097.242175109142,17097.242175109142,17097.242175109142,17097.242175109142,0,-44657.43977864269,-44311.26858838225,-43774.17265302391,-44244.27744975141,468.48360551064565,-13646.051551330467,-13540.271418584496,-13376.15007938012,-13519.800819827162,143.15535022697165,0,0,0,0,0,0,0,0,0,0,30473.392254489263,30637.51359369364,30743.293726439606,30617.042994936302,143.15535022697068,17097.242175109142,17097.242175109142,17097.242175109142,17097.242175109142,0
20-34,Female,HIS,sat_fat,Food_price,USD,-101597.85618961649,-100810.29982768884,-99588.38034750716,-100657.89171602076,1065.823079329927,0,0,0,0,0,-101597.85618961649,-100810.29982768884,-99588.38034750716,-100657.89171602076,1065.823079329927,-40627685.46854446,-40312751.73508624,-39824121.736673124,-40251805.67720733,426209.04078247113,-77818.66987602726,-77215.44269352422,-76279.51597017016,-77098.70601252386,816.3650048070906,-23779.18631358922,-23594.857134164613,-23308.864377337013,-23559.185703496896,249.4580745228342,226881.11005850008,228103.02953868176,228890.58590060938,227950.62142701366,1065.8230793299203,127292.72971099292,127292.72971099292,127292.72971099292,127292.72971099293,0,173779.12159679478,174715.0483201488,175318.2755026518,174598.31163914848,816.3650048070762,97499.60562662459,97499.60562662459,97499.60562662459,97499.60562662459,0,53101.988461705354,53387.98121853296,53572.31039795756,53352.30978786523,249.45807452283253,29793.12408436834,29793.12408436834,29793.12408436834,29793.124084368337,0,-77818.66987602726,-77215.44269352422,-76279.51597017016,-77098.70601252386,816.3650048070906,-23779.18631358922,-23594.857134164613,-23308.864377337013,-23559.185703496896,249.4580745228342,0,0,0,0,0,0,0,0,0,0,53101.988461705354,53387.98121853296,53572.31039795756,53352.30978786523,249.45807452283253,29793.12408436834,29793.12408436834,29793.12408436834,29793.124084368337,0
20-34,Female,NHB,added_sugar,CED,MJ,-972832.7044419679,-927238.0510713806,-767291.2158777514,-887114.4785018922,113623.41293853037,0,0,0,0,0,-972832.7044419679,-927238.0510713806,-767291.2158777514,-887114.4785018922,113623.41293853037,-37683687.93307496,-35917531.551624455,-29721824.31871734,-34363303.18269231,4401321.229761253,-643253.0446721467,-613105.107141382,-507345.6191490521,-586574.7385583767,75129.67644388048,-329579.6597698211,-314132.94392999867,-259945.59672869934,-300539.73994351557,38493.73649464987,1437578.6622782424,1597525.4974718713,1643120.1508424587,1557401.924902383,113623.41293853022,670287.4464004907,670287.4464004907,670287.4464004907,670287.4464004907,0,950550.7444845092,1056310.2324768389,1086458.1700076037,1029779.8638938336,75129.67644388035,443205.1253354571,443205.1253354571,443205.1253354571,443205.1253354571,0,487027.91779373307,541215.2649950323,556661.9808348548,527622.0610085492,38493.73649464982,227082.3210650337,227082.3210650337,227082.3210650337,227082.3210650337,0,-643253.0446721467,-613105.107141382,-507345.6191490521,-586574.7385583767,75129.67644388048,-329579.6597698211,-314132.94392999867,-259945.59672869934,-300539.73994351557,38493.73649464987,0,0,0,0,0,0,0,0,0,0,487027.91779373307,541215.2649950323,556661.9808348548,527622.0610085492,38493.73649464982,227082.3210650337,227082.3210650337,227082.3210650337,227082.3210650337,0
