sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,HIS,CED,MJ,-7376206.056671464,-7156654.04526069,-7126452.367274848,-7223092.758743122,143490.41132164712,0,0,0,0,0,-7376206.056671464,-7156654.04526069,-7126452.367274848,-7223092.758743122,143490.41132164712,-198340622.82432997,-185917166.47195324,-181897618.02225512,-188865906.08692822,9023120.445108345,-5425784.933525594,-5279471.729550418,-5263868.8354301695,-5325334.996166182,94020.51482869593,-1950421.1231458697,-1877182.315710272,-1862583.5318446772,-1897757.7625769395,49545.468359905906,18034447.733405933,18064649.411391776,18284201.42280254,18131088.124874204,143490.41132164284,10907995.366131088,10907995.366131088,10907995.366131088,10907995.366131088,0,13601089.890995534,13616692.785115778,13763005.989090957,13662556.051731544,94020.51482869631,8337221.055565362,8337221.055565362,8337221.055565362,8337221.055565362,0,4433357.8424104,4447956.626275997,4521195.433711594,4468532.073142664,49545.46835990653,2570774.3105657236,2570774.3105657236,2570774.3105657236,2570774.3105657236,0,-5425784.933525594,-5279471.729550418,-5263868.8354301695,-5325334.996166182,94020.51482869593,-1950421.1231458697,-1877182.315710272,-1862583.5318446772,-1897757.7625769395,49545.468359905906,0,0,0,0,0,0,0,0,0,0,4433357.8424104,4447956.626275997,4521195.433711594,4468532.073142664,49545.46835990653,2570774.3105657236,2570774.3105657236,2570774.3105657236,2570774.3105657236,0
Female,HIS,FL,mrh-eq,-249159.6580181001,-237450.1022373227,-234859.6053368349,-240649.77201988047,8020.24075484955,0,0,0,0,0,-249159.6580181001,-237450.1022373227,-234859.6053368349,-240649.77201988047,8020.24075484955,-198340622.82432997,-185917166.47195324,-181897618.02225512,-188865906.08692822,9023120.445108345,-179949.12005932297,-172004.80797875603,-170334.15897192515,-174206.0932677862,5407.676211056581,-69210.53795877719,-65445.29425856671,-64525.44636490978,-66443.67875209427,2613.031604600692,626391.1097958363,628981.6066963241,640691.1624771015,632181.2764788818,8020.240754849561,391531.5044590013,391531.5044590013,391531.5044590013,391531.5044590013,0,469382.4901147166,471053.13912154734,478997.45120211435,473254.42441057763,5407.676211056578,299048.3311427913,299048.3311427913,299048.3311427913,299048.3311427913,0,157008.61968111977,157928.4675747767,161693.71127498712,158926.85206830423,2613.0316046006606,92483.17331620997,92483.17331620997,92483.17331620997,92483.17331620997,0,-179949.12005932297,-172004.80797875603,-170334.15897192515,-174206.0932677862,5407.676211056581,-69210.53795877719,-65445.29425856671,-64525.44636490978,-66443.67875209427,2613.031604600692,0,0,0,0,0,0,0,0,0,0,157008.61968111977,157928.4675747767,161693.71127498712,158926.85206830423,2613.0316046006606,92483.17331620997,92483.17331620997,92483.17331620997,92483.17331620997,0
Female,HIS,Food_price,USD,-6121906.809811137,-5530256.885305162,-5336559.6343429955,-5669889.402338077,430666.22447098745,0,0,0,0,0,-6121906.809811137,-5530256.885305162,-5336559.6343429955,-5669889.402338077,430666.22447098745,-198340622.82432997,-185917166.47195324,-181897618.02225512,-188865906.08692822,9023120.445108345,-4089478.4482617984,-3695019.082338379,-3565607.3919648975,-3788018.2667418662,287243.87140763865,-2032428.361549339,-1835237.802966783,-1770952.2423780956,-1881871.1355962104,143422.42754284243,11260883.014133511,11454580.26509568,12046230.189601649,11594212.782128593,430666.22447098454,5924323.379790517,5924323.379790517,5924323.379790517,5924323.3797905175,0,7645871.186861608,7775282.877235089,8169742.243158506,7868282.061638575,287243.8714076371,4080263.7948967097,4080263.7948967097,4080263.7948967097,4080263.7948967093,0,3615011.827271902,3679297.3878605887,3876487.946443145,3725930.7204900165,143422.42754284255,1844059.5848938061,1844059.5848938061,1844059.5848938061,1844059.5848938061,0,-4089478.4482617984,-3695019.082338379,-3565607.3919648975,-3788018.2667418662,287243.87140763865,-2032428.361549339,-1835237.802966783,-1770952.2423780956,-1881871.1355962104,143422.42754284243,0,0,0,0,0,0,0,0,0,0,3615011.827271902,3679297.3878605887,3876487.946443145,3725930.7204900165,143422.42754284255,1844059.5848938061,1844059.5848938061,1844059.5848938061,1844059.5848938061,0
Female,NHB,CED,MJ,-7629560.293177296,-7532369.661934721,-7342710.803629937,-7499924.669983069,153565.882702718,0,0,0,0,0,-7629560.293177296,-7532369.661934721,-7342710.803629937,-7499924.669983069,153565.882702718,-242361364.60570163,-240976279.906237,-232783381.29677582,-238587573.2711505,5448996.477037828,-5614205.681160954,-5555533.3032464925,-5395123.165993569,-5519835.843829488,119378.97824204141,-2015354.6120163416,-1976836.35868823,-1947587.6376363689,-1980088.826153581,35777.878253781295,16866344.646634016,17056003.5049388,17153194.136181377,17023558.51298715,153565.88270271954,9523633.84300408,9523633.84300408,9523633.84300408,9523633.84300408,0,12688002.201532321,12848412.338785242,12907084.716699703,12812714.879368238,119378.97824204038,7292879.035538753,7292879.035538753,7292879.035538753,7292879.035538753,0,4178342.445101699,4207591.16615356,4246109.419481672,4210843.633618912,35777.87825378117,2230754.8074653298,2230754.8074653298,2230754.8074653298,2230754.8074653298,0,-5614205.681160954,-5555533.3032464925,-5395123.165993569,-5519835.843829488,119378.97824204141,-2015354.6120163416,-1976836.35868823,-1947587.6376363689,-1980088.826153581,35777.878253781295,0,0,0,0,0,0,0,0,0,0,4178342.445101699,4207591.16615356,4246109.419481672,4210843.633618912,35777.87825378117,2230754.8074653298,2230754.8074653298,2230754.8074653298,2230754.8074653298,0
Female,NHB,FL,mrh-eq,-253903.24437530566,-251604.20220841424,-244907.98380170495,-250061.3333523378,4919.2866448008635,0,0,0,0,0,-253903.24437530566,-251604.20220841424,-244907.98380170495,-250061.3333523378,4919.2866448008635,-242361364.60570163,-240976279.906237,-232783381.29677582,-238587573.2711505,5448996.477037828,-184441.79060470208,-183345.16078262104,-177648.722949729,-181731.1930595295,3838.8058199055076,-69461.45377060355,-68259.0414257932,-67259.26085197594,-68330.14029280831,1160.6832685041436,576217.0823006612,582913.3007073707,585212.3428742619,581370.431851294,4919.286644800849,331309.0984989563,331309.0984989563,331309.0984989563,331309.0984989563,0,431974.143003795,437670.5808366869,438767.21065876796,436056.61311359535,3838.805819905425,254325.42005406588,254325.42005406588,254325.42005406588,254325.42005406588,0,144242.93929686645,145242.71987068368,146445.13221549406,145313.8187376988,1160.683268504159,76983.67844489051,76983.67844489051,76983.67844489051,76983.67844489051,0,-184441.79060470208,-183345.16078262104,-177648.722949729,-181731.1930595295,3838.8058199055076,-69461.45377060355,-68259.0414257932,-67259.26085197594,-68330.14029280831,1160.6832685041436,0,0,0,0,0,0,0,0,0,0,144242.93929686645,145242.71987068368,146445.13221549406,145313.8187376988,1160.683268504159,76983.67844489051,76983.67844489051,76983.67844489051,76983.67844489051,0
Female,NHB,Food_price,USD,-7217975.66657522,-7157944.612397361,-6896875.3072067415,-7087404.875199902,179702.40627969225,0,0,0,0,0,-7217975.66657522,-7157944.612397361,-6896875.3072067415,-7087404.875199902,179702.40627969225,-242361364.60570163,-240976279.906237,-232783381.29677582,-238587573.2711505,5448996.477037828,-4815195.749256249,-4775040.914020781,-4604937.493650975,-4729444.9192368025,117496.28662682412,-2402779.9173189695,-2382903.698376579,-2291937.813555767,-2357959.9559630975,62208.99491589112,12071402.359446455,12332471.664637074,12392502.71881493,12261931.927439613,179702.40627969193,5174527.052239711,5174527.052239711,5174527.052239711,5174527.052239711,0,8122724.340728954,8292827.761098762,8332982.596334229,8247231.766314783,117496.28662682466,3517786.84707798,3517786.84707798,3517786.84707798,3517786.84707798,0,3948678.0187174976,4039643.90353831,4059520.1224807,4014700.161124828,62208.99491589112,1656740.2051617303,1656740.2051617303,1656740.2051617303,1656740.2051617305,0,-4815195.749256249,-4775040.914020781,-4604937.493650975,-4729444.9192368025,117496.28662682412,-2402779.9173189695,-2382903.698376579,-2291937.813555767,-2357959.9559630975,62208.99491589112,0,0,0,0,0,0,0,0,0,0,3948678.0187174976,4039643.90353831,4059520.1224807,4014700.161124828,62208.99491589112,1656740.2051617303,1656740.2051617303,1656740.2051617303,1656740.2051617305,0
Female,NHW,CED,MJ,-34979784.93753275,-34287111.45393818,-33056680.699589722,-34098424.69227015,1025265.8872866161,0,0,0,0,0,-34979784.93753275,-34287111.45393818,-33056680.699589722,-34098424.69227015,1025265.8872866161,-925490845.7235607,-917620870.6985962,-883144729.5361304,-908285373.8082448,23708503.61334444,-26253853.845168244,-25806264.511119418,-24841253.538435634,-25624713.0589668,759917.1379155588,-8725931.092364512,-8480846.942818755,-8215427.161154089,-8473711.633303346,268757.3279342064,74256508.42657581,75486939.1809243,76179612.66451886,75298252.41925626,1025265.8872866236,41199827.7269861,41199827.7269861,41199827.7269861,41199827.7269861,0,56605739.91289015,57570750.88557393,58018340.219622776,57389199.43342132,759917.1379155605,31764486.374454524,31764486.374454524,31764486.374454524,31764486.374454524,0,17650768.513685677,17916188.295350343,18161272.4448961,17909052.985834938,268757.3279342055,9435341.352531588,9435341.352531588,9435341.352531588,9435341.352531588,0,-26253853.845168244,-25806264.511119418,-24841253.538435634,-25624713.0589668,759917.1379155588,-8725931.092364512,-8480846.942818755,-8215427.161154089,-8473711.633303346,268757.3279342064,0,0,0,0,0,0,0,0,0,0,17650768.513685677,17916188.295350343,18161272.4448961,17909052.985834938,268757.3279342055,9435341.352531588,9435341.352531588,9435341.352531588,9435341.352531588,0
Female,NHW,FL,mrh-eq,-1132172.615274834,-1110772.5050243386,-1074092.665429643,-1105411.1964825138,30918.99858932281,0,0,0,0,0,-1132172.615274834,-1110772.5050243386,-1074092.665429643,-1105411.1964825138,30918.99858932281,-925490845.7235607,-917620870.6985962,-883144729.5361304,-908285373.8082448,23708503.61334444,-834930.6236998214,-822664.4183777787,-793563.5215286376,-816757.5090700248,22365.05292482449,-297241.9915750122,-288108.0866465601,-280529.14390100556,-288653.6874124891,8808.917140739728,2543552.5283436854,2580232.3679383807,2601632.4781888765,2574871.059396556,30918.99858932277,1469459.862914043,1469459.862914043,1469459.862914043,1469459.8629140432,0,1924615.7057286478,1953716.602577789,1965982.8078998318,1947809.693270035,22365.05292482449,1131052.1842000103,1131052.1842000103,1131052.1842000103,1131052.1842000103,0,618936.8226150384,626515.7653605931,635649.6702890452,627061.3661265221,8808.917140739839,338407.67871403287,338407.67871403287,338407.67871403287,338407.67871403287,0,-834930.6236998214,-822664.4183777787,-793563.5215286376,-816757.5090700248,22365.05292482449,-297241.9915750122,-288108.0866465601,-280529.14390100556,-288653.6874124891,8808.917140739728,0,0,0,0,0,0,0,0,0,0,618936.8226150384,626515.7653605931,635649.6702890452,627061.3661265221,8808.917140739839,338407.67871403287,338407.67871403287,338407.67871403287,338407.67871403287,0
Female,NHW,Food_price,USD,-26176067.01924978,-24919105.216809604,-24775581.355583794,-25309785.196183067,811040.1840716056,0,0,0,0,0,-26176067.01924978,-24919105.216809604,-24775581.355583794,-25309785.196183067,811040.1840716056,-925490845.7235607,-917620870.6985962,-883144729.5361304,-908285373.8082448,23708503.61334444,-17519189.320083153,-16703663.777995603,-16588238.976601,-16949313.160694882,534164.8648022785,-8656877.699166624,-8215441.438813999,-8187342.378982792,-8360472.035488181,277210.396749557,48654428.00883266,48797951.87005848,50054913.67249865,49188631.84943193,811040.1840716035,23878846.65324887,23878846.65324887,23878846.65324887,23878846.653248865,0,32986192.296776515,33101617.09817111,33917142.64025868,33347266.4808704,534164.8648022827,16397953.320175514,16397953.320175514,16397953.320175514,16397953.320175514,0,15668235.712056147,15696334.771887355,16137771.032239975,15841365.368561536,277210.3967495549,7480893.333073352,7480893.333073352,7480893.333073352,7480893.333073352,0,-17519189.320083153,-16703663.777995603,-16588238.976601,-16949313.160694882,534164.8648022785,-8656877.699166624,-8215441.438813999,-8187342.378982792,-8360472.035488181,277210.396749557,0,0,0,0,0,0,0,0,0,0,15668235.712056147,15696334.771887355,16137771.032239975,15841365.368561536,277210.3967495549,7480893.333073352,7480893.333073352,7480893.333073352,7480893.333073352,0
Female,OTH,CED,MJ,-4061543.1859115185,-3965227.1111847814,-3698835.1273597525,-3905551.353606433,197770.86970543163,0,0,0,0,0,-4061543.1859115185,-3965227.1111847814,-3698835.1273597525,-3905551.353606433,197770.86970543163,-113213714.37033828,-112083079.29586928,-103155283.62423788,-109347233.47230351,5799925.180211483,-3054327.405694383,-2980111.185952742,-2777322.882348311,-2934998.174071061,150935.92245728275,-1007215.7802171351,-985115.9252320393,-921512.245011441,-970553.1795353717,46837.034369168,9887742.677173987,10154134.660999017,10250450.735725753,10094458.903420666,197770.86970543172,6188907.549814233,6188907.549814233,6188907.549814233,6188907.549814233,0,7543387.995567005,7746176.299171437,7820392.518913077,7701063.287289756,150935.9224572828,4766065.113218694,4766065.113218694,4766065.113218694,4766065.113218694,0,2344354.68160698,2407958.3618275784,2430058.216812674,2393395.616130911,46837.034369168105,1422842.4365955386,1422842.4365955386,1422842.4365955386,1422842.4365955386,0,-3054327.405694383,-2980111.185952742,-2777322.882348311,-2934998.174071061,150935.92245728275,-1007215.7802171351,-985115.9252320393,-921512.245011441,-970553.1795353717,46837.034369168,0,0,0,0,0,0,0,0,0,0,2344354.68160698,2407958.3618275784,2430058.216812674,2393395.616130911,46837.034369168105,1422842.4365955386,1422842.4365955386,1422842.4365955386,1422842.4365955386,0
