age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,HIS,added_sugar,CED,MJ,-0.139704835740819,-0.140301310476366,-0.153288408031021
20-34,HIS,added_sugar,Food_price,USD,-0.335204290813218,-0.334606759103319,-0.366291641140739
20-34,HIS,added_sugar,FL,mrh-eq,-0.00555956077739526,-0.00564666844882958,-0.00614712341915629
20-34,HIS,oil,CED,MJ,0.00721059592293891,0.0109240466274283,0.00661255827526872
20-34,HIS,oil,Food_price,USD,-0.000478815875779508,4.70713906513295e-05,-0.000355963562606634
20-34,HIS,oil,FL,mrh-eq,0.000379358528200879,0.000572158037921252,0.000347618432376552
20-34,HIS,sat_fat,CED,MJ,-0.335668903467833,-0.331867525312636,-0.33567166311568
20-34,HIS,sat_fat,Food_price,USD,-0.0165217293925855,-0.0163389501202426,-0.0165255882266082
20-34,HIS,sat_fat,FL,mrh-eq,-0.00922340058435271,-0.00911923964895331,-0.00922372780540806
20-34,NHB,added_sugar,CED,MJ,-0.195936629641563,-0.192667650716041,-0.204621252623032
20-34,NHB,added_sugar,Food_price,USD,-0.515499509936582,-0.504218740387434,-0.538469203743042
20-34,NHB,added_sugar,FL,mrh-eq,-0.00767348238719321,-0.00753999279102095,-0.00801384553229624
20-34,NHB,oil,CED,MJ,-0.0112793477614896,-0.020954199896272,-0.0109013267151912
20-34,NHB,oil,Food_price,USD,-0.00540164683826923,-0.00670900076265507,-0.00646968910410335
20-34,NHB,oil,FL,mrh-eq,-0.000590324749535415,-0.00107619282080515,-0.000578232760685743
20-34,NHB,sat_fat,CED,MJ,-0.38557198524075,-0.36061195446067,-0.358444869085193
20-34,NHB,sat_fat,Food_price,USD,-0.0192734185832056,-0.0181058117663494,-0.0179918177006589
20-34,NHB,sat_fat,FL,mrh-eq,-0.0102200971356951,-0.0095665379874233,-0.00950852723919451
20-34,NHW,added_sugar,CED,MJ,-0.137142742380923,-0.124425748466129,-0.137628456141723
20-34,NHW,added_sugar,Food_price,USD,-0.403973658515114,-0.365200041877009,-0.404052125848904
20-34,NHW,added_sugar,FL,mrh-eq,-0.00599876193343757,-0.00542487531056132,-0.00600185988052513
20-34,NHW,oil,CED,MJ,-0.00337943771548618,0.00451976701434706,0.00326283527213808
20-34,NHW,oil,Food_price,USD,0.00047771543097772,0.00249756120018347,0.00235902773438828
20-34,NHW,oil,FL,mrh-eq,-0.000189366201821642,0.000222299301910025,0.000154989183193932
20-34,NHW,sat_fat,CED,MJ,-0.357300126824429,-0.365019656010358,-0.346664856524829
20-34,NHW,sat_fat,Food_price,USD,-0.0160625729034763,-0.0164196875580043,-0.015586711392711
20-34,NHW,sat_fat,FL,mrh-eq,-0.00954582513186953,-0.00973394299120828,-0.0092576400238299
20-34,OTH,added_sugar,CED,MJ,-0.10620407845209,-0.119117490437503,-0.120815496957293
20-34,OTH,added_sugar,Food_price,USD,-0.274877016067612,-0.308807468293181,-0.314287736040237
20-34,OTH,added_sugar,FL,mrh-eq,-0.00468032006297403,-0.00525133642833283,-0.0053302979360398
20-34,OTH,oil,CED,MJ,-0.00952663012405715,-0.00884439559665341,-0.000576506982232739
20-34,OTH,oil,Food_price,USD,-0.00385802420081439,-0.00310213667589154,-0.00150325689816591
20-34,OTH,oil,FL,mrh-eq,-0.000483921887930582,-0.000451851090048729,-2.24419830217081e-05
20-34,OTH,sat_fat,CED,MJ,-0.298845339855385,-0.296338998161911,-0.284028449054211
20-34,OTH,sat_fat,Food_price,USD,-0.0167604479125867,-0.0166080141641497,-0.0159083195561523
20-34,OTH,sat_fat,FL,mrh-eq,-0.00804277648479998,-0.00796972750597677,-0.00763404476063679
35-44,HIS,added_sugar,CED,MJ,-0.107799484819048,-0.102365933804043,-0.114292861761949
35-44,HIS,added_sugar,Food_price,USD,-0.277835971875934,-0.263808944088251,-0.297193350265276
35-44,HIS,added_sugar,FL,mrh-eq,-0.00491970753343419,-0.00467126408383882,-0.00526974199756187
35-44,HIS,oil,CED,MJ,0.0143645518949909,0.015048972869165,-0.00105240499645783
35-44,HIS,oil,Food_price,USD,0.0050630658569971,0.00535126773357451,-0.0003098405013698
35-44,HIS,oil,FL,mrh-eq,0.000733015706228165,0.000768443024793387,-5.30510225936193e-05
35-44,HIS,sat_fat,CED,MJ,-0.262147453671149,-0.259191469425361,-0.258047721162921
35-44,HIS,sat_fat,Food_price,USD,-0.0108389686161093,-0.0107493784396422,-0.0107676675520508
35-44,HIS,sat_fat,FL,mrh-eq,-0.00718415848668655,-0.00710035363688523,-0.0070633898468266
35-44,NHB,added_sugar,CED,MJ,-0.190872687319156,-0.201594614566283,-0.215028340476605
35-44,NHB,added_sugar,Food_price,USD,-0.468614821688477,-0.495005207359503,-0.529095645454797
35-44,NHB,added_sugar,FL,mrh-eq,-0.00767875333340097,-0.00810923939708888,-0.00863549522273138
35-44,NHB,oil,CED,MJ,-0.00427320788317985,-0.0102430318021026,0.00238400000304818
35-44,NHB,oil,Food_price,USD,0,0,0
35-44,NHB,oil,FL,mrh-eq,-0.000203446517574264,-0.000504510836420064,0.000127681905361093
35-44,NHB,sat_fat,CED,MJ,-0.339735480691824,-0.330255222206329,-0.336130010383631
35-44,NHB,sat_fat,Food_price,USD,-0.0184796698785726,-0.018098363694129,-0.0183340326029301
35-44,NHB,sat_fat,FL,mrh-eq,-0.00915391884100275,-0.00888564911678493,-0.00905195158169469
35-44,NHW,added_sugar,CED,MJ,-0.124769991738856,-0.124944278194154,-0.130321241469628
35-44,NHW,added_sugar,Food_price,USD,-0.367348375797127,-0.368072831913586,-0.38353721708933
35-44,NHW,added_sugar,FL,mrh-eq,-0.00556694390217081,-0.0055689162546924,-0.00581888943331149
35-44,NHW,oil,CED,MJ,-0.00368370279158671,-0.00767137239363278,-0.0170565368767581
